company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,aoci,cashandequivalents,commonequity,customerandotherreceivables,fedfundssold,loansandleases,loansheldforsale,longtermdebt,netloansandleases,noninterestbearingdeposits,otherassets,otherequity,otherlongtermliabilities,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
Goldman Sachs Group Inc,GS,,886982,2008.0,FY,,2008-11-28,2010-02-26 18:20:23+00:00,-202000000.0,15740000000.0,31078000000.0,64665000000.0,122021000000.0,,,223963000000.0,,27643000000.0,56337000000.0,9284000000.0,199188000000.0,106664000000.0,39913000000.0,369384000000.0,884547000000.0,47898000000.0,64369000000.0,64369000000.0,820178000000.0,884547000000.0,16471000000.0,519120000000.0,-32175000000.0
Goldman Sachs Group Inc,GS,,886982,2009.0,FY,,2009-12-31,2011-02-28 21:34:23+00:00,-362000000.0,38291000000.0,39778000000.0,55303000000.0,144279000000.0,,,224426000000.0,,39418000000.0,42065000000.0,6245000000.0,162874000000.0,36663000000.0,50252000000.0,351510000000.0,848942000000.0,63757000000.0,70714000000.0,70714000000.0,778228000000.0,848942000000.0,6957000000.0,532341000000.0,-32156000000.0
Goldman Sachs Group Inc,GS,,886982,2009.0,Q3,,2009-09-25,2009-11-03 20:22:28+00:00,-240000000.0,23015000000.0,39525000000.0,54882000000.0,142589000000.0,,,235275000000.0,,42431000000.0,44733000000.0,5609000000.0,186331000000.0,42959000000.0,45660000000.0,352794000000.0,882185000000.0,58397000000.0,65354000000.0,65354000000.0,816831000000.0,882185000000.0,6957000000.0,574007000000.0,-32157000000.0
Goldman Sachs Group Inc,GS,,886982,2009.0,Q2,,2009-06-26,2009-08-05 06:10:19+00:00,-350000000.0,22177000000.0,40349000000.0,50381000000.0,138339000000.0,,,241828000000.0,,41457000000.0,51039000000.0,5187000000.0,178910000000.0,53813000000.0,42827000000.0,364536000000.0,889544000000.0,55856000000.0,62813000000.0,62813000000.0,826731000000.0,889544000000.0,6957000000.0,573795000000.0,-32157000000.0
Goldman Sachs Group Inc,GS,,886982,2010.0,FY,,2010-12-31,2012-02-28 17:22:17+00:00,-286000000.0,39788000000.0,42111000000.0,67703000000.0,188355000000.0,,,223988000000.0,,38569000000.0,38496000000.0,7706000000.0,170728000000.0,53731000000.0,57163000000.0,400691000000.0,911332000000.0,70399000000.0,77356000000.0,77356000000.0,833976000000.0,911332000000.0,6957000000.0,523259000000.0,-36295000000.0
Goldman Sachs Group Inc,GS,,886982,2010.0,Q3,,2010-09-30,2010-11-08 18:54:48+00:00,-284000000.0,36129000000.0,41793000000.0,61391000000.0,178109000000.0,,,223754000000.0,,38444000000.0,44995000000.0,7257000000.0,186594000000.0,52192000000.0,55136000000.0,384230000000.0,908679000000.0,68700000000.0,75657000000.0,75657000000.0,833022000000.0,908679000000.0,6957000000.0,535863000000.0,-35202000000.0
Goldman Sachs Group Inc,GS,,886982,2010.0,Q2,,2010-06-30,2010-08-06 18:20:06+00:00,-318000000.0,32601000000.0,41605000000.0,57261000000.0,169280000000.0,,,215468000000.0,,37024000000.0,42685000000.0,6362000000.0,177570000000.0,56414000000.0,53599000000.0,379307000000.0,883188000000.0,66862000000.0,73819000000.0,73819000000.0,809369000000.0,883188000000.0,6957000000.0,524947000000.0,-34386000000.0
Goldman Sachs Group Inc,GS,,886982,2010.0,Q1,,2010-03-31,2010-05-07 18:39:11+00:00,-356000000.0,27064000000.0,41452000000.0,57886000000.0,166368000000.0,,,219292000000.0,,38431000000.0,43881000000.0,5934000000.0,169814000000.0,43053000000.0,53345000000.0,380047000000.0,880528000000.0,65987000000.0,72944000000.0,72944000000.0,807584000000.0,880528000000.0,6957000000.0,542276000000.0,-34388000000.0
Goldman Sachs Group Inc,GS,,886982,2011.0,FY,,2011-12-31,2013-02-28 21:27:42+00:00,-516000000.0,56008000000.0,45561000000.0,60261000000.0,187789000000.0,,,218091000000.0,,46109000000.0,37356000000.0,5681000000.0,176814000000.0,64264000000.0,58834000000.0,411832000000.0,923225000000.0,67279000000.0,70379000000.0,70379000000.0,852846000000.0,923225000000.0,3100000000.0,517547000000.0,-42281000000.0
Goldman Sachs Group Inc,GS,,886982,2011.0,Q3,,2011-09-30,2011-11-08 19:12:38+00:00,-314000000.0,44203000000.0,45345000000.0,66281000000.0,185854000000.0,,,226361000000.0,,41799000000.0,46760000000.0,5286000000.0,193215000000.0,77423000000.0,58043000000.0,417446000000.0,948909000000.0,66988000000.0,70088000000.0,70088000000.0,878821000000.0,948909000000.0,3100000000.0,528388000000.0,-41372000000.0
