company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,otheroperatingexpenses,preferreddividends,rdexpense,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Nabors Industries Ltd,NBR,,1163739,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 17:09:23+00:00,3.08,3.08,,469669000.0,3.0,52332000.0,201496000.0,31165000.0,865282000.0,830258000.0,35024000.0,865702000.0,-420000.0,2764559000.0,4940681000.0,,,154920000.0,,,436282000.0,2764559000.0,2176122000.0,,1144368000.0,1031754000.0,,1031754000.0,4940681000.0,281100000.0,281238000.0,288226000.0
Nabors Industries Ltd,NBR,,1163739,2008.0,FY,2008-01-01,2008-12-31,2011-03-31 12:59:58+00:00,1.69,1.69,,614367000.0,1.65,191952000.0,209660000.0,22308000.0,479664000.0,521594000.0,-41930000.0,475737000.0,3927000.0,3100613000.0,5336406000.0,,,196718000.0,,,479194000.0,3100613000.0,2235793000.0,,1504539000.0,731254000.0,,731254000.0,5336406000.0,281500000.0,281622000.0,288236000.0
Nabors Industries Ltd,NBR,,1163739,2008.0,Q3,2008-07-01,2008-09-30,2009-10-30 15:48:39+00:00,0.69,0.69,,162198000.0,0.67,10875000.0,86821000.0,7656000.0,193983000.0,193983000.0,,193983000.0,,805533000.0,1440260000.0,,,50546000.0,,,122648000.0,805533000.0,634727000.0,,353923000.0,280804000.0,,280804000.0,1440260000.0,281100000.0,282389000.0,289149000.0
Nabors Industries Ltd,NBR,,1163739,2008.0,Q2,2008-04-01,2008-06-30,2009-07-31 17:17:55+00:00,0.63,0.63,,148813000.0,0.6,3158000.0,61230000.0,7343000.0,176413000.0,176413000.0,,176413000.0,,740178000.0,1303424000.0,,,49375000.0,,,116914000.0,740178000.0,563246000.0,,325603000.0,237643000.0,,237643000.0,1303424000.0,280000000.0,280851000.0,294487000.0
Nabors Industries Ltd,NBR,,1163739,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 17:20:46+00:00,,-0.3,,663958000.0,-0.3,130525000.0,-63937000.0,,-85888000.0,132721000.0,-218609000.0,-85546000.0,-342000.0,1981504000.0,3532310000.0,,,266047000.0,,,421492000.0,1981504000.0,1550806000.0,,1482022000.0,68784000.0,,68784000.0,3532310000.0,,283326000.0,286502000.0
Nabors Industries Ltd,NBR,,1163739,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 16:27:13+00:00,0.1,0.1,,173701000.0,0.1,10516000.0,-15477000.0,2494000.0,30425000.0,53675000.0,-23250000.0,29530000.0,895000.0,431280000.0,804497000.0,,,66671000.0,,,81637000.0,431280000.0,373217000.0,,335019000.0,38198000.0,,38198000.0,804497000.0,295300000.0,283197000.0,287407000.0
Nabors Industries Ltd,NBR,,1163739,2009.0,Q2,2009-04-01,2009-06-30,2010-08-09 14:52:00+00:00,-0.68,-0.68,,165974000.0,-0.68,233772000.0,-14897000.0,2590000.0,-193206000.0,-193206000.0,,-192986000.0,-220000.0,453922000.0,877990000.0,,,66027000.0,,,163808000.0,453922000.0,424068000.0,,632171000.0,-208103000.0,,-208103000.0,877990000.0,283800000.0,283154000.0,283154000.0
Nabors Industries Ltd,NBR,,1163739,2010.0,Q4,2010-10-01,2010-12-31,,0.18,0.18,,215878000.0,0.18,-55367000.0,23796000.0,-15646000.0,51774000.0,199943000.0,-148169000.0,50481000.0,1293000.0,752230000.0,1291024000.0,-750000.0,,73677000.0,,,95763000.0,752230000.0,538794000.0,,314305000.0,224489000.0,,224489000.0,1291024000.0,287000000.0,285145000.0,289996000.0
Nabors Industries Ltd,NBR,,1163739,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 13:31:02+00:00,0.33,0.33,,760962000.0,0.33,108530000.0,36950000.0,,94780000.0,255870000.0,-161090000.0,94695000.0,85000.0,2400519000.0,4175013000.0,-750000.0,,272712000.0,,,338720000.0,2400519000.0,1774494000.0,,1480924000.0,293570000.0,,293570000.0,4175013000.0,287000000.0,285145000.0,289996000.0
Nabors Industries Ltd,NBR,,1163739,2010.0,Q3YTD,2010-01-01,2010-09-30,,0.15,0.15,,545084000.0,0.15,163897000.0,13154000.0,15646000.0,43006000.0,55927000.0,-12921000.0,44214000.0,-1208000.0,1648289000.0,2883989000.0,,,199035000.0,,,242957000.0,1648289000.0,1235700000.0,,1166619000.0,69081000.0,,69081000.0,2883989000.0,282900000.0,285282000.0,285282000.0
Nabors Industries Ltd,NBR,,1163739,2010.0,Q3,2010-07-01,2010-09-30,2011-11-09 16:25:50+00:00,-0.14,-0.14,,198151000.0,-0.14,132506000.0,-4230000.0,5778000.0,-39154000.0,-31563000.0,-7591000.0,-39607000.0,453000.0,625561000.0,1080370000.0,,,66973000.0,,,87194000.0,625561000.0,454809000.0,,490602000.0,-35793000.0,,-35793000.0,1080370000.0,282900000.0,285282000.0,285282000.0
Nabors Industries Ltd,NBR,,1163739,2010.0,Q2YTD,2010-01-01,2010-06-30,,0.29,0.29,,346933000.0,0.29,31391000.0,17384000.0,9868000.0,82160000.0,87490000.0,-5330000.0,83821000.0,-1661000.0,1022728000.0,1803619000.0,,,132062000.0,,,155763000.0,1022728000.0,780891000.0,,676017000.0,104874000.0,,104874000.0,1803619000.0,290800000.0,285181000.0,289796000.0
Nabors Industries Ltd,NBR,,1163739,2010.0,Q2,2010-04-01,2010-06-30,2011-08-02 16:28:51+00:00,0.15,0.15,,175397000.0,0.15,11024000.0,8794000.0,4841000.0,43062000.0,43971000.0,-909000.0,43621000.0,-559000.0,517531000.0,907188000.0,,,65293000.0,,,80337000.0,517531000.0,389657000.0,,336892000.0,52765000.0,,52765000.0,907188000.0,290800000.0,285181000.0,289796000.0
Nabors Industries Ltd,NBR,,1163739,2010.0,Q1,2010-01-01,2010-03-31,2011-05-03 16:28:22+00:00,0.14,0.14,,171536000.0,0.14,20367000.0,8590000.0,5027000.0,39098000.0,43519000.0,-4421000.0,40200000.0,-1102000.0,505197000.0,896431000.0,,,66769000.0,,,75426000.0,505197000.0,391234000.0,,339125000.0,52109000.0,,52109000.0,896431000.0,287100000.0,284672000.0,290736000.0
Nabors Industries Ltd,NBR,,1163739,2011.0,Q4,2011-10-01,2011-12-31,,-0.11,-0.35,,233785000.0,-0.33,105574000.0,46323000.0,,-99605000.0,94541000.0,-194146000.0,-101005000.0,1400000.0,1050536000.0,1721816000.0,-750000.0,,60851000.0,,,129456000.0,1050536000.0,671280000.0,,529666000.0,141614000.0,,141614000.0,1721816000.0,292400000.0,287118000.0,292484000.0
Nabors Industries Ltd,NBR,,1163739,2011.0,FY,2011-01-01,2011-12-31,2014-03-03 17:16:54+00:00,0.85,0.87,,918122000.0,0.85,202546000.0,165083000.0,,249569000.0,347170000.0,-97601000.0,248524000.0,1045000.0,3738506000.0,6118867000.0,-3000000.0,,256632000.0,,,487808000.0,3738506000.0,2380361000.0,,1865108000.0,515253000.0,,515253000.0,6118867000.0,292400000.0,287118000.0,292484000.0
Nabors Industries Ltd,NBR,,1163739,2011.0,Q3YTD,2011-01-01,2011-09-30,,0.96,1.22,,684337000.0,1.18,96972000.0,118760000.0,,349174000.0,252629000.0,96545000.0,349529000.0,-355000.0,2687970000.0,4397051000.0,-2250000.0,,195781000.0,,,358352000.0,2687970000.0,1709081000.0,,1335442000.0,373639000.0,,373639000.0,4397051000.0,,287487000.0,291986000.0
