company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,rdexpense,sgaexpense,totalcostofrevenue,totalgrossprofit,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Dell Technologies Inc,DELL,,1571996,2008.0,FY,2007-02-03,2008-02-01,2010-03-18 16:26:08+00:00,1.33,1.33,,1.31,880000000.0,2947000000.0,2947000000.0,,2947000000.0,,49462000000.0,61133000000.0,387000000.0,693000000.0,7538000000.0,49462000000.0,11671000000.0,8231000000.0,3440000000.0,387000000.0,3827000000.0,61133000000.0,2215800000.0,2223000000.0,2247000000.0
Dell Technologies Inc,DELL,,1571996,2009.0,FY,2008-02-02,2009-01-30,2011-03-15 16:36:52+00:00,1.25,1.25,,1.25,846000000.0,2478000000.0,2478000000.0,,2478000000.0,,50144000000.0,61101000000.0,134000000.0,665000000.0,7102000000.0,50144000000.0,10957000000.0,7767000000.0,3190000000.0,134000000.0,3324000000.0,61101000000.0,1982400000.0,1980000000.0,1986000000.0
Dell Technologies Inc,DELL,,1571996,2009.0,Q3,2008-08-02,2008-10-31,2009-12-03 16:23:49+00:00,0.37,0.37,,0.37,282000000.0,727000000.0,727000000.0,,727000000.0,,12309000000.0,15162000000.0,-6000000.0,167000000.0,1671000000.0,12309000000.0,2853000000.0,1838000000.0,1015000000.0,-6000000.0,1009000000.0,15162000000.0,1964900000.0,1953000000.0,1957000000.0
Dell Technologies Inc,DELL,,1571996,2009.0,Q2,2008-05-03,2008-08-01,2009-09-11 15:42:35+00:00,0.31,0.31,,0.31,221000000.0,616000000.0,616000000.0,,616000000.0,,13607000000.0,16434000000.0,18000000.0,168000000.0,1840000000.0,13607000000.0,2827000000.0,2008000000.0,819000000.0,18000000.0,837000000.0,16434000000.0,1987100000.0,1991000000.0,1999000000.0
Dell Technologies Inc,DELL,,1571996,2010.0,Q4,2009-10-31,2010-01-29,,0.17,0.17,,0.17,135000000.0,334000000.0,334000000.0,,334000000.0,,12431000000.0,14900000000.0,-41000000.0,179000000.0,1780000000.0,12431000000.0,2469000000.0,1959000000.0,510000000.0,-41000000.0,469000000.0,14900000000.0,1963000000.0,1954000000.0,1962000000.0
Dell Technologies Inc,DELL,,1571996,2010.0,FY,2009-01-31,2010-01-29,2012-03-13 16:21:54+00:00,0.73,0.73,,0.73,591000000.0,1433000000.0,1433000000.0,,1433000000.0,,43641000000.0,52902000000.0,-148000000.0,624000000.0,6465000000.0,43641000000.0,9261000000.0,7089000000.0,2172000000.0,-148000000.0,2024000000.0,52902000000.0,1963000000.0,1954000000.0,1962000000.0
Dell Technologies Inc,DELL,,1571996,2010.0,Q3YTD,2009-01-31,2009-10-30,,0.56,0.56,,0.56,456000000.0,1099000000.0,1099000000.0,,1099000000.0,,31210000000.0,38002000000.0,-107000000.0,445000000.0,4685000000.0,31210000000.0,6792000000.0,5130000000.0,1662000000.0,-107000000.0,1555000000.0,38002000000.0,1982400000.0,1956000000.0,1966000000.0
Dell Technologies Inc,DELL,,1571996,2010.0,Q3,2009-08-01,2009-10-30,2010-12-02 16:47:37+00:00,0.17,0.17,,0.17,177000000.0,337000000.0,337000000.0,,337000000.0,,10663000000.0,12896000000.0,-63000000.0,155000000.0,1501000000.0,10663000000.0,2233000000.0,1656000000.0,577000000.0,-63000000.0,514000000.0,12896000000.0,1982400000.0,1956000000.0,1966000000.0
Dell Technologies Inc,DELL,,1571996,2010.0,Q2YTD,2009-01-31,2009-07-31,,0.39,0.39,,0.39,279000000.0,762000000.0,762000000.0,,762000000.0,,20547000000.0,25106000000.0,-44000000.0,290000000.0,3184000000.0,20547000000.0,4559000000.0,3474000000.0,1085000000.0,-44000000.0,1041000000.0,25106000000.0,1966700000.0,1955000000.0,1960000000.0
Dell Technologies Inc,DELL,,1571996,2010.0,Q2,2009-05-02,2009-07-31,2010-09-01 14:15:14+00:00,0.24,0.24,,0.24,157000000.0,472000000.0,472000000.0,,472000000.0,,10373000000.0,12764000000.0,-42000000.0,149000000.0,1571000000.0,10373000000.0,2391000000.0,1720000000.0,671000000.0,-42000000.0,629000000.0,12764000000.0,1966700000.0,1955000000.0,1960000000.0
