company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2008.0,FY,2007-06-01,2008-05-31,2010-07-20 17:18:30+00:00,3.8,3.8,0.875,3.74,,619500000.0,,1883400000.0,1883400000.0,,1883400000.0,10239600000.0,18627000000.0,-7900000.0,,5953700000.0,10239600000.0,8387400000.0,77100000.0,5953700000.0,2433700000.0,69200000.0,2502900000.0,18627000000.0,495600000.0,495600000.0,503600000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2009.0,Q4,2009-03-01,2009-05-31,,0.7,0.7,0.25,0.7,-300000.0,145100000.0,2352000000.0,341700000.0,341700000.0,,341700000.0,2669500000.0,4712900000.0,34900000.0,195000000.0,-957300000.0,2669500000.0,2043400000.0,-2100000.0,1589400000.0,454000000.0,32800000.0,486800000.0,4712900000.0,484900000.0,484900000.0,484900000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2009.0,FY,2008-06-01,2009-05-31,2011-07-22 16:16:31+00:00,3.07,3.07,0.98,3.03,401000000.0,470000000.0,2352000000.0,1487000000.0,1487000000.0,,1487000000.0,10572000000.0,19176000000.0,89000000.0,195000000.0,3798000000.0,10572000000.0,8604000000.0,10000000.0,6746000000.0,1858000000.0,99000000.0,1957000000.0,19176000000.0,484900000.0,484900000.0,484900000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2009.0,Q3YTD,2008-06-01,2009-02-28,,2.35,2.35,0.71,2.35,401300000.0,324900000.0,,1145300000.0,1145300000.0,,1145300000.0,7902500000.0,14463100000.0,54100000.0,,4755300000.0,7902500000.0,6560600000.0,12100000.0,5156600000.0,1404000000.0,66200000.0,1470200000.0,14463100000.0,,487600000.0,487600000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2009.0,Q3,2008-12-01,2009-02-28,2010-04-07 17:10:32+00:00,,0.5,0.25,0.5,401300000.0,-8400000.0,,243800000.0,243800000.0,,243800000.0,2492300000.0,4440800000.0,43300000.0,,1352100000.0,2492300000.0,1948500000.0,-3000000.0,1753400000.0,195100000.0,40300000.0,235400000.0,4440800000.0,,487600000.0,487600000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2009.0,Q2YTD,2008-06-01,2008-11-30,,1.87,1.87,0.47,1.87,,333300000.0,,901500000.0,901500000.0,,901500000.0,5410200000.0,10022300000.0,10800000.0,,3403200000.0,5410200000.0,4612100000.0,15100000.0,3403200000.0,1208900000.0,25900000.0,1234800000.0,10022300000.0,482700000.0,482700000.0,488800000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2009.0,Q2,2008-09-01,2008-11-30,2010-01-06 17:17:10+00:00,0.81,0.81,0.25,0.8,,129600000.0,,391000000.0,391000000.0,,391000000.0,2540100000.0,4590100000.0,12400000.0,,1546800000.0,2540100000.0,2050000000.0,5000000.0,1546800000.0,503200000.0,17400000.0,520600000.0,4590100000.0,482700000.0,482700000.0,488800000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2009.0,Q1,2008-06-01,2008-08-31,2009-10-08 17:06:59+00:00,1.05,1.05,0.23,1.03,,203700000.0,,510500000.0,510500000.0,,510500000.0,2870100000.0,5432200000.0,-1600000.0,,1856400000.0,2870100000.0,2562100000.0,10100000.0,1856400000.0,705700000.0,8500000.0,714200000.0,5432200000.0,486200000.0,486200000.0,495600000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2010.0,Q4,2010-03-01,2010-05-31,,1.08,1.08,0.27,1.08,,161000000.0,666000000.0,522000000.0,522000000.0,,522000000.0,2671000000.0,5077000000.0,17000000.0,,1072000000.0,2671000000.0,2406000000.0,-2000000.0,1738000000.0,668000000.0,15000000.0,683000000.0,5077000000.0,485500000.0,485500000.0,485500000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2010.0,FY,2009-06-01,2010-05-31,2012-07-24 16:16:23+00:00,3.93,3.93,1.06,3.86,,610000000.0,2356000000.0,1907000000.0,1907000000.0,,1907000000.0,10214000000.0,19014000000.0,49000000.0,,3970000000.0,10214000000.0,8800000000.0,-6000000.0,6326000000.0,2474000000.0,43000000.0,2517000000.0,19014000000.0,485500000.0,485500000.0,485500000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2010.0,Q3YTD,2009-06-01,2010-02-28,,2.86,2.86,0.77,2.86,,449000000.0,1690000000.0,1385000000.0,1385000000.0,,1385000000.0,7543000000.0,13937000000.0,32000000.0,,2898000000.0,7543000000.0,6394000000.0,-4000000.0,4588000000.0,1806000000.0,28000000.0,1834000000.0,13937000000.0,484400000.0,484400000.0,484400000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2010.0,Q3TTM,2009-03-01,2010-02-28,,3.56,3.56,1.02,3.56,-300000.0,594100000.0,4042000000.0,1726700000.0,1726700000.0,,1726700000.0,10212500000.0,18649900000.0,66900000.0,195000000.0,1940700000.0,10212500000.0,8437400000.0,-6100000.0,6177400000.0,2260000000.0,60800000.0,2320800000.0,18649900000.0,484400000.0,484400000.0,484400000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2010.0,Q3,2009-12-01,2010-02-28,2011-04-06 16:43:42+00:00,1.02,1.02,0.27,1.01,,165000000.0,563000000.0,497000000.0,497000000.0,,497000000.0,2515000000.0,4733000000.0,8000000.0,,1000000000.0,2515000000.0,2218000000.0,-1000000.0,1563000000.0,655000000.0,7000000.0,662000000.0,4733000000.0,484400000.0,484400000.0,484400000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2010.0,Q2YTD,2009-06-01,2009-11-30,,1.83,1.83,0.52,1.8,,284000000.0,1127000000.0,888000000.0,888000000.0,,888000000.0,5028000000.0,9204000000.0,24000000.0,,1898000000.0,5028000000.0,4176000000.0,-3000000.0,3025000000.0,1151000000.0,21000000.0,1172000000.0,9204000000.0,487200000.0,487200000.0,487200000.0
