company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Clorox Co,CLX,54930044KVSC06Z79I06,21076,2008.0,FY,2007-07-01,2008-06-30,2010-08-25 20:29:57+00:00,3.3,3.27,1.6,3.23,,232000000.0,486000000.0,461000000.0,461000000.0,,461000000.0,3098000000.0,5273000000.0,9000000.0,111000000.0,36000000.0,690000000.0,3098000000.0,2175000000.0,168000000.0,1323000000.0,852000000.0,-159000000.0,693000000.0,5273000000.0,139700000.0,139633000.0,141197000.0
Clorox Co,CLX,54930044KVSC06Z79I06,21076,2009.0,Q4,2009-04-01,2009-06-30,,1.21,1.21,0.46,1.2,,54000000.0,123000000.0,170000000.0,105000000.0,65000000.0,170000000.0,663000000.0,1208000000.0,-19000000.0,32000000.0,3000000.0,173000000.0,663000000.0,545000000.0,36000000.0,331000000.0,214000000.0,-55000000.0,159000000.0,1208000000.0,140600000.0,139015000.0,140169000.0
Clorox Co,CLX,54930044KVSC06Z79I06,21076,2009.0,FY,2008-07-01,2009-06-30,2011-08-25 18:40:13+00:00,3.82,3.82,1.84,3.79,,237000000.0,474000000.0,537000000.0,472000000.0,65000000.0,537000000.0,2954000000.0,5158000000.0,-25000000.0,113000000.0,19000000.0,703000000.0,2954000000.0,2204000000.0,161000000.0,1309000000.0,895000000.0,-186000000.0,709000000.0,5158000000.0,140600000.0,139015000.0,140169000.0
Clorox Co,CLX,54930044KVSC06Z79I06,21076,2009.0,Q3YTD,2008-07-01,2009-03-31,,2.61,2.61,1.38,2.59,,183000000.0,351000000.0,367000000.0,367000000.0,,367000000.0,2291000000.0,3950000000.0,-6000000.0,81000000.0,16000000.0,530000000.0,2291000000.0,1659000000.0,125000000.0,978000000.0,681000000.0,-131000000.0,550000000.0,3950000000.0,141700000.0,139213000.0,140002000.0
Clorox Co,CLX,54930044KVSC06Z79I06,21076,2009.0,Q3,2009-01-01,2009-03-31,2010-05-04 16:17:37+00:00,1.08,1.08,0.46,1.08,,80000000.0,125000000.0,153000000.0,153000000.0,,153000000.0,739000000.0,1350000000.0,1000000.0,27000000.0,14000000.0,174000000.0,739000000.0,611000000.0,39000000.0,340000000.0,271000000.0,-38000000.0,233000000.0,1350000000.0,141700000.0,139213000.0,140002000.0
Clorox Co,CLX,54930044KVSC06Z79I06,21076,2009.0,Q2YTD,2008-07-01,2008-12-31,,1.53,1.53,0.92,1.51,,103000000.0,226000000.0,214000000.0,214000000.0,,214000000.0,1552000000.0,2600000000.0,-7000000.0,54000000.0,2000000.0,356000000.0,1552000000.0,1048000000.0,86000000.0,638000000.0,410000000.0,-93000000.0,317000000.0,2600000000.0,138700000.0,139086000.0,140349000.0
Clorox Co,CLX,54930044KVSC06Z79I06,21076,2009.0,Q2,2008-10-01,2008-12-31,2010-02-05 16:40:01+00:00,0.62,0.62,0.46,0.61,,45000000.0,107000000.0,86000000.0,86000000.0,,86000000.0,730000000.0,1216000000.0,-4000000.0,27000000.0,1000000.0,172000000.0,730000000.0,486000000.0,44000000.0,307000000.0,179000000.0,-48000000.0,131000000.0,1216000000.0,138700000.0,139086000.0,140349000.0
Clorox Co,CLX,54930044KVSC06Z79I06,21076,2009.0,Q1,2008-07-01,2008-09-30,2009-11-03 17:13:33+00:00,0.91,0.91,0.46,0.9,,58000000.0,119000000.0,128000000.0,128000000.0,,128000000.0,822000000.0,1384000000.0,-3000000.0,27000000.0,1000000.0,184000000.0,822000000.0,562000000.0,42000000.0,331000000.0,231000000.0,-45000000.0,186000000.0,1384000000.0,140700000.0,138457000.0,139860000.0
Clorox Co,CLX,54930044KVSC06Z79I06,21076,2010.0,Q4,2010-04-01,2010-06-30,,1.21,1.21,0.5,1.2,,92000000.0,127000000.0,171000000.0,150000000.0,21000000.0,171000000.0,796000000.0,1429000000.0,,33000000.0,,199000000.0,796000000.0,633000000.0,32000000.0,359000000.0,274000000.0,-32000000.0,242000000.0,1429000000.0,140900000.0,140272000.0,141534000.0
Clorox Co,CLX,54930044KVSC06Z79I06,21076,2010.0,FY,2009-07-01,2010-06-30,2012-08-24 16:29:04+00:00,4.28,4.28,2.0,4.24,0.0,279000000.0,494000000.0,603000000.0,526000000.0,77000000.0,603000000.0,2915000000.0,5234000000.0,-29000000.0,118000000.0,,734000000.0,2915000000.0,2319000000.0,139000000.0,1346000000.0,973000000.0,-168000000.0,805000000.0,5234000000.0,140900000.0,140272000.0,141534000.0
