company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
PepsiCo Inc,PEP,FJSUNZKFNQ5YPJ5OT455,77476,2007.0,FY,2006-12-31,2007-12-29,2010-02-22 16:19:59+00:00,-1320000000.0,1426000000.0,315000000.0,75000000.0,-100000000.0,,2251000000.0,-4006000000.0,-3744000000.0,6934000000.0,-4006000000.0,-3744000000.0,6934000000.0,-741000000.0,5670000000.0,5670000000.0,-62000000.0,1316000000.0,0.0,-2204000000.0,-496000000.0,-2430000000.0,-1057000000.0,-4300000000.0,-12000000.0,140000000.0,47000000.0
PepsiCo Inc,PEP,FJSUNZKFNQ5YPJ5OT455,77476,2008.0,Q4,2008-09-07,2008-12-27,,-218000000.0,488000000.0,22000000.0,-133000000.0,315000000.0,,578000000.0,-770000000.0,-891000000.0,2341000000.0,-770000000.0,-891000000.0,2341000000.0,547000000.0,726000000.0,726000000.0,812000000.0,149000000.0,257000000.0,-662000000.0,-13000000.0,-1047000000.0,-310000000.0,-523000000.0,-2000000.0,95000000.0,13000000.0
PepsiCo Inc,PEP,FJSUNZKFNQ5YPJ5OT455,77476,2008.0,FY,2007-12-30,2008-12-27,2011-02-18 16:57:00+00:00,-1925000000.0,1543000000.0,364000000.0,-153000000.0,-422000000.0,,4433000000.0,-3025000000.0,-2667000000.0,6999000000.0,-3025000000.0,-2667000000.0,6999000000.0,1154000000.0,5166000000.0,5166000000.0,712000000.0,727000000.0,-40000000.0,-2541000000.0,-156000000.0,-2446000000.0,-918000000.0,-4720000000.0,-6000000.0,1438000000.0,98000000.0
PepsiCo Inc,PEP,FJSUNZKFNQ5YPJ5OT455,77476,2008.0,Q3YTD,2007-12-30,2008-09-06,2009-10-08 16:10:28+00:00,-1707000000.0,1055000000.0,342000000.0,-20000000.0,-737000000.0,,3855000000.0,-2255000000.0,-1776000000.0,4658000000.0,-2255000000.0,-1776000000.0,4658000000.0,607000000.0,4440000000.0,4440000000.0,-100000000.0,578000000.0,-297000000.0,-1879000000.0,-143000000.0,-1399000000.0,-608000000.0,-4197000000.0,-4000000.0,1343000000.0,85000000.0
PepsiCo Inc,PEP,FJSUNZKFNQ5YPJ5OT455,77476,2009.0,Q4,2009-09-06,2009-12-26,,-200000000.0,552000000.0,-1000000.0,-38000000.0,606000000.0,413000000.0,-6000000.0,-510000000.0,-1156000000.0,2393000000.0,-510000000.0,-1156000000.0,2393000000.0,689000000.0,1437000000.0,1437000000.0,-202000000.0,-187000000.0,-2000000.0,-700000000.0,,-990000000.0,-27000000.0,,-3000000.0,12000000.0,25000000.0
PepsiCo Inc,PEP,FJSUNZKFNQ5YPJ5OT455,77476,2009.0,FY,2008-12-28,2009-12-26,2012-02-27 16:50:56+00:00,-500000000.0,1635000000.0,99000000.0,-19000000.0,267000000.0,413000000.0,1083000000.0,-2497000000.0,-2401000000.0,6796000000.0,-2497000000.0,-2401000000.0,6796000000.0,1879000000.0,5979000000.0,5979000000.0,-1085000000.0,16000000.0,28000000.0,-2732000000.0,-29000000.0,-2128000000.0,-1270000000.0,,-7000000.0,71000000.0,58000000.0
PepsiCo Inc,PEP,FJSUNZKFNQ5YPJ5OT455,77476,2009.0,Q3TTM,2008-09-07,2009-09-05,,-518000000.0,1571000000.0,122000000.0,-114000000.0,-24000000.0,,1667000000.0,-2757000000.0,-2136000000.0,6744000000.0,-2757000000.0,-2136000000.0,6744000000.0,1737000000.0,5268000000.0,5268000000.0,-71000000.0,352000000.0,287000000.0,-2694000000.0,-42000000.0,-2185000000.0,-1553000000.0,-523000000.0,-6000000.0,154000000.0,46000000.0
PepsiCo Inc,PEP,FJSUNZKFNQ5YPJ5OT455,77476,2009.0,Q3,2009-06-14,2009-09-05,,-180000000.0,398000000.0,84000000.0,31000000.0,802000000.0,,3000000.0,-1453000000.0,-449000000.0,2911000000.0,-1453000000.0,-449000000.0,2911000000.0,1040000000.0,1733000000.0,1733000000.0,-22000000.0,78000000.0,30000000.0,-701000000.0,-6000000.0,-403000000.0,-832000000.0,,-1000000.0,19000000.0,7000000.0
PepsiCo Inc,PEP,FJSUNZKFNQ5YPJ5OT455,77476,2009.0,Q3YTD,2008-12-28,2009-09-05,2010-10-07 16:25:50+00:00,-300000000.0,1083000000.0,100000000.0,19000000.0,-339000000.0,,1089000000.0,-1987000000.0,-1245000000.0,4403000000.0,-1987000000.0,-1245000000.0,4403000000.0,1190000000.0,4542000000.0,4542000000.0,-883000000.0,203000000.0,30000000.0,-2032000000.0,-29000000.0,-1138000000.0,-1243000000.0,,-4000000.0,59000000.0,33000000.0
PepsiCo Inc,PEP,FJSUNZKFNQ5YPJ5OT455,77476,2009.0,Q2,2009-03-22,2009-06-13,,-93000000.0,371000000.0,16000000.0,50000000.0,-300000000.0,,-332000000.0,-1296000000.0,-486000000.0,1758000000.0,-1296000000.0,-486000000.0,1758000000.0,26000000.0,1668000000.0,1668000000.0,19000000.0,27000000.0,,-662000000.0,,-437000000.0,-327000000.0,,-2000000.0,10000000.0,18000000.0
