company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,otheroperatingexpenses,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2007.0,FY,2006-10-01,2007-09-30,2009-11-25 13:58:55+00:00,4.79,4.79,1.48,4.64,,287200000.0,1035600000.0,1019600000.0,16000000.0,1035600000.0,,6698900000.0,9148200000.0,-20800000.0,,-42300000.0,-26500000.0,129000000.0,13700000.0,999800000.0,6698900000.0,2449300000.0,162400000.0,114400000.0,1073700000.0,1375600000.0,-48000000.0,1327600000.0,9148200000.0,216200000.0,216200000.0,223200000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2008.0,FY,2007-10-01,2008-09-30,2010-11-23 06:04:42+00:00,4.29,4.29,1.7,4.15,,365300000.0,938100000.0,1113500000.0,-175400000.0,909700000.0,28400000.0,7693100000.0,10414500000.0,,,-25800000.0,30300000.0,130700000.0,,1090400000.0,7693100000.0,2721400000.0,162000000.0,145000000.0,1225600000.0,1495800000.0,-17000000.0,1478800000.0,10414500000.0,212100000.0,212200000.0,219200000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2009.0,Q4,2009-07-01,2009-09-30,,2.14,1.16,0.45,1.14,,86300000.0,243900000.0,246000000.0,-2100000.0,243900000.0,,1545000000.0,2129300000.0,,,-9300000.0,2700000.0,29400000.0,,233500000.0,1545000000.0,584300000.0,27900000.0,32200000.0,256300000.0,328000000.0,4300000.0,332300000.0,2129300000.0,209700000.0,209900000.0,213500000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2009.0,FY,2008-10-01,2009-09-30,2011-11-22 16:13:06+00:00,3.01,3.01,1.79,2.96,,185300000.0,642700000.0,651300000.0,-8600000.0,631300000.0,11400000.0,6042100000.0,8256200000.0,,,-23000000.0,32900000.0,116300000.0,298200000.0,943400000.0,6042100000.0,2214100000.0,121900000.0,112200000.0,1367800000.0,846300000.0,-9700000.0,836600000.0,8256200000.0,209700000.0,209900000.0,213500000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2009.0,Q3YTD,2008-10-01,2009-06-30,,0.87,1.85,1.34,1.82,,99000000.0,398800000.0,405300000.0,-6500000.0,387400000.0,11400000.0,4497100000.0,6126900000.0,,,-13700000.0,30200000.0,86900000.0,298200000.0,709900000.0,4497100000.0,1629800000.0,94000000.0,80000000.0,1111500000.0,518300000.0,-14000000.0,504300000.0,6126900000.0,209600000.0,209800000.0,214000000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2009.0,Q3,2009-04-01,2009-06-30,2010-07-26 15:45:44+00:00,0.54,0.54,0.45,0.53,,25400000.0,118000000.0,119400000.0,-1400000.0,113200000.0,4800000.0,1427500000.0,1976200000.0,,,-5700000.0,30200000.0,24100000.0,124000000.0,232300000.0,1427500000.0,548700000.0,27500000.0,28500000.0,404900000.0,143800000.0,1000000.0,144800000.0,1976200000.0,209600000.0,209800000.0,214000000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2009.0,Q2YTD,2008-10-01,2009-03-31,,0.33,1.31,0.89,1.29,,73600000.0,280800000.0,285900000.0,-5100000.0,274200000.0,6600000.0,3069600000.0,4150700000.0,,,-8000000.0,,62800000.0,174200000.0,477600000.0,3069600000.0,1081100000.0,66500000.0,51500000.0,706600000.0,374500000.0,-15000000.0,359500000.0,4150700000.0,,209600000.0,212300000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2009.0,Q2,2009-01-01,2009-03-31,2010-04-26 09:39:29+00:00,,0.98,0.45,0.97,,66500000.0,207200000.0,190900000.0,16300000.0,205600000.0,1600000.0,1439900000.0,1955400000.0,,,-5100000.0,,29600000.0,,230600000.0,1439900000.0,515500000.0,30000000.0,27000000.0,255100000.0,260400000.0,-3000000.0,257400000.0,1955400000.0,,209600000.0,212300000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2009.0,Q1,2008-10-01,2008-12-31,2010-01-26 11:00:40+00:00,0.33,0.33,0.44,0.32,,7100000.0,73600000.0,95000000.0,-21400000.0,68600000.0,5000000.0,1629700000.0,2195300000.0,,,-2900000.0,,33200000.0,174200000.0,247000000.0,1629700000.0,565600000.0,36500000.0,24500000.0,451500000.0,114100000.0,-12000000.0,102100000.0,2195300000.0,207900000.0,209400000.0,212100000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2010.0,Q4,2010-07-01,2010-09-30,,1.28,1.28,0.49,1.25,,59700000.0,278000000.0,190500000.0,87500000.0,272100000.0,5900000.0,1480600000.0,1941300000.0,,,-13100000.0,35300000.0,31900000.0,,160900000.0,1480600000.0,460700000.0,30800000.0,35300000.0,215000000.0,245700000.0,4500000.0,250200000.0,1941300000.0,212200000.0,212200000.0,217100000.0
