company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,assetretirementandlitigationobligation,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentemployeebenefitliabilities,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncurrentdeferredrevenue,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,notereceivable,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2008.0,FY,,2008-12-31,2010-02-26 17:25:32+00:00,147104000.0,30773000.0,62535000.0,,-185282000.0,173435000.0,10194000.0,,1845105000.0,71205000.0,44858000.0,3085468000.0,,673792000.0,2153588000.0,27998000.0,364311000.0,4155812000.0,,920475000.0,338745000.0,326204000.0,,,0.0,14384000.0,79664000.0,113563000.0,54469000.0,,1893929000.0,1394185000.0,36734000.0,8916624000.0,3553752000.0,893890000.0,1663066000.0,3553752000.0,3553752000.0,5362872000.0,8916624000.0,3866922000.0,3699806000.0,
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2008.0,Q2,,2008-06-30,2009-08-05 17:01:59+00:00,215835000.0,523303000.0,,2325181000.0,-26565000.0,,151210000.0,0.0,1812780000.0,62074000.0,,3895267000.0,6047065000.0,153094000.0,2183584000.0,24265000.0,383500000.0,3721884000.0,,685432000.0,,,,178775000.0,,,200493000.0,415506000.0,19392000.0,,2129554000.0,1539581000.0,0.0,9134482000.0,3915769000.0,1139479000.0,1934191000.0,3915769000.0,3915769000.0,5218713000.0,9134482000.0,4273119000.0,3284522000.0,
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2009.0,FY,,2009-12-31,2011-02-28 15:32:28+00:00,121324000.0,13271000.0,65503000.0,,-194358000.0,167757000.0,22265000.0,,2494140000.0,56017000.0,38148000.0,3096300000.0,,682643000.0,2116120000.0,33283000.0,325033000.0,3874671000.0,,893974000.0,355350000.0,254753000.0,,,15072000.0,9827000.0,105085000.0,97738000.0,42367000.0,0.0,1737455000.0,621893000.0,4111000.0,8524871000.0,4037237000.0,732889000.0,856695000.0,4037237000.0,4037237000.0,4487634000.0,8524871000.0,3917311000.0,3630939000.0,
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2009.0,Q3,,2009-09-30,2010-11-03 14:54:16+00:00,141884000.0,399013000.0,,2713057000.0,-179674000.0,,46547000.0,,2468166000.0,67967000.0,,3093979000.0,6678317000.0,681087000.0,2506170000.0,31424000.0,331695000.0,3965260000.0,,896598000.0,,,,187171000.0,0.0,0.0,105927000.0,599039000.0,33466000.0,0.0,1797036000.0,346778000.0,6803000.0,8763168000.0,4085528000.0,885491000.0,675833000.0,4085528000.0,4085528000.0,4677640000.0,8763168000.0,3912417000.0,4001807000.0,
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2009.0,Q2,,2009-06-30,2010-08-04 16:01:41+00:00,145744000.0,385501000.0,,2644146000.0,-181374000.0,,43711000.0,,2441496000.0,69080000.0,,3093979000.0,6672394000.0,683092000.0,2521190000.0,30614000.0,363583000.0,4028248000.0,,928687000.0,,,,130103000.0,0.0,0.0,87339000.0,617651000.0,58425000.0,0.0,1774113000.0,472717000.0,6755000.0,8850327000.0,4034235000.0,927055000.0,748564000.0,4034235000.0,4034235000.0,4816092000.0,8850327000.0,3895024000.0,4067528000.0,
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2009.0,Q1,,2009-03-31,2010-05-04 08:08:53+00:00,138939000.0,330063000.0,,2560199000.0,-183501000.0,,47446000.0,,1861244000.0,70442000.0,,3084922000.0,6649867000.0,672871000.0,2536211000.0,28011000.0,361820000.0,4089668000.0,,926016000.0,,,,154432000.0,0.0,0.0,80406000.0,619386000.0,60840000.0,0.0,1806603000.0,978689000.0,11530000.0,8838019000.0,3484346000.0,882141000.0,1272060000.0,3484346000.0,3484346000.0,5353673000.0,8838019000.0,3866210000.0,4081613000.0,
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2010.0,FY,,2010-12-31,2012-02-29 16:58:37+00:00,102315000.0,317798000.0,129084000.0,,-177339000.0,162730000.0,47541000.0,0.0,2629456000.0,54704000.0,48841000.0,3097016000.0,,691693000.0,2427516000.0,37386000.0,319845000.0,3632914000.0,,843599000.0,284146000.0,,,,13207000.0,11362000.0,106776000.0,83399000.0,20109000.0,547000.0,1503681000.0,290746000.0,,8339536000.0,3955798000.0,773751000.0,582348000.0,3955798000.0,3955798000.0,4383738000.0,8339536000.0,3932871000.0,3801390000.0,
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2010.0,Q3,,2010-09-30,2011-11-04 10:43:46+00:00,138462000.0,404934000.0,,2987287000.0,-183829000.0,,82496000.0,0.0,2615929000.0,64768000.0,,3096300000.0,6664335000.0,685696000.0,2432521000.0,33808000.0,316244000.0,3677048000.0,,856631000.0,,,,207085000.0,14582000.0,460000.0,106922000.0,537041000.0,34279000.0,531000.0,1591969000.0,325249000.0,3910000.0,8521518000.0,4024069000.0,921744000.0,671256000.0,4024069000.0,4024069000.0,4497449000.0,8521518000.0,3922726000.0,3826193000.0,
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2010.0,Q2,,2010-06-30,2011-08-04 12:34:50+00:00,168269000.0,389323000.0,,2915565000.0,-187458000.0,,42173000.0,0.0,2605942000.0,57575000.0,,3096300000.0,6632580000.0,681059000.0,2001180000.0,34078000.0,311340000.0,3717015000.0,,843408000.0,,,,160151000.0,14864000.0,409000.0,101610000.0,538929000.0,33972000.0,3746000.0,1610835000.0,745300000.0,3910000.0,8486965000.0,4029319000.0,856903000.0,1074129000.0,4029319000.0,4029319000.0,4457646000.0,8486965000.0,3913047000.0,3383517000.0,
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2010.0,Q1,,2010-03-31,2011-05-06 10:52:13+00:00,128974000.0,291412000.0,,2834162000.0,-191049000.0,,35940000.0,,2572425000.0,55040000.0,,3096300000.0,6627203000.0,681872000.0,2101147000.0,33298000.0,307601000.0,3793041000.0,,870384000.0,,,,154479000.0,14839000.0,425000.0,106620000.0,537835000.0,43088000.0,3643000.0,1666839000.0,625344000.0,4109000.0,8466803000.0,4048215000.0,755672000.0,909222000.0,4048215000.0,4048215000.0,4418588000.0,8466803000.0,3918090000.0,3509366000.0,
