company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 17:25:32+00:00,-3297898000.0,271475000.0,30560000.0,35268000.0,0.0,3116185000.0,2925813000.0,-3654299000.0,708144000.0,2925813000.0,-3654299000.0,708144000.0,-20342000.0,450910000.0,450910000.0,-49509000.0,6991000.0,7422000.0,-181315000.0,0.0,-483322000.0,-11248000.0,-4800000.0,0.0,88939000.0
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 15:32:28+00:00,-84057000.0,389060000.0,225783000.0,-108054000.0,55072000.0,949078000.0,-270839000.0,-189040000.0,435185000.0,-270839000.0,-189040000.0,435185000.0,-24694000.0,918000.0,918000.0,153261000.0,3337000.0,33622000.0,-214783000.0,-36734000.0,-353196000.0,-1063543000.0,,0.0,25542000.0
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2009.0,Q4,2009-10-01,2009-12-31,,,96454000.0,,20311000.0,19417000.0,-943000.0,-119898000.0,-2597000.0,98213000.0,-119898000.0,-2597000.0,98213000.0,-24282000.0,-13349000.0,-13349000.0,-5203000.0,8441000.0,-1076000.0,-31420000.0,,-15564000.0,-115393000.0,,2692000.0,11351000.0
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 16:58:37+00:00,-36980000.0,394612000.0,16075000.0,18886000.0,606546000.0,397660000.0,-360962000.0,-80002000.0,453035000.0,-360962000.0,-80002000.0,453035000.0,12071000.0,30314000.0,30314000.0,9223000.0,19399000.0,-400000.0,-171468000.0,0.0,-109729000.0,-1213099000.0,,33282000.0,17750000.0
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-03 14:54:16+00:00,-36980000.0,298158000.0,16075000.0,-1425000.0,587129000.0,398603000.0,-241064000.0,-77405000.0,354822000.0,-241064000.0,-77405000.0,354822000.0,36353000.0,43663000.0,43663000.0,14426000.0,10958000.0,676000.0,-140048000.0,,-94165000.0,-1097706000.0,,30590000.0,6399000.0
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2009.0,Q3,2009-07-01,2009-09-30,,,99243000.0,4538000.0,30996000.0,8892000.0,811000.0,-155368000.0,-27216000.0,185420000.0,-155368000.0,-27216000.0,185420000.0,2836000.0,54232000.0,54232000.0,949000.0,7261000.0,-38000.0,-31296000.0,,-34064000.0,-141036000.0,,,2348000.0
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-04 16:01:41+00:00,-36980000.0,198915000.0,11537000.0,-32421000.0,578237000.0,397792000.0,-85696000.0,-50189000.0,169402000.0,-85696000.0,-50189000.0,169402000.0,33517000.0,-10569000.0,-10569000.0,13477000.0,3697000.0,714000.0,-108752000.0,,-60101000.0,-956670000.0,,30590000.0,4051000.0
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2009.0,Q2,2009-04-01,2009-06-30,,-36980000.0,99600000.0,,-70220000.0,571437000.0,132000.0,-3242000.0,-64797000.0,64304000.0,-3242000.0,-64797000.0,64304000.0,-3735000.0,22211000.0,22211000.0,12713000.0,942000.0,278000.0,-54683000.0,,-34463000.0,-521070000.0,,5387000.0,981000.0
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2009.0,Q1,2009-01-01,2009-03-31,2010-05-04 08:08:53+00:00,,99315000.0,11537000.0,37799000.0,6800000.0,397660000.0,-82454000.0,14608000.0,105098000.0,-82454000.0,14608000.0,105098000.0,37252000.0,-32780000.0,-32780000.0,764000.0,2755000.0,436000.0,-54069000.0,,-25638000.0,-435600000.0,,25203000.0,3070000.0
Vulcan Materials Co,VMC,549300Q8LSNHAVWBNI21,1396009,2010.0,Q4,2010-10-01,2010-12-31,,-35130000.0,92919000.0,,24865000.0,,48988000.0,-63641000.0,-46193000.0,74879000.0,-63641000.0,-46193000.0,74879000.0,-34955000.0,-46997000.0,-46997000.0,4092000.0,8713000.0,3563000.0,-32096000.0,,-24220000.0,-89246000.0,,,9594000.0
