company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentemployeebenefitliabilities,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncurrentdeferredrevenue,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
NetApp Inc,NTAP,QTX3D84DZDD5JYOCYH15,1002047,2010.0,FY,,2010-04-30,2011-06-23 16:08:45+00:00,184600000.0,471500000.0,,2800000.0,1705000000.0,0.0,3454200000.0,1135100000.0,379100000.0,681000000.0,,25100000.0,1101500000.0,72800000.0,112900000.0,804400000.0,779500000.0,228700000.0,212200000.0,374000000.0,171900000.0,0.0,2000900000.0,0.0,2019000000.0,6494400000.0,2530500000.0,4537100000.0,1911000000.0,2530500000.0,2530500000.0,3963900000.0,6494400000.0,1152900000.0,2052900000.0,0.0,-2927400000.0
NetApp Inc,NTAP,QTX3D84DZDD5JYOCYH15,1002047,2011.0,Q3,,2011-01-28,2011-03-04 16:02:29+00:00,183600000.0,541500000.0,,7200000.0,1919400000.0,0.0,3953800000.0,1176900000.0,312900000.0,737000000.0,,35400000.0,1137700000.0,69200000.0,97200000.0,862200000.0,966400000.0,204400000.0,269000000.0,460900000.0,203500000.0,,2479800000.0,,2836200000.0,7763400000.0,3513400000.0,5598700000.0,1942400000.0,3513400000.0,3513400000.0,4250000000.0,7763400000.0,1302500000.0,2307600000.0,,-2927400000.0
NetApp Inc,NTAP,QTX3D84DZDD5JYOCYH15,1002047,2011.0,Q2,,2010-10-29,2010-12-06 16:03:40+00:00,175900000.0,446600000.0,,11000000.0,1771100000.0,0.0,3816500000.0,1135600000.0,277600000.0,737000000.0,,38800000.0,1125400000.0,69800000.0,84700000.0,845300000.0,866400000.0,218300000.0,245400000.0,415800000.0,204100000.0,,2307300000.0,,2610400000.0,7237800000.0,3207400000.0,5131100000.0,1834500000.0,3207400000.0,3207400000.0,4030400000.0,7237800000.0,1261400000.0,2195900000.0,,-2927400000.0
NetApp Inc,NTAP,QTX3D84DZDD5JYOCYH15,1002047,2011.0,Q1,,2010-07-30,2010-09-13 17:32:54+00:00,149900000.0,372500000.0,,4800000.0,1612000000.0,0.0,3629800000.0,1126800000.0,188800000.0,737000000.0,,43200000.0,1113400000.0,71200000.0,90400000.0,825400000.0,821000000.0,210400000.0,199900000.0,374800000.0,196100000.0,,2142700000.0,,2308900000.0,6645800000.0,2849900000.0,4594200000.0,1665400000.0,2849900000.0,2849900000.0,3795900000.0,6645800000.0,1226200000.0,2130500000.0,,-2927400000.0
NetApp Inc,NTAP,QTX3D84DZDD5JYOCYH15,1002047,2012.0,FY,,2012-04-27,2013-06-17 16:34:38+00:00,233100000.0,830900000.0,,4900000.0,1549800000.0,0.0,4410800000.0,1366500000.0,340300000.0,905200000.0,,236000000.0,0.0,,161500000.0,1137200000.0,1449400000.0,435600000.0,377600000.0,427400000.0,206900000.0,62600000.0,2805300000.0,1202300000.0,3848700000.0,9532300000.0,4293600000.0,6826500000.0,3519800000.0,4293600000.0,4293600000.0,5176100000.0,9532300000.0,1568600000.0,1656300000.0,0.0,-2927400000.0
NetApp Inc,NTAP,QTX3D84DZDD5JYOCYH15,1002047,2012.0,Q3,,2012-01-27,2012-03-05 16:36:57+00:00,220200000.0,685400000.0,,4600000.0,2420900000.0,0.0,4339700000.0,1309300000.0,269200000.0,905200000.0,,257500000.0,1188800000.0,,153800000.0,1081800000.0,1236500000.0,462400000.0,358800000.0,409400000.0,197300000.0,,2624600000.0,0.0,2445200000.0,8821600000.0,4041500000.0,6167700000.0,2157500000.0,4041500000.0,4041500000.0,4780100000.0,8821600000.0,1572100000.0,2622600000.0,,-2927400000.0
NetApp Inc,NTAP,QTX3D84DZDD5JYOCYH15,1002047,2012.0,Q2,,2011-10-28,2011-12-05 16:22:15+00:00,273200000.0,625200000.0,,7000000.0,2269000000.0,0.0,4211400000.0,1246700000.0,271300000.0,904000000.0,,279100000.0,1175800000.0,,163300000.0,1046100000.0,1191900000.0,399900000.0,331100000.0,444900000.0,211100000.0,,2512000000.0,0.0,2372600000.0,8504100000.0,3803000000.0,5830000000.0,2122300000.0,3803000000.0,3803000000.0,4701100000.0,8504100000.0,1628000000.0,2578800000.0,,-2927400000.0
NetApp Inc,NTAP,QTX3D84DZDD5JYOCYH15,1002047,2013.0,FY,,2013-04-26,2014-06-17 16:14:01+00:00,259700000.0,800900000.0,,8700000.0,3277100000.0,0.0,4739400000.0,1563300000.0,348000000.0,988100000.0,,180600000.0,994600000.0,,139500000.0,1170900000.0,1446200000.0,525200000.0,401800000.0,484600000.0,253500000.0,,2896800000.0,1257800000.0,3675500000.0,11242400000.0,4717500000.0,8418200000.0,3830600000.0,4717500000.0,4717500000.0,6524900000.0,11242400000.0,1653300000.0,2694300000.0,0.0,-2927400000.0
NetApp Inc,NTAP,QTX3D84DZDD5JYOCYH15,1002047,2013.0,Q3,,2013-01-25,2013-02-28 17:00:19+00:00,221200000.0,633800000.0,,8600000.0,3081700000.0,0.0,4694200000.0,1477300000.0,280300000.0,978100000.0,,193800000.0,994300000.0,,172900000.0,1189200000.0,1398700000.0,518000000.0,398900000.0,456200000.0,226900000.0,,2849600000.0,1243300000.0,3642200000.0,10865900000.0,4625000000.0,8048600000.0,3621000000.0,4625000000.0,4625000000.0,6240900000.0,10865900000.0,1628100000.0,2619900000.0,,-2927400000.0
NetApp Inc,NTAP,QTX3D84DZDD5JYOCYH15,1002047,2013.0,Q2,,2012-10-26,2012-11-30 16:21:00+00:00,246600000.0,615000000.0,,8200000.0,1816800000.0,0.0,4586400000.0,1408500000.0,311000000.0,905200000.0,,193100000.0,0.0,,213200000.0,1132400000.0,1361700000.0,488500000.0,378200000.0,435500000.0,216300000.0,,2735000000.0,1229400000.0,3754200000.0,9553900000.0,4402200000.0,6887700000.0,3573700000.0,4402200000.0,4402200000.0,5151700000.0,9553900000.0,1533800000.0,1578000000.0,,-2927400000.0
