company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,noncurrentnotereceivables,othercurrentassets,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
TITANIUM METALS CORP,TIE,,1011657,2009.0,FY,,2009-12-31,2011-02-28 12:38:46+00:00,30100000.0,118800000.0,73200000.0,-138000000.0,169400000.0,,510800000.0,,33500000.0,1300000.0,,20600000.0,475600000.0,416100000.0,17100000.0,16800000.0,1600000.0,140700000.0,59200000.0,10000000.0,58600000.0,7600000.0,731000000.0,,,1378600000.0,1103800000.0,807300000.0,104600000.0,1107000000.0,1124100000.0,254500000.0,1378600000.0,155200000.0,149900000.0,3200000.0,
TITANIUM METALS CORP,TIE,,1011657,2010.0,FY,,2010-12-31,2012-02-29 11:35:36+00:00,52300000.0,147700000.0,67300000.0,-112000000.0,283400000.0,0.0,509600000.0,,31100000.0,3200000.0,,38100000.0,470700000.0,381600000.0,15800000.0,21300000.0,34000000.0,104400000.0,41200000.0,7800000.0,75100000.0,11100000.0,811600000.0,,,1498000000.0,1209200000.0,940700000.0,122800000.0,1209900000.0,1225700000.0,272300000.0,1498000000.0,175700000.0,149500000.0,700000.0,
TITANIUM METALS CORP,TIE,,1011657,2010.0,Q3,,2010-09-30,2010-11-02 17:39:03+00:00,49300000.0,193100000.0,53700000.0,-132000000.0,221900000.0,,509500000.0,10900000.0,28600000.0,1100000.0,,35000000.0,448000000.0,385100000.0,15500000.0,27800000.0,26500000.0,131600000.0,58200000.0,9400000.0,58000000.0,10000000.0,788300000.0,,,1465100000.0,1165800000.0,901000000.0,115000000.0,1166500000.0,1182000000.0,283100000.0,1465100000.0,179000000.0,168100000.0,700000.0,
TITANIUM METALS CORP,TIE,,1011657,2010.0,Q2,,2010-06-30,2010-08-03 17:03:43+00:00,36400000.0,201600000.0,48300000.0,-155000000.0,186100000.0,,509600000.0,11700000.0,27300000.0,3600000.0,,17600000.0,422900000.0,389300000.0,13900000.0,29400000.0,20000000.0,132900000.0,59500000.0,6700000.0,57900000.0,9400000.0,766800000.0,,,1398300000.0,1121400000.0,844600000.0,100000000.0,1122100000.0,1136000000.0,262300000.0,1398300000.0,164400000.0,162300000.0,700000.0,
TITANIUM METALS CORP,TIE,,1011657,2011.0,FY,,2011-12-31,2012-11-13 11:09:09+00:00,84900000.0,183100000.0,88400000.0,-97200000.0,47300000.0,0.0,429800000.0,,41600000.0,9300000.0,2500000.0,138000000.0,677500000.0,385800000.0,13100000.0,22800000.0,75200000.0,120800000.0,21200000.0,10000000.0,94700000.0,9500000.0,885700000.0,,,1622000000.0,1218300000.0,959500000.0,182600000.0,1218300000.0,1231400000.0,390600000.0,1622000000.0,276700000.0,208000000.0,,
TITANIUM METALS CORP,TIE,,1011657,2011.0,Q3,,2011-09-30,2011-11-02 17:17:42+00:00,72800000.0,204600000.0,88500000.0,-75200000.0,88900000.0,0.0,433500000.0,,28700000.0,4900000.0,,118700000.0,588400000.0,375900000.0,14700000.0,15900000.0,57100000.0,87400000.0,36500000.0,10300000.0,88900000.0,10000000.0,870200000.0,,7100000.0,1563900000.0,1228500000.0,928000000.0,166200000.0,1228500000.0,1243200000.0,320700000.0,1563900000.0,260000000.0,154500000.0,,
TITANIUM METALS CORP,TIE,,1011657,2011.0,Q2,,2011-06-30,2011-08-02 13:01:09+00:00,69500000.0,192200000.0,76700000.0,-64400000.0,93600000.0,0.0,510300000.0,,29500000.0,6900000.0,,93900000.0,553200000.0,376700000.0,15000000.0,19100000.0,54600000.0,93000000.0,36700000.0,10400000.0,86700000.0,10400000.0,858400000.0,,97200000.0,1589200000.0,1263100000.0,976100000.0,153100000.0,1263100000.0,1278100000.0,311100000.0,1589200000.0,236400000.0,158000000.0,,-41200000.0
TITANIUM METALS CORP,TIE,,1011657,2011.0,Q1,,2011-03-31,2011-05-05 10:36:01+00:00,72300000.0,172700000.0,66700000.0,-95300000.0,83100000.0,,509600000.0,,29700000.0,13400000.0,,47600000.0,512100000.0,379100000.0,17500000.0,20300000.0,38800000.0,104200000.0,37000000.0,12200000.0,79200000.0,10800000.0,840500000.0,,206200000.0,1579200000.0,1254800000.0,1016000000.0,152400000.0,1255500000.0,1273000000.0,306200000.0,1579200000.0,184100000.0,153800000.0,700000.0,
TITANIUM METALS CORP,TIE,,1011657,2012.0,Q3,,2012-09-30,2012-11-13 11:09:09+00:00,81900000.0,168000000.0,91700000.0,-116700000.0,10700000.0,0.0,428400000.0,,44600000.0,6400000.0,104800000.0,85800000.0,844800000.0,402400000.0,16700000.0,16200000.0,55800000.0,112100000.0,19500000.0,8400000.0,102800000.0,10800000.0,920700000.0,500000.0,9900000.0,1713100000.0,1232400000.0,1086400000.0,180500000.0,1232400000.0,1249100000.0,464000000.0,1713100000.0,224300000.0,283500000.0,,
TITANIUM METALS CORP,TIE,,1011657,2012.0,Q2,,2012-06-30,2012-08-08 11:23:10+00:00,88000000.0,198800000.0,79800000.0,-125800000.0,11700000.0,0.0,428400000.0,,41200000.0,3000000.0,93900000.0,88200000.0,793700000.0,387300000.0,15400000.0,18900000.0,57500000.0,116200000.0,20000000.0,5400000.0,100800000.0,9600000.0,915200000.0,500000.0,15700000.0,1681700000.0,1217800000.0,1066500000.0,171300000.0,1217800000.0,1233200000.0,448500000.0,1681700000.0,227900000.0,277200000.0,,
TITANIUM METALS CORP,TIE,,1011657,2012.0,Q1,,2012-03-31,2012-05-08 10:34:28+00:00,88000000.0,194200000.0,83200000.0,-95100000.0,39400000.0,0.0,429800000.0,,41400000.0,19800000.0,31000000.0,125200000.0,739100000.0,385200000.0,15100000.0,21500000.0,70800000.0,121200000.0,20200000.0,7000000.0,98900000.0,9600000.0,898200000.0,500000.0,,1672100000.0,1232900000.0,1021100000.0,191500000.0,1232900000.0,1248000000.0,424100000.0,1672100000.0,265800000.0,232600000.0,,
