company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
TITANIUM METALS CORP,TIE,,1011657,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 12:38:46+00:00,0.89,0.89,0.3,0.89,69100000.0,168200000.0,168200000.0,162200000.0,5700000.0,863800000.0,1151500000.0,17600000.0,1500000.0,300000.0,66500000.0,863800000.0,287700000.0,68000000.0,219700000.0,17600000.0,237300000.0,1151500000.0,182200000.0,181400000.0,182500000.0
TITANIUM METALS CORP,TIE,,1011657,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 11:35:36+00:00,0.19,0.19,,0.19,20700000.0,35800000.0,35800000.0,34300000.0,1300000.0,660700000.0,774000000.0,1600000.0,-2000000.0,200000.0,60400000.0,660700000.0,113300000.0,58400000.0,54900000.0,1600000.0,56500000.0,774000000.0,180500000.0,180700000.0,180700000.0
TITANIUM METALS CORP,TIE,,1011657,2009.0,Q3,2009-07-01,2009-09-30,2010-11-02 17:39:03+00:00,0.01,0.01,,0.01,2400000.0,1100000.0,1100000.0,1100000.0,-100000.0,163700000.0,181400000.0,,,100000.0,14200000.0,163700000.0,17700000.0,14200000.0,3500000.0,,3500000.0,181400000.0,110000000.0,180600000.0,180600000.0
TITANIUM METALS CORP,TIE,,1011657,2009.0,Q2,2009-04-01,2009-06-30,2010-08-03 17:03:43+00:00,0.05,0.05,,0.05,5700000.0,9100000.0,9100000.0,8600000.0,400000.0,174100000.0,205700000.0,-800000.0,200000.0,100000.0,15800000.0,174100000.0,31600000.0,16000000.0,15600000.0,-800000.0,14800000.0,205700000.0,172000000.0,181000000.0,181000000.0
TITANIUM METALS CORP,TIE,,1011657,2010.0,Q4,2010-10-01,2010-12-31,,0.13,0.13,,0.13,11700000.0,24000000.0,24000000.0,23400000.0,700000.0,166800000.0,217400000.0,1800000.0,1700000.0,-100000.0,15000000.0,166800000.0,50600000.0,16700000.0,33900000.0,1800000.0,35700000.0,217400000.0,179100000.0,179900000.0,180400000.0
TITANIUM METALS CORP,TIE,,1011657,2010.0,FY,2010-01-01,2010-12-31,2012-02-29 11:35:36+00:00,0.45,0.45,,0.45,42700000.0,82900000.0,82900000.0,80600000.0,2200000.0,678400000.0,857200000.0,4800000.0,1400000.0,100000.0,56600000.0,678400000.0,178800000.0,58000000.0,120800000.0,4800000.0,125600000.0,857200000.0,179100000.0,179900000.0,180400000.0
TITANIUM METALS CORP,TIE,,1011657,2010.0,Q3YTD,2010-01-01,2010-09-30,,0.32,0.32,,0.32,31000000.0,58900000.0,58900000.0,57200000.0,1500000.0,511600000.0,639800000.0,3000000.0,-300000.0,200000.0,41600000.0,511600000.0,128200000.0,41300000.0,86900000.0,3000000.0,89900000.0,639800000.0,179200000.0,180200000.0,180400000.0
TITANIUM METALS CORP,TIE,,1011657,2010.0,Q3,2010-07-01,2010-09-30,2011-11-02 17:17:42+00:00,0.12,0.12,,0.12,11400000.0,21700000.0,21700000.0,21500000.0,200000.0,160700000.0,210300000.0,-2900000.0,,,13600000.0,160700000.0,49600000.0,13600000.0,36000000.0,-2900000.0,33100000.0,210300000.0,179200000.0,180200000.0,180400000.0
TITANIUM METALS CORP,TIE,,1011657,2010.0,Q2YTD,2010-01-01,2010-06-30,,0.2,0.2,,0.2,19600000.0,37200000.0,37200000.0,35700000.0,1300000.0,350900000.0,429500000.0,5900000.0,-300000.0,200000.0,28000000.0,350900000.0,78600000.0,27700000.0,50900000.0,5900000.0,56800000.0,429500000.0,172700000.0,179600000.0,180500000.0
TITANIUM METALS CORP,TIE,,1011657,2010.0,Q2,2010-04-01,2010-06-30,2011-08-02 13:01:09+00:00,0.11,0.11,,0.11,9700000.0,19900000.0,19900000.0,19000000.0,800000.0,171200000.0,212000000.0,2900000.0,-300000.0,100000.0,14400000.0,171200000.0,40800000.0,14100000.0,26700000.0,2900000.0,29600000.0,212000000.0,172700000.0,179600000.0,180500000.0
TITANIUM METALS CORP,TIE,,1011657,2010.0,Q1,2010-01-01,2010-03-31,2011-05-05 10:36:01+00:00,0.09,0.09,,0.09,9900000.0,17300000.0,17300000.0,16700000.0,500000.0,179700000.0,217500000.0,3000000.0,,100000.0,13600000.0,179700000.0,37800000.0,13600000.0,24200000.0,3000000.0,27200000.0,217500000.0,185600000.0,179600000.0,180600000.0
TITANIUM METALS CORP,TIE,,1011657,2011.0,Q4,2011-10-01,2011-12-31,,0.16,0.16,0.08,0.16,16500000.0,29500000.0,29500000.0,28600000.0,900000.0,201300000.0,258700000.0,1400000.0,-3000000.0,,15800000.0,201300000.0,57400000.0,12800000.0,44600000.0,1400000.0,46000000.0,258700000.0,178100000.0,178000000.0,178100000.0
TITANIUM METALS CORP,TIE,,1011657,2011.0,FY,2011-01-01,2011-12-31,2012-02-29 11:35:36+00:00,0.64,0.64,0.225,0.64,63500000.0,117200000.0,117200000.0,114000000.0,3200000.0,821600000.0,1045200000.0,6100000.0,-15500000.0,,64500000.0,821600000.0,223600000.0,49000000.0,174600000.0,6100000.0,180700000.0,1045200000.0,178100000.0,178000000.0,178100000.0
TITANIUM METALS CORP,TIE,,1011657,2011.0,Q3YTD,2011-01-01,2011-09-30,,0.48,0.48,0.15,0.48,47000000.0,87700000.0,87700000.0,85400000.0,2300000.0,620300000.0,786500000.0,4700000.0,-12500000.0,,48700000.0,620300000.0,166200000.0,36200000.0,130000000.0,4700000.0,134700000.0,786500000.0,178600000.0,176900000.0,176900000.0
TITANIUM METALS CORP,TIE,,1011657,2011.0,Q3TTM,2010-10-01,2011-09-30,,0.61,0.61,0.15,0.61,58700000.0,111700000.0,111700000.0,108800000.0,3000000.0,787100000.0,1003900000.0,6500000.0,-10800000.0,-100000.0,63700000.0,787100000.0,216800000.0,52900000.0,163900000.0,6500000.0,170400000.0,1003900000.0,178600000.0,176900000.0,176900000.0
TITANIUM METALS CORP,TIE,,1011657,2011.0,Q3,2011-07-01,2011-09-30,2012-11-13 11:09:09+00:00,0.14,0.14,0.075,0.14,16100000.0,25900000.0,25900000.0,25000000.0,900000.0,207400000.0,262500000.0,3500000.0,-500000.0,,17100000.0,207400000.0,55100000.0,16600000.0,38500000.0,3500000.0,42000000.0,262500000.0,178600000.0,176900000.0,176900000.0
TITANIUM METALS CORP,TIE,,1011657,2011.0,Q2YTD,2011-01-01,2011-06-30,,0.34,0.34,0.08,0.34,30900000.0,61800000.0,61800000.0,60400000.0,1400000.0,412900000.0,524000000.0,1200000.0,-12000000.0,,31600000.0,412900000.0,111100000.0,19600000.0,91500000.0,1200000.0,92700000.0,524000000.0,175000000.0,179700000.0,179900000.0
