company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
TITANIUM METALS CORP,TIE,,1011657,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 12:38:46+00:00,60900000.0,1600000.0,47700000.0,-2300000.0,-13800000.0,64000000.0,-97700000.0,-142600000.0,197600000.0,-97700000.0,-142600000.0,197600000.0,-45000000.0,168200000.0,168200000.0,-4500000.0,5100000.0,-61300000.0,-26400000.0,-121300000.0,-63900000.0,-36500000.0,,
TITANIUM METALS CORP,TIE,,1011657,2009.0,Q4,2009-10-01,2009-12-31,,8600000.0,-600000.0,13400000.0,-500000.0,57600000.0,,-8800000.0,-42200000.0,77300000.0,-8800000.0,-42200000.0,77300000.0,25800000.0,4900000.0,4900000.0,1400000.0,2800000.0,,-33800000.0,-8100000.0,,-8800000.0,500000.0,-3600000.0
TITANIUM METALS CORP,TIE,,1011657,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 11:35:36+00:00,22700000.0,,51500000.0,2000000.0,116400000.0,,-20300000.0,-64100000.0,206800000.0,-20300000.0,-64100000.0,206800000.0,124400000.0,35800000.0,35800000.0,3100000.0,2900000.0,-5500000.0,-34500000.0,-33000000.0,-100000.0,-14700000.0,500000.0,
TITANIUM METALS CORP,TIE,,1011657,2009.0,Q3,2009-07-01,2009-09-30,,1800000.0,300000.0,13000000.0,,38000000.0,,-7100000.0,-9000000.0,53100000.0,-7100000.0,-9000000.0,53100000.0,37000000.0,1100000.0,1100000.0,1000000.0,-3300000.0,-5500000.0,-700000.0,-8600000.0,-100000.0,-1500000.0,,3600000.0
TITANIUM METALS CORP,TIE,,1011657,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-02 17:39:03+00:00,14100000.0,600000.0,38100000.0,2500000.0,58800000.0,,-11500000.0,-21900000.0,129500000.0,-11500000.0,-21900000.0,129500000.0,98600000.0,30900000.0,30900000.0,1700000.0,100000.0,-5500000.0,-700000.0,-24900000.0,-100000.0,-5900000.0,,3600000.0
TITANIUM METALS CORP,TIE,,1011657,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-03 17:03:43+00:00,12300000.0,300000.0,25100000.0,2500000.0,20800000.0,,-4400000.0,-12900000.0,76400000.0,-4400000.0,-12900000.0,76400000.0,61600000.0,29800000.0,29800000.0,700000.0,3400000.0,,,-16300000.0,,-4400000.0,,
TITANIUM METALS CORP,TIE,,1011657,2010.0,Q4,2010-10-01,2010-12-31,,8100000.0,,13200000.0,-900000.0,-24900000.0,,,47200000.0,15200000.0,,47200000.0,15200000.0,61500000.0,24000000.0,24000000.0,2900000.0,-100000.0,,-43100000.0,-12300000.0,,,102700000.0,
TITANIUM METALS CORP,TIE,,1011657,2010.0,FY,2010-01-01,2010-12-31,2012-02-29 11:35:36+00:00,28500000.0,,52500000.0,-1600000.0,-19500000.0,,-6300000.0,500000.0,121400000.0,-6300000.0,500000.0,121400000.0,114000000.0,82900000.0,82900000.0,5500000.0,-500000.0,-2200000.0,-254900000.0,-23600000.0,-200000.0,-3900000.0,279500000.0,
TITANIUM METALS CORP,TIE,,1011657,2010.0,Q3TTM,2009-10-01,2010-09-30,,29000000.0,-600000.0,52700000.0,-1200000.0,63000000.0,,-15100000.0,-88900000.0,183500000.0,-15100000.0,-88900000.0,183500000.0,78300000.0,63800000.0,63800000.0,4000000.0,2400000.0,-2200000.0,-245600000.0,-19400000.0,-200000.0,-12700000.0,177300000.0,-3600000.0
TITANIUM METALS CORP,TIE,,1011657,2010.0,Q3,2010-07-01,2010-09-30,,12100000.0,,13100000.0,3500000.0,-9600000.0,,-100000.0,6300000.0,26100000.0,-100000.0,6300000.0,26100000.0,35800000.0,21700000.0,21700000.0,900000.0,47000000.0,,-211800000.0,-5700000.0,-100000.0,,176800000.0,
TITANIUM METALS CORP,TIE,,1011657,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-02 17:17:42+00:00,20400000.0,,39300000.0,-700000.0,5400000.0,,-6300000.0,-46700000.0,106200000.0,-6300000.0,-46700000.0,106200000.0,52500000.0,58900000.0,58900000.0,2600000.0,-400000.0,-2200000.0,-211800000.0,-11300000.0,-200000.0,-3900000.0,176800000.0,
TITANIUM METALS CORP,TIE,,1011657,2010.0,Q2TTM,2009-07-01,2010-06-30,,18700000.0,-300000.0,52600000.0,-4700000.0,110600000.0,,-22100000.0,-104200000.0,210500000.0,-22100000.0,-104200000.0,210500000.0,79500000.0,43200000.0,43200000.0,4100000.0,-47900000.0,-7700000.0,-34500000.0,-22300000.0,-200000.0,-14200000.0,500000.0,
TITANIUM METALS CORP,TIE,,1011657,2010.0,Q2,2010-04-01,2010-06-30,,7800000.0,,13100000.0,-2500000.0,-5500000.0,,-4800000.0,-46400000.0,28300000.0,-4800000.0,-46400000.0,28300000.0,-25400000.0,19900000.0,19900000.0,800000.0,-43200000.0,-2200000.0,,-3200000.0,,-2600000.0,,
TITANIUM METALS CORP,TIE,,1011657,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-02 13:01:09+00:00,8300000.0,,26200000.0,-4200000.0,15000000.0,,-6200000.0,-53000000.0,80100000.0,-6200000.0,-53000000.0,80100000.0,16700000.0,37200000.0,37200000.0,1700000.0,-47400000.0,-2200000.0,,-5600000.0,-100000.0,-3900000.0,,
