company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depositsinterestexpense,depositsinterestincome,dilutedeps,incometaxexpense,investmentsecuritiesinterestincome,loansandleaseinterestincome,longtermdebtinterestexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netinterestincome,otheradjustmentstoconsolidatednetincome,othergains,otherinterestexpense,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,provisionforcreditlosses,salariesandemployeebenefitsexpense,shorttermborrowinginterestexpense,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
American Express Co,AXP,R4PP93JZOLY261QX3811,4962,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 20:48:03+00:00,3.4,6.89,,566000000.0,400000000.0,6.78,1568000000.0,673000000.0,6351000000.0,2684000000.0,7817000000.0,4012000000.0,4126000000.0,-114000000.0,4012000000.0,3443000000.0,,,,16103000000.0,4507000000.0,8013000000.0,4103000000.0,5438000000.0,731000000.0,3981000000.0,7424000000.0,17762000000.0,24116000000.0,5694000000.0,27559000000.0,1180000000.0,1173000000.0,1193000000.0
American Express Co,AXP,R4PP93JZOLY261QX3811,4962,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 21:38:38+00:00,2.33,4.8,,454000000.0,271000000.0,4.79,710000000.0,771000000.0,6159000000.0,2618000000.0,7361000000.0,2699000000.0,2871000000.0,-172000000.0,2699000000.0,3646000000.0,,,,16095000000.0,5535000000.0,8624000000.0,5798000000.0,6090000000.0,483000000.0,3555000000.0,7201000000.0,18986000000.0,24719000000.0,3581000000.0,28365000000.0,1158400000.0,1154000000.0,1156000000.0
American Express Co,AXP,R4PP93JZOLY261QX3811,4962,2008.0,Q3,2008-07-01,2008-09-30,2009-10-30 16:27:04+00:00,0.7,1.44,0.18,109000000.0,74000000.0,1.44,217000000.0,200000000.0,1560000000.0,661000000.0,1929000000.0,815000000.0,861000000.0,-46000000.0,815000000.0,950000000.0,,,,4048000000.0,1333000000.0,2166000000.0,1359000000.0,1465000000.0,114000000.0,884000000.0,1834000000.0,4727000000.0,6214000000.0,1078000000.0,7164000000.0,1164300000.0,1154000000.0,1158000000.0
American Express Co,AXP,R4PP93JZOLY261QX3811,4962,2008.0,Q2,2008-04-01,2008-06-30,2009-09-02 15:59:58+00:00,0.56,1.13,0.18,123000000.0,76000000.0,0.56,114000000.0,217000000.0,1564000000.0,631000000.0,1924000000.0,653000000.0,660000000.0,-7000000.0,653000000.0,954000000.0,,,13000000.0,4218000000.0,1438000000.0,2283000000.0,1824000000.0,1495000000.0,136000000.0,903000000.0,1857000000.0,4857000000.0,6501000000.0,774000000.0,7455000000.0,1166100000.0,1154000000.0,1163000000.0
American Express Co,AXP,R4PP93JZOLY261QX3811,4962,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 12:34:57+00:00,1.54,3.09,,425000000.0,59000000.0,1.54,704000000.0,804000000.0,4468000000.0,1745000000.0,6563000000.0,2130000000.0,2137000000.0,-7000000.0,2130000000.0,3124000000.0,,,,13602000000.0,4539000000.0,7610000000.0,5313000000.0,5080000000.0,37000000.0,2207000000.0,5331000000.0,16182000000.0,21212000000.0,2841000000.0,24336000000.0,1383100000.0,1168000000.0,1171000000.0
American Express Co,AXP,R4PP93JZOLY261QX3811,4962,2009.0,Q4,2009-10-01,2009-12-31,,0.6,1.2,-0.54,126000000.0,11000000.0,-0.25,251000000.0,225000000.0,1036000000.0,435000000.0,2130000000.0,716000000.0,710000000.0,6000000.0,716000000.0,710000000.0,,,,3648000000.0,1267000000.0,1944000000.0,748000000.0,1196000000.0,1000000.0,562000000.0,1272000000.0,4593000000.0,5592000000.0,961000000.0,6302000000.0,1383100000.0,1168000000.0,1171000000.0
American Express Co,AXP,R4PP93JZOLY261QX3811,4962,2009.0,Q3,2009-07-01,2009-09-30,2010-11-03 17:22:14+00:00,0.54,1.08,0.18,109000000.0,9000000.0,1.07,276000000.0,229000000.0,1059000000.0,432000000.0,1619000000.0,640000000.0,642000000.0,-2000000.0,640000000.0,754000000.0,,,,3444000000.0,1040000000.0,1818000000.0,1178000000.0,1261000000.0,2000000.0,543000000.0,1297000000.0,3920000000.0,5262000000.0,918000000.0,6016000000.0,1185200000.0,1178000000.0,1181000000.0
American Express Co,AXP,R4PP93JZOLY261QX3811,4962,2009.0,Q3YTD,2009-01-01,2009-09-30,,0.94,1.89,0.54,299000000.0,48000000.0,1.79,453000000.0,579000000.0,3432000000.0,1310000000.0,4433000000.0,1414000000.0,1427000000.0,-13000000.0,1414000000.0,2414000000.0,,,,9954000000.0,3272000000.0,5666000000.0,4565000000.0,3884000000.0,36000000.0,1645000000.0,4059000000.0,11589000000.0,15620000000.0,1880000000.0,18034000000.0,1185200000.0,1178000000.0,1181000000.0
American Express Co,AXP,R4PP93JZOLY261QX3811,4962,2009.0,Q2,2009-04-01,2009-06-30,2010-08-04 21:45:58+00:00,0.09,0.18,0.18,105000000.0,11000000.0,0.09,76000000.0,196000000.0,1081000000.0,435000000.0,1512000000.0,337000000.0,342000000.0,-5000000.0,337000000.0,741000000.0,,,,3303000000.0,1208000000.0,2048000000.0,1584000000.0,1370000000.0,7000000.0,547000000.0,1288000000.0,4090000000.0,5351000000.0,418000000.0,6092000000.0,3744400000.0,1162000000.0,1165000000.0
American Express Co,AXP,R4PP93JZOLY261QX3811,4962,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.4,0.81,0.36,190000000.0,39000000.0,0.72,177000000.0,350000000.0,2373000000.0,878000000.0,2814000000.0,774000000.0,785000000.0,-11000000.0,774000000.0,1660000000.0,,,,6510000000.0,2232000000.0,3848000000.0,3387000000.0,2623000000.0,34000000.0,1102000000.0,2762000000.0,7669000000.0,10358000000.0,962000000.0,12018000000.0,3744400000.0,1162000000.0,1165000000.0
American Express Co,AXP,R4PP93JZOLY261QX3811,4962,2009.0,Q1,2009-01-01,2009-03-31,2010-05-05 17:06:53+00:00,0.31,0.63,0.18,85000000.0,28000000.0,0.63,101000000.0,154000000.0,1292000000.0,443000000.0,1302000000.0,437000000.0,443000000.0,-6000000.0,437000000.0,919000000.0,,,,3207000000.0,1024000000.0,1800000000.0,1803000000.0,1253000000.0,27000000.0,555000000.0,1474000000.0,3579000000.0,5007000000.0,544000000.0,5926000000.0,1409700000.0,1156000000.0,1156000000.0
American Express Co,AXP,R4PP93JZOLY261QX3811,4962,2010.0,FY,2010-01-01,2010-12-31,2012-02-24 12:34:57+00:00,3.37,6.74,,546000000.0,66000000.0,3.35,1907000000.0,443000000.0,6783000000.0,1874000000.0,8738000000.0,4057000000.0,4057000000.0,0.0,4057000000.0,4869000000.0,,,,14880000000.0,5107000000.0,7833000000.0,2207000000.0,5566000000.0,3000000.0,2423000000.0,7292000000.0,19411000000.0,22713000000.0,5964000000.0,27582000000.0,1203900000.0,1188000000.0,1195000000.0
American Express Co,AXP,R4PP93JZOLY261QX3811,4962,2010.0,Q4,2010-10-01,2010-12-31,,0.88,2.5,-0.54,140000000.0,21000000.0,0.88,415000000.0,98000000.0,1676000000.0,464000000.0,2333000000.0,1062000000.0,1062000000.0,,1062000000.0,1190000000.0,,,,4017000000.0,1625000000.0,2037000000.0,239000000.0,1570000000.0,1000000.0,605000000.0,1795000000.0,5528000000.0,6054000000.0,1477000000.0,7244000000.0,1203900000.0,1188000000.0,1195000000.0
