company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2008.0,FY,2008-01-01,2008-12-31,2011-02-16 09:15:15+00:00,10553000.0,5.92,5.92,5.79,63291000.0,202778000.0,202778000.0,202778000.0,980263000.0,1973344000.0,-2568000.0,102282000.0,6413000.0,579806000.0,980263000.0,993081000.0,25390000.0,699054000.0,294027000.0,-27958000.0,266069000.0,1973344000.0,34300000.0,34250310.0,35048859.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2009.0,FY,2009-01-01,2009-12-31,2012-02-13 15:30:17+00:00,11844000.0,5.12,5.12,5.03,52169000.0,172593000.0,172593000.0,172593000.0,839516000.0,1728853000.0,-1384000.0,89685000.0,31368000.0,505177000.0,839516000.0,889337000.0,25117000.0,638074000.0,251263000.0,-26501000.0,224762000.0,1728853000.0,33700000.0,33716353.0,34290771.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 09:05:09+00:00,3237000.0,1.23,1.23,1.21,15365000.0,41545000.0,41545000.0,41545000.0,210457000.0,435650000.0,-13000.0,22309000.0,6064000.0,129686000.0,210457000.0,225193000.0,6974000.0,161296000.0,63897000.0,-6987000.0,56910000.0,435650000.0,33800000.0,33728931.0,34413656.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2009.0,Q2,2009-04-01,2009-06-30,2010-07-23 09:58:04+00:00,2814000.0,0.82,0.82,0.81,10256000.0,27731000.0,27731000.0,27731000.0,201208000.0,407442000.0,-131000.0,22075000.0,13979000.0,122488000.0,201208000.0,206234000.0,6760000.0,161356000.0,44878000.0,-6891000.0,37987000.0,407442000.0,33800000.0,33690179.0,34192595.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2010.0,Q4,2010-10-01,2010-12-31,,4229000.0,2.46,2.46,2.39,29239000.0,80852000.0,80852000.0,80852000.0,276175000.0,592765000.0,-3307000.0,26466000.0,2390000.0,164807000.0,276175000.0,316590000.0,5300000.0,197892000.0,118698000.0,-8607000.0,110091000.0,592765000.0,33300000.0,33280463.0,34140097.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2010.0,FY,2010-01-01,2010-12-31,2013-02-08 15:57:28+00:00,14842000.0,6.98,6.98,6.8,75365000.0,232148000.0,232148000.0,232148000.0,930982000.0,1968178000.0,-4164000.0,97028000.0,4866000.0,588726000.0,930982000.0,1037196000.0,20057000.0,705462000.0,331734000.0,-24221000.0,307513000.0,1968178000.0,33300000.0,33280463.0,34140097.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2010.0,Q3YTD,2010-01-01,2010-09-30,,10613000.0,4.52,4.52,4.41,46126000.0,151296000.0,151296000.0,151296000.0,654807000.0,1375413000.0,-857000.0,70562000.0,2476000.0,423919000.0,654807000.0,720606000.0,14757000.0,507570000.0,213036000.0,-15614000.0,197422000.0,1375413000.0,33200000.0,33171017.0,34027191.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2010.0,Q3,2010-07-01,2010-09-30,2011-11-04 09:25:58+00:00,3667000.0,1.87,1.87,1.82,14781000.0,62081000.0,62081000.0,62081000.0,234158000.0,490213000.0,127000.0,24992000.0,566000.0,145303000.0,234158000.0,256055000.0,4792000.0,174528000.0,81527000.0,-4665000.0,76862000.0,490213000.0,33200000.0,33171017.0,34027191.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2010.0,Q2YTD,2010-01-01,2010-06-30,,6946000.0,2.65,2.65,2.59,31345000.0,89215000.0,89215000.0,89215000.0,420649000.0,885200000.0,-984000.0,45570000.0,1910000.0,278616000.0,420649000.0,464551000.0,9965000.0,333042000.0,131509000.0,-10949000.0,120560000.0,885200000.0,33600000.0,33536105.0,34395487.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2010.0,Q2,2010-04-01,2010-06-30,2011-08-01 11:07:47+00:00,3565000.0,1.53,1.53,1.49,18039000.0,51347000.0,51347000.0,51347000.0,221924000.0,468549000.0,-730000.0,23105000.0,1526000.0,143602000.0,221924000.0,246625000.0,4711000.0,171798000.0,74827000.0,-5441000.0,69386000.0,468549000.0,33600000.0,33536105.0,34395487.0
