company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2009.0,FY,,2009-12-31,2011-02-16 09:15:15+00:00,103160000.0,312998000.0,91907000.0,-16209000.0,85031000.0,,574482000.0,63292000.0,34225000.0,49989000.0,96359000.0,440950000.0,105284000.0,203590000.0,168042000.0,316334000.0,95688000.0,119791000.0,114424000.0,189593000.0,45811000.0,1009995000.0,89968000.0,1718787000.0,711138000.0,646107000.0,494675000.0,711138000.0,711138000.0,1007649000.0,1718787000.0,756346000.0,512974000.0,0.0,-857130000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2010.0,FY,,2010-12-31,2012-02-13 15:30:17+00:00,138105000.0,368936000.0,100793000.0,8201000.0,447577000.0,0.0,597643000.0,86746000.0,44548000.0,67282000.0,138358000.0,434699000.0,104372000.0,670301000.0,217104000.0,364472000.0,95996000.0,124523000.0,138629000.0,174469000.0,66730000.0,1223130000.0,10902000.0,2283063000.0,771584000.0,1144895000.0,542186000.0,771584000.0,771584000.0,1511479000.0,2283063000.0,773696000.0,969293000.0,0.0,-1057390000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2010.0,Q3,,2010-09-30,2010-11-05 09:05:09+00:00,121339000.0,331954000.0,104007000.0,-245000.0,142884000.0,,587907000.0,93783000.0,39200000.0,75203000.0,122342000.0,448332000.0,106351000.0,245866000.0,215316000.0,334803000.0,101776000.0,119863000.0,129636000.0,180331000.0,57375000.0,1153015000.0,89350000.0,1907627000.0,755543000.0,786729000.0,606024000.0,755543000.0,755543000.0,1152084000.0,1907627000.0,786095000.0,546060000.0,0.0,-985134000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2010.0,Q2,,2010-06-30,2010-07-23 09:58:04+00:00,110971000.0,310071000.0,87259000.0,-45773000.0,111591000.0,,584025000.0,86473000.0,36028000.0,57782000.0,95651000.0,439270000.0,106825000.0,204247000.0,185173000.0,302606000.0,92306000.0,115581000.0,113924000.0,179801000.0,48000000.0,1092977000.0,90837000.0,1745794000.0,717192000.0,690863000.0,528973000.0,717192000.0,717192000.0,1028602000.0,1745794000.0,752325000.0,499629000.0,0.0,-914037000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2011.0,FY,,2011-12-31,2013-02-08 15:57:28+00:00,168109000.0,425147000.0,100320000.0,-86938000.0,235601000.0,0.0,616650000.0,99584000.0,51125000.0,73591000.0,139940000.0,447743000.0,121410000.0,476715000.0,241421000.0,410007000.0,118899000.0,125833000.0,86552000.0,209945000.0,65569000.0,1476550000.0,28300000.0,2203474000.0,781137000.0,1018863000.0,609844000.0,781137000.0,781137000.0,1422337000.0,2203474000.0,774604000.0,812493000.0,0.0,-1225125000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2011.0,Q3,,2011-09-30,2011-11-04 09:25:58+00:00,167919000.0,398402000.0,108442000.0,24597000.0,262473000.0,0.0,613839000.0,103169000.0,51873000.0,76870000.0,129740000.0,452158000.0,123907000.0,550554000.0,265351000.0,408156000.0,99280000.0,130354000.0,158790000.0,177837000.0,75047000.0,1391781000.0,31143000.0,2295437000.0,819409000.0,1053146000.0,617283000.0,819409000.0,819409000.0,1476028000.0,2295437000.0,834135000.0,858745000.0,0.0,-1210808000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2011.0,Q2,,2011-06-30,2011-08-01 11:07:47+00:00,151499000.0,382089000.0,107207000.0,64255000.0,328763000.0,0.0,608991000.0,107247000.0,51932000.0,73284000.0,114132000.0,447599000.0,113686000.0,621359000.0,268154000.0,416872000.0,100264000.0,129907000.0,164689000.0,185613000.0,67231000.0,1325007000.0,12626000.0,2341279000.0,838405000.0,1098169000.0,565995000.0,838405000.0,838405000.0,1502874000.0,2341279000.0,826238000.0,936879000.0,0.0,-1159848000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2011.0,Q1,,2011-03-31,2011-05-05 09:23:19+00:00,134257000.0,365578000.0,100532000.0,27117000.0,388102000.0,,603409000.0,103380000.0,51755000.0,69081000.0,94580000.0,444181000.0,113223000.0,677833000.0,247190000.0,380743000.0,97001000.0,126664000.0,146501000.0,180959000.0,64572000.0,1267325000.0,22583000.0,2298846000.0,788977000.0,1117197000.0,524413000.0,788977000.0,788977000.0,1509869000.0,2298846000.0,800906000.0,985456000.0,0.0,-1108874000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2012.0,FY,,2012-12-31,2014-02-07 11:21:18+00:00,142362000.0,437390000.0,109844000.0,-97461000.0,101702000.0,0.0,639153000.0,71435000.0,57007000.0,79348000.0,117405000.0,452351000.0,117564000.0,347131000.0,198939000.0,469421000.0,32681000.0,45058000.0,86034000.0,240886000.0,69199000.0,1749451000.0,41600000.0,2022288000.0,827219000.0,864237000.0,561994000.0,827219000.0,827219000.0,1195069000.0,2022288000.0,688630000.0,633075000.0,0.0,-1463924000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2012.0,Q3,,2012-09-30,2012-11-02 14:44:40+00:00,129982000.0,406570000.0,103712000.0,-74107000.0,105374000.0,0.0,626376000.0,84769000.0,52646000.0,87637000.0,112568000.0,451016000.0,118431000.0,379060000.0,214893000.0,445024000.0,114964000.0,121863000.0,93607000.0,207000000.0,58880000.0,1653715000.0,36570000.0,2061405000.0,798244000.0,838363000.0,555238000.0,798244000.0,798244000.0,1263161000.0,2061405000.0,778018000.0,707923000.0,0.0,-1407740000.0
