company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2008.0,FY,2008-01-01,2008-12-31,2011-02-16 09:15:15+00:00,-999000.0,10553000.0,53332000.0,21904000.0,28987000.0,,934000.0,-10450000.0,307217000.0,-178532000.0,-48700000.0,223149000.0,-178532000.0,-48700000.0,223149000.0,-3149000.0,202778000.0,202778000.0,-8719000.0,6837000.0,,,-61008000.0,-262915000.0,-229671000.0,,13307000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2009.0,Q4,2009-10-01,2009-12-31,,-14450000.0,3110000.0,51361000.0,19256000.0,7708000.0,,25000.0,-32554000.0,63364000.0,-35329000.0,-37743000.0,44130000.0,-35329000.0,-37743000.0,44130000.0,-28917000.0,69438000.0,69438000.0,-3572000.0,7839000.0,,,-23395000.0,-100544000.0,-5988000.0,,102000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2009.0,FY,2009-01-01,2009-12-31,2012-02-13 15:30:17+00:00,-14620000.0,11844000.0,51361000.0,19256000.0,29634000.0,0.0,4376000.0,9138000.0,261436000.0,-157443000.0,-72580000.0,232605000.0,-157443000.0,-72580000.0,232605000.0,6958000.0,172593000.0,172593000.0,9396000.0,13205000.0,0.0,,-60041000.0,-426096000.0,-5988000.0,,2081000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2009.0,Q3,2009-07-01,2009-09-30,,,3237000.0,,,7573000.0,,1721000.0,6554000.0,30167000.0,-74516000.0,-12564000.0,79581000.0,-74516000.0,-12564000.0,79581000.0,-5778000.0,41545000.0,41545000.0,20672000.0,1856000.0,,,-12626000.0,-106539000.0,,,62000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-05 09:05:09+00:00,-170000.0,8734000.0,,,21926000.0,,4351000.0,41692000.0,198072000.0,-122114000.0,-34837000.0,188475000.0,-122114000.0,-34837000.0,188475000.0,35875000.0,103155000.0,103155000.0,12968000.0,5366000.0,,,-36646000.0,-325552000.0,,,1979000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-23 09:58:04+00:00,-170000.0,5497000.0,,,14353000.0,,2630000.0,35138000.0,167905000.0,-47598000.0,-22273000.0,108894000.0,-47598000.0,-22273000.0,108894000.0,41653000.0,61610000.0,61610000.0,-7704000.0,3510000.0,,,-24020000.0,-219013000.0,,,1917000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2010.0,Q4,2010-10-01,2010-12-31,,-507000.0,4229000.0,60101000.0,15019000.0,7425000.0,9750000.0,1313000.0,25014000.0,620878000.0,266422000.0,-26051000.0,63009000.0,266422000.0,-26051000.0,63009000.0,304693000.0,80852000.0,80852000.0,-54511000.0,13818000.0,-108000.0,,-35379000.0,-277070000.0,-91204000.0,,193000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2010.0,FY,2010-01-01,2010-12-31,2013-02-08 15:57:28+00:00,-13064000.0,14842000.0,60101000.0,15019000.0,29686000.0,9750000.0,3359000.0,-15264000.0,714575000.0,167923000.0,-77015000.0,268279000.0,167923000.0,-77015000.0,268279000.0,362546000.0,232148000.0,232148000.0,6867000.0,29472000.0,-108000.0,,-73943000.0,-336126000.0,-239998000.0,,350000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2010.0,Q3TTM,2009-10-01,2010-09-30,,-27007000.0,13723000.0,51361000.0,19256000.0,29969000.0,,2071000.0,-72832000.0,157061000.0,-133828000.0,-88707000.0,249400000.0,-133828000.0,-88707000.0,249400000.0,28936000.0,220734000.0,220734000.0,57806000.0,23493000.0,,,-61959000.0,-159600000.0,-154782000.0,,259000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2010.0,Q3,2010-07-01,2010-09-30,,,3667000.0,,,7796000.0,,3341000.0,-17527000.0,41554000.0,-39354000.0,-18706000.0,86012000.0,-39354000.0,-18706000.0,86012000.0,31293000.0,62081000.0,62081000.0,29995000.0,3552000.0,,,-18761000.0,-8460000.0,-76000000.0,,55000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-04 09:25:58+00:00,-12557000.0,10613000.0,,,22261000.0,,2046000.0,-40278000.0,93697000.0,-98499000.0,-50964000.0,205270000.0,-98499000.0,-50964000.0,205270000.0,57853000.0,151296000.0,151296000.0,61378000.0,15654000.0,0.0,,-38564000.0,-59056000.0,-148794000.0,,157000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2010.0,Q2TTM,2009-07-01,2010-06-30,,-27007000.0,13293000.0,51361000.0,19256000.0,29746000.0,,451000.0,-48751000.0,145674000.0,-168990000.0,-82565000.0,242969000.0,-168990000.0,-82565000.0,242969000.0,-8135000.0,200198000.0,200198000.0,48483000.0,21797000.0,,,-55824000.0,-257679000.0,-78782000.0,,266000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2010.0,Q2,2010-04-01,2010-06-30,,-29000.0,3565000.0,,,7018000.0,,-1018000.0,-12872000.0,28101000.0,-38732000.0,-9306000.0,74764000.0,-38732000.0,-9306000.0,74764000.0,25708000.0,51347000.0,51347000.0,25706000.0,8177000.0,,,-9342000.0,-31397000.0,-43613000.0,,65000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-01 11:07:47+00:00,-12557000.0,6946000.0,,,14465000.0,,-1295000.0,-22751000.0,52143000.0,-59145000.0,-32258000.0,119258000.0,-59145000.0,-32258000.0,119258000.0,26560000.0,89215000.0,89215000.0,31383000.0,12102000.0,,,-19803000.0,-50596000.0,-72794000.0,,102000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2010.0,Q1,2010-01-01,2010-03-31,2011-05-05 09:23:19+00:00,-12528000.0,3381000.0,,,7447000.0,,-277000.0,-9879000.0,24042000.0,-20413000.0,-22952000.0,44494000.0,-20413000.0,-22952000.0,44494000.0,852000.0,37868000.0,37868000.0,5677000.0,3925000.0,,,-10461000.0,-19199000.0,-29181000.0,,37000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2011.0,Q4,2011-10-01,2011-12-31,,-711000.0,5066000.0,69656000.0,17804000.0,8319000.0,,-1322000.0,6399000.0,403606000.0,-94144000.0,-34622000.0,103216000.0,-94144000.0,-34622000.0,103216000.0,-26872000.0,94282000.0,94282000.0,-10850000.0,15934000.0,,,-33994000.0,-480285000.0,-33399000.0,,83000.0
Mettler-Toledo International Inc,MTD,5493000BD5GJNUDIUG10,1037646,2011.0,FY,2011-01-01,2011-12-31,2014-02-07 11:21:18+00:00,-35373000.0,17808000.0,69656000.0,17804000.0,31689000.0,,-96000.0,-37244000.0,469599000.0,-360469000.0,-132291000.0,280880000.0,-360469000.0,-132291000.0,280880000.0,-211976000.0,269493000.0,269493000.0,-866000.0,25632000.0,-903000.0,,-98500000.0,-651122000.0,-204578000.0,,2485000.0
