company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,explorationexpense,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,othergains,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,preferreddividends,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Apache Corp,APA,72ZZ1XRHOOU9P9X16K08,6769,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 17:10:45+00:00,,8.45,8.45,0.6,2347791000.0,8.39,,,1860254000.0,2812358000.0,2812358000.0,,2806678000.0,,1790262000.0,9961982000.0,,,,,694085000.0,37770000.0,,5680000.0,,275065000.0,1790262000.0,8209490000.0,219937000.0,3316941000.0,4892549000.0,-219937000.0,4672612000.0,9999752000.0,332200000.0,332200000.0,334500000.0
Apache Corp,APA,72ZZ1XRHOOU9P9X16K08,6769,2008.0,FY,2008-01-01,2008-12-31,2011-04-07 17:25:20+00:00,,2.11,2.11,0.7,2516000000.0,2.09,,5334000000.0,220000000.0,712000000.0,712000000.0,,706000000.0,,2067000000.0,12328000000.0,,,,,1086000000.0,62000000.0,,6000000.0,,289000000.0,2067000000.0,10323000000.0,166000000.0,9225000000.0,1098000000.0,-166000000.0,932000000.0,12390000000.0,334000000.0,334000000.0,334000000.0
Apache Corp,APA,72ZZ1XRHOOU9P9X16K08,6769,2008.0,Q3,2008-07-01,2008-09-30,2009-11-06 15:57:37+00:00,,3.55,3.55,,600887000.0,3.52,,,622529000.0,1190825000.0,1190825000.0,,1189405000.0,,530541000.0,3368882000.0,,,,,329250000.0,-3998000.0,,1420000.0,,57561000.0,530541000.0,2834343000.0,33291000.0,987698000.0,1846645000.0,-33291000.0,1813354000.0,3364884000.0,335000000.0,335000000.0,337900000.0
Apache Corp,APA,72ZZ1XRHOOU9P9X16K08,6769,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 17:26:10+00:00,,4.32,4.32,,627668000.0,4.28,,,898640000.0,1445229000.0,1445229000.0,,1443809000.0,,486505000.0,3904118000.0,,,,,324227000.0,-3927000.0,,1420000.0,,78872000.0,486505000.0,3413686000.0,39050000.0,1030767000.0,2382919000.0,-39050000.0,2343869000.0,3900191000.0,334200000.0,334200000.0,337300000.0
Apache Corp,APA,72ZZ1XRHOOU9P9X16K08,6769,2009.0,Q4,2009-10-01,2009-12-31,,,1.75,1.75,0.6,615126000.0,1.77,,-161000.0,536898000.0,585204000.0,585204000.0,,582464000.0,,851142000.0,2570337000.0,,,,,-178974000.0,-14971000.0,,2740000.0,,85557000.0,851142000.0,1704224000.0,60574000.0,521548000.0,1182676000.0,-60574000.0,1122102000.0,2555366000.0,335600000.0,336000000.0,336000000.0
Apache Corp,APA,72ZZ1XRHOOU9P9X16K08,6769,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 19:30:55+00:00,,-0.87,-0.87,0.6,2395000000.0,-0.87,,2818000000.0,611000000.0,-285000000.0,-285000000.0,,-292000000.0,,1805000000.0,8574000000.0,,,,,685000000.0,41000000.0,,7000000.0,,344000000.0,1805000000.0,6810000000.0,242000000.0,6242000000.0,568000000.0,-242000000.0,326000000.0,8615000000.0,335600000.0,336000000.0,336000000.0
Apache Corp,APA,72ZZ1XRHOOU9P9X16K08,6769,2009.0,Q3,2009-07-01,2009-09-30,2010-11-09 10:18:49+00:00,,1.31,1.31,,625898000.0,1.3,,0.0,428590000.0,442016000.0,442016000.0,,440596000.0,,481767000.0,2325705000.0,,,,,209984000.0,6726000.0,,1420000.0,,82492000.0,481767000.0,1850664000.0,61684000.0,918374000.0,932290000.0,-61684000.0,870606000.0,2332431000.0,336300000.0,336300000.0,338900000.0
Apache Corp,APA,72ZZ1XRHOOU9P9X16K08,6769,2009.0,Q3YTD,2009-01-01,2009-09-30,,,-2.62,-2.62,,1779874000.0,-2.64,,2818161000.0,74102000.0,-870204000.0,-870204000.0,,-874464000.0,,953858000.0,6003663000.0,,,,,863974000.0,55971000.0,,4260000.0,,258443000.0,953858000.0,5105776000.0,181426000.0,5720452000.0,-614676000.0,-181426000.0,-796102000.0,6059634000.0,336300000.0,336300000.0,338900000.0
Apache Corp,APA,72ZZ1XRHOOU9P9X16K08,6769,2009.0,Q2YTD,2009-01-01,2009-06-30,,,-3.93,-3.93,,1153976000.0,-3.94,,2818161000.0,-354488000.0,-1312220000.0,-1312220000.0,,-1315060000.0,,472091000.0,3677958000.0,,,,,653990000.0,49245000.0,,2840000.0,,175951000.0,472091000.0,3255112000.0,119742000.0,4802078000.0,-1546966000.0,-119742000.0,-1666708000.0,3727203000.0,336000000.0,336000000.0,336000000.0
Apache Corp,APA,72ZZ1XRHOOU9P9X16K08,6769,2009.0,Q2,2009-04-01,2009-06-30,2010-08-17 08:53:36+00:00,,1.32,1.32,,573359000.0,1.31,,,342063000.0,444720000.0,444720000.0,,443300000.0,,438752000.0,2074344000.0,,,,,142424000.0,19034000.0,,1420000.0,,90905000.0,438752000.0,1654626000.0,61155000.0,806688000.0,847938000.0,-61155000.0,786783000.0,2093378000.0,336000000.0,336000000.0,336000000.0
