company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxliabilities,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,notereceivable,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Dentsply Sirona Inc,XRAY,9NHEHR1SOZCYXDO8HO28,818479,2008.0,FY,,2008-12-31,2010-02-22 09:57:43+00:00,104329000.0,193660000.0,39612000.0,203991000.0,,188782000.0,36178000.0,1277026000.0,103718000.0,423679000.0,306125000.0,432276000.0,71691000.0,69049000.0,319260000.0,67518000.0,318297000.0,120228000.0,1838958000.0,25795000.0,258000.0,2830400000.0,1587722000.0,949862000.0,359962000.0,1587722000.0,1659413000.0,1170987000.0,2830400000.0,1448262000.0,811025000.0,0.0,-479630000.0
Dentsply Sirona Inc,XRAY,9NHEHR1SOZCYXDO8HO28,818479,2009.0,FY,,2009-12-31,2011-02-18 17:24:14+00:00,100847000.0,249169000.0,83542000.0,450348000.0,,197123000.0,12366000.0,1312596000.0,89086000.0,387151000.0,291640000.0,439619000.0,74853000.0,72524000.0,348684000.0,28835000.0,276743000.0,127124000.0,2083459000.0,82174000.0,,3087932000.0,1832105000.0,1217796000.0,444556000.0,1832105000.0,1906958000.0,1180974000.0,3087932000.0,1430517000.0,736418000.0,0.0,-532019000.0
Dentsply Sirona Inc,XRAY,9NHEHR1SOZCYXDO8HO28,818479,2009.0,Q3,,2009-09-30,2009-10-30 12:15:48+00:00,98125000.0,230265000.0,95139000.0,333368000.0,,197409000.0,34896000.0,1308824000.0,119344000.0,154842000.0,311666000.0,445365000.0,75196000.0,77838000.0,356976000.0,66473000.0,328326000.0,125056000.0,2016007000.0,240366000.0,37000.0,3067109000.0,1827255000.0,1127103000.0,603652000.0,1827255000.0,1902451000.0,1164658000.0,3067109000.0,1494641000.0,561006000.0,0.0,-481300000.0
Dentsply Sirona Inc,XRAY,9NHEHR1SOZCYXDO8HO28,818479,2009.0,Q2,,2009-06-30,2009-07-30 17:29:15+00:00,93420000.0,207430000.0,58277000.0,251871000.0,,194129000.0,15737000.0,1267898000.0,122696000.0,145949000.0,309431000.0,429935000.0,71504000.0,70508000.0,357546000.0,45445000.0,287407000.0,113621000.0,1955977000.0,273906000.0,36000.0,2898479000.0,1732618000.0,1032505000.0,590493000.0,1732618000.0,1804122000.0,1094357000.0,2898479000.0,1436039000.0,503864000.0,0.0,-475765000.0
Dentsply Sirona Inc,XRAY,9NHEHR1SOZCYXDO8HO28,818479,2010.0,FY,,2010-12-31,2012-02-24 16:38:19+00:00,114479000.0,224745000.0,24156000.0,540038000.0,0.0,206530000.0,13113000.0,1303055000.0,78743000.0,604015000.0,308738000.0,423105000.0,70526000.0,72489000.0,344796000.0,138003000.0,311444000.0,121473000.0,2320350000.0,7754000.0,,3257951000.0,1839386000.0,1315045000.0,360091000.0,1839386000.0,1909912000.0,1348039000.0,3257951000.0,1519801000.0,987948000.0,0.0,-711650000.0
Dentsply Sirona Inc,XRAY,9NHEHR1SOZCYXDO8HO28,818479,2010.0,Q3,,2010-09-30,2010-10-28 16:38:46+00:00,100663000.0,224624000.0,41820000.0,534243000.0,,204110000.0,19335000.0,1304938000.0,79701000.0,592376000.0,318071000.0,423802000.0,73075000.0,74238000.0,366789000.0,55158000.0,300074000.0,112454000.0,2258531000.0,7290000.0,,3195156000.0,1803481000.0,1331557000.0,351912000.0,1803481000.0,1876556000.0,1318600000.0,3195156000.0,1439797000.0,966688000.0,0.0,-700980000.0
Dentsply Sirona Inc,XRAY,9NHEHR1SOZCYXDO8HO28,818479,2010.0,Q2,,2010-06-30,2010-07-29 15:15:55+00:00,106864000.0,192203000.0,-55678000.0,340347000.0,,199865000.0,11380000.0,1208765000.0,76998000.0,462976000.0,284394000.0,399077000.0,65696000.0,73779000.0,351304000.0,23185000.0,196728000.0,113197000.0,2202130000.0,11927000.0,,2797267000.0,1675714000.0,1089242000.0,322374000.0,1675714000.0,1741410000.0,1055857000.0,2797267000.0,1308948000.0,733483000.0,0.0,-670603000.0
Dentsply Sirona Inc,XRAY,9NHEHR1SOZCYXDO8HO28,818479,2010.0,Q1,,2010-03-31,2010-04-29 17:16:14+00:00,108118000.0,196890000.0,34607000.0,405017000.0,,196434000.0,3481000.0,1279103000.0,83515000.0,457565000.0,301198000.0,420779000.0,71430000.0,70166000.0,355030000.0,24896000.0,248963000.0,117209000.0,2137952000.0,18946000.0,,2986747000.0,1811188000.0,1178454000.0,327435000.0,1811188000.0,1882618000.0,1104129000.0,2986747000.0,1387514000.0,776694000.0,0.0,-557805000.0
Dentsply Sirona Inc,XRAY,9NHEHR1SOZCYXDO8HO28,818479,2011.0,FY,,2011-12-31,2013-02-20 11:28:57+00:00,149117000.0,289201000.0,-190970000.0,77128000.0,0.0,231315000.0,9054000.0,2190063000.0,791100000.0,1490010000.0,361762000.0,591445000.0,36074000.0,249822000.0,427709000.0,169887000.0,407342000.0,146304000.0,2535709000.0,276701000.0,,4755398000.0,1848077000.0,1012903000.0,724073000.0,1848077000.0,1884151000.0,2871247000.0,4755398000.0,3151050000.0,2147174000.0,0.0,-727977000.0
Dentsply Sirona Inc,XRAY,9NHEHR1SOZCYXDO8HO28,818479,2011.0,Q3,,2011-09-30,2011-11-07 17:25:56+00:00,133200000.0,323141000.0,-146683000.0,81866000.0,0.0,233453000.0,10775000.0,2208906000.0,808038000.0,1793979000.0,391528000.0,569853000.0,36722000.0,242162000.0,475947000.0,157309000.0,394467000.0,140264000.0,2502945000.0,45573000.0,,4833711000.0,1853692000.0,1089605000.0,512689000.0,1853692000.0,1890414000.0,2943297000.0,4833711000.0,3174253000.0,2430608000.0,0.0,-736023000.0
