company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinvestmentincome,aoci,cashandequivalents,claimsandclaimexpenses,commonequity,deferredacquisitioncost,goodwill,longtermdebt,mortgageservicingrights,netpremisesandequipment,noncontrollinginterests,otherassets,otherlongtermliabilities,othershorttermpayables,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock,unearnedpremiumscredit,unearnedpremiumsdebit
W. R. Berkley Corp,WRB,SQOAGCLKBDWNVYV1OV80,11544,2009.0,FY,,2009-12-31,2011-02-28 15:37:05+00:00,130524000.0,163207000.0,515430000.0,9071671000.0,973383000.0,391360000.0,90581000.0,1595274000.0,381591000.0,246605000.0,5879000.0,1418206000.0,1131277000.0,,3785187000.0,,17328596000.0,3596067000.0,3596067000.0,3601946000.0,13726650000.0,17328596000.0,0.0,12895269000.0,-1325710000.0,1928428000.0,1259030000.0
W. R. Berkley Corp,WRB,SQOAGCLKBDWNVYV1OV80,11544,2010.0,FY,,2010-12-31,2012-02-28 14:57:21+00:00,138384000.0,276563000.0,642952000.0,9016549000.0,982123000.0,405942000.0,90581000.0,1743203000.0,353583000.0,254720000.0,6980000.0,1358316000.0,1105218000.0,,4194684000.0,,17528547000.0,3702876000.0,3702876000.0,3709856000.0,13818691000.0,17528547000.0,0.0,12981045000.0,-1750494000.0,1953721000.0,1303024000.0
W. R. Berkley Corp,WRB,SQOAGCLKBDWNVYV1OV80,11544,2010.0,Q3,,2010-09-30,2010-11-08 09:56:47+00:00,142944000.0,396894000.0,922198000.0,9135156000.0,980114000.0,412024000.0,107131000.0,1736940000.0,357805000.0,251612000.0,6709000.0,1354563000.0,1072733000.0,,4077797000.0,,17812851000.0,3827392000.0,3827392000.0,3834101000.0,13978750000.0,17812851000.0,0.0,12968767000.0,-1627413000.0,2033921000.0,1295807000.0
W. R. Berkley Corp,WRB,SQOAGCLKBDWNVYV1OV80,11544,2010.0,Q2,,2010-06-30,2010-08-06 11:50:02+00:00,134745000.0,256386000.0,781463000.0,9109638000.0,973430000.0,409837000.0,107132000.0,1585283000.0,373605000.0,245003000.0,6448000.0,1408727000.0,1023897000.0,,3994366000.0,,17416926000.0,3682362000.0,3682362000.0,3688810000.0,13728116000.0,17416926000.0,0.0,12607918000.0,-1541820000.0,2009298000.0,1348496000.0
W. R. Berkley Corp,WRB,SQOAGCLKBDWNVYV1OV80,11544,2011.0,FY,,2011-12-31,2013-02-28 14:27:25+00:00,133776000.0,354851000.0,911742000.0,9337134000.0,988133000.0,364937000.0,87865000.0,1743500000.0,263187000.0,262275000.0,7526000.0,1763950000.0,1172782000.0,,4491162000.0,,18403873000.0,3953356000.0,3953356000.0,3960882000.0,14442991000.0,18403873000.0,0.0,13151666000.0,-1880790000.0,2189575000.0,1464475000.0
W. R. Berkley Corp,WRB,SQOAGCLKBDWNVYV1OV80,11544,2011.0,Q3,,2011-09-30,2011-11-07 10:55:13+00:00,133940000.0,335741000.0,866130000.0,9261584000.0,974372000.0,450552000.0,90581000.0,1744718000.0,283560000.0,263689000.0,7415000.0,1783354000.0,1239757000.0,,4439287000.0,,18330821000.0,3862393000.0,3862393000.0,3869808000.0,14461013000.0,18330821000.0,0.0,12988518000.0,-1887007000.0,2214954000.0,1470497000.0
W. R. Berkley Corp,WRB,SQOAGCLKBDWNVYV1OV80,11544,2011.0,Q2,,2011-06-30,2011-08-05 10:53:52+00:00,139994000.0,340743000.0,794881000.0,9195675000.0,971019000.0,440644000.0,90581000.0,1744632000.0,311663000.0,254792000.0,7265000.0,1531086000.0,1168713000.0,,4372978000.0,,18195124000.0,3912807000.0,3912807000.0,3920072000.0,14275052000.0,18195124000.0,0.0,13114359000.0,-1771933000.0,2166032000.0,1517124000.0
W. R. Berkley Corp,WRB,SQOAGCLKBDWNVYV1OV80,11544,2011.0,Q1,,2011-03-31,2011-05-06 11:14:00+00:00,135832000.0,263176000.0,630151000.0,9172680000.0,972614000.0,429933000.0,90581000.0,1739936000.0,348773000.0,256973000.0,7193000.0,1561078000.0,1159209000.0,,4301258000.0,,17983511000.0,3791784000.0,3791784000.0,3798977000.0,14184534000.0,17983511000.0,0.0,13085012000.0,-1745264000.0,2112709000.0,1445178000.0
W. R. Berkley Corp,WRB,SQOAGCLKBDWNVYV1OV80,11544,2012.0,FY,,2012-12-31,2014-02-28 16:51:18+00:00,127230000.0,465631000.0,905670000.0,9751086000.0,992190000.0,404047000.0,87865000.0,2114741000.0,401961000.0,267227000.0,29249000.0,2746091000.0,1479756000.0,,4817807000.0,,20155896000.0,4306217000.0,4306217000.0,4335466000.0,15820430000.0,20155896000.0,0.0,13458744000.0,-1969411000.0,2474847000.0,1757061000.0
W. R. Berkley Corp,WRB,SQOAGCLKBDWNVYV1OV80,11544,2012.0,Q3,,2012-09-30,2012-11-08 16:24:22+00:00,131790000.0,508152000.0,1189564000.0,9562877000.0,983939000.0,400727000.0,87865000.0,2120585000.0,371408000.0,258368000.0,9446000.0,1832451000.0,1365186000.0,,4800537000.0,,19932912000.0,4324401000.0,4324401000.0,4333847000.0,15599065000.0,19932912000.0,0.0,13870170000.0,-1968227000.0,2480449000.0,1720601000.0
