company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Cerner Corp,CERN,549300L4UJ40IEVVI304,804753,2008.0,FY,2007-12-31,2009-01-03,2011-02-16 17:16:58+00:00,-9920000.0,56066000.0,10512000.0,170466000.0,-11961000.0,-92005000.0,44500000.0,-11654000.0,-170607000.0,281802000.0,-11654000.0,-170607000.0,281802000.0,87580000.0,188658000.0,188658000.0,14683000.0,31665000.0,,-488761000.0,-178197000.0,-59817000.0,-28002000.0,506271000.0
Cerner Corp,CERN,549300L4UJ40IEVVI304,804753,2009.0,Q4,2009-10-04,2010-01-02,,-3569000.0,6935000.0,4266000.0,51983000.0,1479000.0,-8641000.0,,-16273000.0,-219588000.0,108133000.0,-16273000.0,-219588000.0,108133000.0,-126249000.0,60496000.0,60496000.0,4295000.0,9014000.0,,-177600000.0,-60451000.0,-25287000.0,,22032000.0
Cerner Corp,CERN,549300L4UJ40IEVVI304,804753,2009.0,FY,2009-01-04,2010-01-02,2012-02-15 17:10:03+00:00,-16014000.0,47114000.0,8583000.0,189603000.0,1489000.0,-51563000.0,,16770000.0,-394321000.0,347291000.0,16770000.0,-394321000.0,347291000.0,-28771000.0,193465000.0,193465000.0,15786000.0,49122000.0,,-266776000.0,-209012000.0,-32352000.0,,97481000.0
Cerner Corp,CERN,549300L4UJ40IEVVI304,804753,2009.0,Q3,2009-07-05,2009-10-03,,-2934000.0,2303000.0,35000.0,48537000.0,-111000.0,-28049000.0,,20531000.0,-79768000.0,73402000.0,20531000.0,-79768000.0,73402000.0,14054000.0,48394000.0,48394000.0,4520000.0,20738000.0,,-55178000.0,-44250000.0,-207000.0,,22594000.0
Cerner Corp,CERN,549300L4UJ40IEVVI304,804753,2009.0,Q3YTD,2009-01-04,2009-10-03,2010-10-29 16:01:46+00:00,-12445000.0,40179000.0,4317000.0,137620000.0,10000.0,-42922000.0,,33043000.0,-174733000.0,239158000.0,33043000.0,-174733000.0,239158000.0,97478000.0,132969000.0,132969000.0,11491000.0,40108000.0,,-89176000.0,-148561000.0,-7065000.0,,75449000.0
Cerner Corp,CERN,549300L4UJ40IEVVI304,804753,2009.0,Q2YTD,2009-01-04,2009-07-04,2010-07-30 16:39:52+00:00,-9511000.0,37876000.0,4282000.0,89083000.0,121000.0,-14873000.0,,12512000.0,-94965000.0,165756000.0,12512000.0,-94965000.0,165756000.0,83424000.0,84575000.0,84575000.0,6971000.0,19370000.0,,-33998000.0,-104311000.0,-6858000.0,,52855000.0
Cerner Corp,CERN,549300L4UJ40IEVVI304,804753,2010.0,Q4,2010-10-03,2011-01-01,,-2746000.0,33499000.0,3404000.0,52466000.0,-509000.0,-8029000.0,,-5421000.0,-113053000.0,121747000.0,-5421000.0,-113053000.0,121747000.0,2764000.0,70637000.0,70637000.0,6673000.0,19800000.0,,-175928000.0,-46166000.0,-25221000.0,,111787000.0
Cerner Corp,CERN,549300L4UJ40IEVVI304,804753,2010.0,FY,2010-01-03,2011-01-01,2013-02-08 16:05:05+00:00,-25266000.0,121737000.0,6887000.0,193337000.0,2399000.0,2112000.0,,34841000.0,-520896000.0,456444000.0,34841000.0,-520896000.0,456444000.0,-27212000.0,237272000.0,237272000.0,23723000.0,62466000.0,,-803832000.0,-183290000.0,-27625000.0,,491492000.0
Cerner Corp,CERN,549300L4UJ40IEVVI304,804753,2010.0,Q3TTM,2009-10-04,2010-10-02,,-26089000.0,95173000.0,7749000.0,192854000.0,4387000.0,1500000.0,,23989000.0,-627431000.0,442830000.0,23989000.0,-627431000.0,442830000.0,-156225000.0,227131000.0,227131000.0,21345000.0,51680000.0,,-805504000.0,-197575000.0,-27691000.0,,401737000.0
Cerner Corp,CERN,549300L4UJ40IEVVI304,804753,2010.0,Q3,2010-07-04,2010-10-02,,-5483000.0,24823000.0,,49420000.0,8041000.0,2420000.0,,13096000.0,-184141000.0,118956000.0,13096000.0,-184141000.0,118956000.0,-44048000.0,60872000.0,60872000.0,6244000.0,13814000.0,,-308848000.0,-39865000.0,-718000.0,,170055000.0
