company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Sherwin-Williams Co,SHW,Z15BMIOX8DDH0X2OBP21,89800,2008.0,Q3,2008-07-01,2008-09-30,2009-10-27 17:00:34+00:00,,1.53,1.53,,1.5,0.0,89061000.0,177081000.0,177081000.0,,177081000.0,1308169000.0,2268658000.0,-194000.0,679882000.0,1308169000.0,960489000.0,15200000.0,929000.0,679882000.0,280607000.0,-14465000.0,266142000.0,2268658000.0,115700000.0,115828466.0,118183353.0
Sherwin-Williams Co,SHW,Z15BMIOX8DDH0X2OBP21,89800,2009.0,FY,2009-01-01,2009-12-31,2011-02-23 15:33:52+00:00,,3.8,3.8,1.42,3.78,14144000.0,186969000.0,435848000.0,435848000.0,,435848000.0,3831080000.0,7094249000.0,-20180000.0,2568395000.0,3831080000.0,3263169000.0,40026000.0,2393000.0,2582539000.0,680630000.0,-57813000.0,622817000.0,7094249000.0,113514399.0,113514399.0,113514399.0
Sherwin-Williams Co,SHW,Z15BMIOX8DDH0X2OBP21,89800,2009.0,Q4,2009-10-01,2009-12-31,,,0.59,0.59,1.42,0.6,14144000.0,15815000.0,65338000.0,65338000.0,,65338000.0,840598000.0,1598836000.0,-22549000.0,631975000.0,840598000.0,758238000.0,8997000.0,580000.0,646119000.0,112119000.0,-30966000.0,81153000.0,1598836000.0,113514399.0,113514399.0,113514399.0
Sherwin-Williams Co,SHW,Z15BMIOX8DDH0X2OBP21,89800,2009.0,Q3YTD,2009-01-01,2009-09-30,,,3.21,3.21,,3.18,,171154000.0,370510000.0,370510000.0,,370510000.0,2990482000.0,5495413000.0,2369000.0,1936420000.0,2990482000.0,2504931000.0,31029000.0,1813000.0,1936420000.0,568511000.0,-26847000.0,541664000.0,5495413000.0,114500000.0,113447570.0,114699133.0
Sherwin-Williams Co,SHW,Z15BMIOX8DDH0X2OBP21,89800,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 11:47:33+00:00,,1.53,1.53,,1.51,,83440000.0,175208000.0,175208000.0,,175208000.0,1067926000.0,1996909000.0,-1267000.0,661115000.0,1067926000.0,928983000.0,8471000.0,518000.0,661115000.0,267868000.0,-9220000.0,258648000.0,1996909000.0,114500000.0,113447570.0,114699133.0
Sherwin-Williams Co,SHW,Z15BMIOX8DDH0X2OBP21,89800,2009.0,Q2YTD,2009-01-01,2009-06-30,,,1.68,1.68,,1.67,,87714000.0,195302000.0,195302000.0,,195302000.0,1922556000.0,3498504000.0,3636000.0,1275305000.0,1922556000.0,1575948000.0,22558000.0,1295000.0,1275305000.0,300643000.0,-17627000.0,283016000.0,3498504000.0,116200000.0,115196891.0,116297525.0
Sherwin-Williams Co,SHW,Z15BMIOX8DDH0X2OBP21,89800,2009.0,Q2,2009-04-01,2009-06-30,2010-07-27 15:31:45+00:00,,1.36,1.36,,1.35,,74100000.0,158023000.0,158023000.0,,158023000.0,1052485000.0,1947827000.0,2530000.0,656052000.0,1052485000.0,895342000.0,10356000.0,659000.0,656052000.0,239290000.0,-7167000.0,232123000.0,1947827000.0,116200000.0,115196891.0,116297525.0
Sherwin-Williams Co,SHW,Z15BMIOX8DDH0X2OBP21,89800,2009.0,Q1,2009-01-01,2009-03-31,2010-04-28 14:51:00+00:00,,0.32,0.32,,0.32,,13614000.0,37279000.0,37279000.0,,37279000.0,870071000.0,1550677000.0,1106000.0,619253000.0,870071000.0,680606000.0,12202000.0,636000.0,619253000.0,61353000.0,-10460000.0,50893000.0,1550677000.0,116500000.0,115946629.0,118029772.0
Sherwin-Williams Co,SHW,Z15BMIOX8DDH0X2OBP21,89800,2010.0,Q4,2010-10-01,2010-12-31,,,0.68,0.68,1.08,0.67,4484000.0,30781000.0,72918000.0,72918000.0,,72918000.0,1049987000.0,1895619000.0,1073000.0,717949000.0,1049987000.0,845632000.0,21375000.0,802000.0,722433000.0,123199000.0,-19500000.0,103699000.0,1895619000.0,107021624.0,107021624.0,107021624.0
Sherwin-Williams Co,SHW,Z15BMIOX8DDH0X2OBP21,89800,2010.0,FY,2010-01-01,2010-12-31,2013-02-28 11:06:52+00:00,,4.28,4.28,1.44,4.21,4484000.0,215299000.0,462485000.0,462485000.0,,462485000.0,4295346000.0,7776424000.0,781000.0,2731925000.0,4295346000.0,3481078000.0,70595000.0,2929000.0,2736409000.0,744669000.0,-66885000.0,677784000.0,7776424000.0,107021624.0,107021624.0,107021624.0
