company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otheradjustmentstonetincometocommon,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Robert Half International Inc,RHI,,315213,2008.0,FY,2008-01-01,2008-12-31,2011-02-17 15:01:54+00:00,2617000.0,1.6,1.6,0.44,1.59,169095000.0,250181000.0,250181000.0,242744000.0,2686983000.0,4600554000.0,7437000.0,1496839000.0,2686983000.0,1913571000.0,-5161000.0,1499456000.0,414115000.0,5161000.0,419276000.0,4600554000.0,151700000.0,151607000.0,152528000.0
Robert Half International Inc,RHI,,315213,2009.0,FY,2009-01-01,2009-12-31,2012-02-17 16:16:10+00:00,1460000.0,0.24,0.24,0.48,0.24,29500000.0,37263000.0,37263000.0,35067000.0,1932868000.0,3036547000.0,2196000.0,1036899000.0,1932868000.0,1103679000.0,-1443000.0,1038359000.0,65320000.0,1443000.0,66763000.0,3036547000.0,146100000.0,145912000.0,146611000.0
Robert Half International Inc,RHI,,315213,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 13:20:04+00:00,281000.0,0.06,0.06,0.12,0.06,7888000.0,9531000.0,9531000.0,8988000.0,459501000.0,725912000.0,543000.0,248870000.0,459501000.0,266411000.0,-159000.0,249151000.0,17260000.0,159000.0,17419000.0,725912000.0,149800000.0,146227000.0,147123000.0
Robert Half International Inc,RHI,,315213,2009.0,Q2,2009-04-01,2009-06-30,2010-08-02 16:41:56+00:00,280000.0,0.03,0.03,0.12,0.03,4809000.0,5416000.0,5416000.0,4801000.0,484830000.0,749887000.0,615000.0,255007000.0,484830000.0,265057000.0,-455000.0,255287000.0,9770000.0,455000.0,10225000.0,749887000.0,160000000.0,146443000.0,147044000.0
Robert Half International Inc,RHI,,315213,2010.0,Q4,2010-10-01,2010-12-31,,50000.0,0.18,0.18,0.13,0.17,18458000.0,24789000.0,24789000.0,24344000.0,524665000.0,851572000.0,445000.0,283868000.0,524665000.0,326907000.0,-258000.0,283918000.0,42989000.0,258000.0,43247000.0,851572000.0,141600000.0,142833000.0,144028000.0
Robert Half International Inc,RHI,,315213,2010.0,FY,2010-01-01,2010-12-31,2013-02-15 13:34:08+00:00,411000.0,0.45,0.45,0.52,0.44,49099000.0,66069000.0,66069000.0,63729000.0,1981060000.0,3175093000.0,2340000.0,1079033000.0,1981060000.0,1194033000.0,-579000.0,1079444000.0,114589000.0,579000.0,115168000.0,3175093000.0,141600000.0,142833000.0,144028000.0
Robert Half International Inc,RHI,,315213,2010.0,Q3YTD,2010-01-01,2010-09-30,,361000.0,0.27,0.27,0.39,0.27,30641000.0,41280000.0,41280000.0,39385000.0,1456395000.0,2323521000.0,1895000.0,795165000.0,1456395000.0,867126000.0,-321000.0,795526000.0,71600000.0,321000.0,71921000.0,2323521000.0,143600000.0,142230000.0,143000000.0
Robert Half International Inc,RHI,,315213,2010.0,Q3,2010-07-01,2010-09-30,2011-11-04 12:28:04+00:00,46000.0,0.14,0.14,0.13,0.14,16645000.0,20624000.0,20624000.0,20099000.0,508118000.0,817258000.0,525000.0,271978000.0,508118000.0,309140000.0,-153000.0,272024000.0,37116000.0,153000.0,37269000.0,817258000.0,143600000.0,142230000.0,143000000.0
Robert Half International Inc,RHI,,315213,2010.0,Q2YTD,2010-01-01,2010-06-30,,315000.0,0.13,0.13,0.26,0.13,13996000.0,20656000.0,20656000.0,19286000.0,948277000.0,1506263000.0,1370000.0,523187000.0,948277000.0,557986000.0,-168000.0,523502000.0,34484000.0,168000.0,34652000.0,1506263000.0,145800000.0,143100000.0,144331000.0
Robert Half International Inc,RHI,,315213,2010.0,Q2,2010-04-01,2010-06-30,2011-07-29 13:38:54+00:00,46000.0,0.08,0.08,0.13,0.08,10206000.0,12181000.0,12181000.0,11660000.0,479232000.0,769090000.0,521000.0,267519000.0,479232000.0,289858000.0,-94000.0,267565000.0,22293000.0,94000.0,22387000.0,769090000.0,145800000.0,143100000.0,144331000.0
Robert Half International Inc,RHI,,315213,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 12:53:06+00:00,269000.0,0.05,0.05,0.13,0.05,3790000.0,8475000.0,8475000.0,7626000.0,469045000.0,737173000.0,849000.0,255668000.0,469045000.0,268128000.0,-74000.0,255937000.0,12191000.0,74000.0,12265000.0,737173000.0,152500000.0,144239000.0,145673000.0
Robert Half International Inc,RHI,,315213,2011.0,Q4,2011-10-01,2011-12-31,,35000.0,0.31,0.31,0.14,0.3,29537000.0,42624000.0,42624000.0,42033000.0,586151000.0,973473000.0,591000.0,315479000.0,586151000.0,387322000.0,-353000.0,315514000.0,71808000.0,353000.0,72161000.0,973473000.0,140700000.0,140479000.0,141790000.0
Robert Half International Inc,RHI,,315213,2011.0,FY,2011-01-01,2011-12-31,2014-02-14 15:10:19+00:00,153000.0,1.05,1.05,0.56,1.04,100294000.0,149922000.0,149922000.0,147772000.0,2287374000.0,3776976000.0,2150000.0,1240184000.0,2287374000.0,1489602000.0,-951000.0,1240337000.0,249265000.0,951000.0,250216000.0,3776976000.0,140700000.0,140479000.0,141790000.0
Robert Half International Inc,RHI,,315213,2011.0,Q3YTD,2011-01-01,2011-09-30,,118000.0,0.74,0.74,0.42,0.74,70757000.0,107298000.0,107298000.0,105739000.0,1701223000.0,2803503000.0,1559000.0,924705000.0,1701223000.0,1102280000.0,-598000.0,924823000.0,177457000.0,598000.0,178055000.0,2803503000.0,140500000.0,139449000.0,140433000.0
Robert Half International Inc,RHI,,315213,2011.0,Q3TTM,2010-10-01,2011-09-30,,168000.0,0.92,0.92,0.55,0.91,89215000.0,132087000.0,132087000.0,130083000.0,2225888000.0,3655075000.0,2004000.0,1208573000.0,2225888000.0,1429187000.0,-856000.0,1208741000.0,220446000.0,856000.0,221302000.0,3655075000.0,140500000.0,139449000.0,140433000.0
Robert Half International Inc,RHI,,315213,2011.0,Q3,2011-07-01,2011-09-30,2012-11-08 17:11:10+00:00,39000.0,0.31,0.31,0.14,0.31,28027000.0,44168000.0,44168000.0,43556000.0,592765000.0,984668000.0,612000.0,319817000.0,592765000.0,391903000.0,-148000.0,319856000.0,72047000.0,148000.0,72195000.0,984668000.0,140500000.0,139449000.0,140433000.0
