company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,intangibleassets,longtermdebt,netppe,noncurrentdeferredtaxassets,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
Robert Half International Inc,RHI,,315213,2009.0,FY,,2009-12-31,2011-02-17 15:01:54+00:00,101610000.0,362392000.0,45580000.0,365794000.0,,854230000.0,51643000.0,,265245000.0,189336000.0,392000.0,1779000.0,124658000.0,46515000.0,142805000.0,,,14978000.0,0.0,113000.0,1283535000.0,899810000.0,922634000.0,366968000.0,899810000.0,899810000.0,383725000.0,1283535000.0,236243000.0,16757000.0,0.0
Robert Half International Inc,RHI,,315213,2010.0,FY,,2010-12-31,2012-02-17 16:16:10+00:00,93690000.0,423175000.0,47120000.0,315137000.0,0.0,787251000.0,92087000.0,,314647000.0,189787000.0,219000.0,1656000.0,103651000.0,8467000.0,141461000.0,,,29497000.0,0.0,123000.0,1273984000.0,834371000.0,971860000.0,408460000.0,834371000.0,834371000.0,439613000.0,1273984000.0,198473000.0,31153000.0,0.0
Robert Half International Inc,RHI,,315213,2010.0,Q3,,2010-09-30,2010-11-05 13:20:04+00:00,106943000.0,427770000.0,47428000.0,311056000.0,,802910000.0,101944000.0,14184000.0,283473000.0,189311000.0,31000.0,1688000.0,103779000.0,20436000.0,129905000.0,,,27486000.0,0.0,120000.0,1284232000.0,850338000.0,970675000.0,404720000.0,850338000.0,850338000.0,433894000.0,1284232000.0,209778000.0,29174000.0,0.0
Robert Half International Inc,RHI,,315213,2010.0,Q2,,2010-06-30,2010-08-02 16:41:56+00:00,96629000.0,384642000.0,30904000.0,290044000.0,,797917000.0,94158000.0,1597000.0,259315000.0,188613000.0,77000.0,1719000.0,108318000.0,19639000.0,128779000.0,,,26071000.0,0.0,118000.0,1214270000.0,828821000.0,897623000.0,357659000.0,828821000.0,828821000.0,385449000.0,1214270000.0,208329000.0,27790000.0,0.0
Robert Half International Inc,RHI,,315213,2011.0,FY,,2011-12-31,2013-02-15 13:34:08+00:00,117596000.0,493327000.0,40887000.0,279336000.0,0.0,759618000.0,88578000.0,,355294000.0,189423000.0,50000.0,1545000.0,107972000.0,,145437000.0,,7713000.0,36785000.0,0.0,111000.0,1311836000.0,800505000.0,1006678000.0,473001000.0,800505000.0,800505000.0,511331000.0,1311836000.0,197186000.0,38330000.0,0.0
Robert Half International Inc,RHI,,315213,2011.0,Q3,,2011-09-30,2011-11-04 12:28:04+00:00,120890000.0,516047000.0,43523000.0,242726000.0,0.0,748427000.0,105056000.0,19983000.0,342410000.0,189386000.0,94000.0,1572000.0,106424000.0,7639000.0,141163000.0,,,31615000.0,0.0,115000.0,1308535000.0,791950000.0,1004992000.0,483398000.0,791950000.0,791950000.0,516585000.0,1308535000.0,197119000.0,33187000.0,0.0
Robert Half International Inc,RHI,,315213,2011.0,Q2,,2011-06-30,2011-07-29 13:38:54+00:00,110973000.0,495381000.0,58134000.0,261071000.0,0.0,758496000.0,99068000.0,18483000.0,323653000.0,190489000.0,141000.0,1600000.0,107300000.0,8741000.0,139590000.0,,,30323000.0,0.0,119000.0,1301781000.0,816630000.0,995110000.0,453228000.0,816630000.0,816630000.0,485151000.0,1301781000.0,199371000.0,31923000.0,0.0
Robert Half International Inc,RHI,,315213,2011.0,Q1,,2011-03-31,2011-05-06 12:53:06+00:00,110802000.0,466540000.0,54553000.0,281830000.0,,785406000.0,98614000.0,11517000.0,297996000.0,190381000.0,180000.0,1626000.0,106097000.0,9296000.0,137657000.0,,,28572000.0,0.0,123000.0,1290595000.0,839959000.0,984641000.0,420438000.0,839959000.0,839959000.0,450636000.0,1290595000.0,199857000.0,30198000.0,0.0
Robert Half International Inc,RHI,,315213,2012.0,FY,,2012-12-31,2014-02-14 15:10:19+00:00,139879000.0,512852000.0,43779000.0,287635000.0,0.0,798232000.0,102993000.0,,361641000.0,201339000.0,2256000.0,1428000.0,107680000.0,,161205000.0,,5311000.0,36195000.0,0.0,117000.0,1381271000.0,842011000.0,1064685000.0,501637000.0,842011000.0,842011000.0,539260000.0,1381271000.0,208906000.0,37623000.0,0.0
Robert Half International Inc,RHI,,315213,2012.0,Q3,,2012-09-30,2012-11-08 17:11:10+00:00,141909000.0,556590000.0,42719000.0,289428000.0,0.0,784468000.0,106971000.0,24319000.0,366297000.0,190924000.0,466000.0,1458000.0,105184000.0,,151835000.0,,5309000.0,36735000.0,8685000.0,117000.0,1406707000.0,835872000.0,1104824000.0,532642000.0,835872000.0,835872000.0,570835000.0,1406707000.0,196699000.0,38193000.0,0.0
