company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2007.0,FY,2007-01-01,2007-12-31,2010-02-17 17:20:56+00:00,-863565000.0,363047000.0,10474000.0,601621000.0,0.0,303828000.0,-210381000.0,506955000.0,200000000.0,-693612000.0,-693146000.0,2641329000.0,,,,-693612000.0,-693146000.0,2641329000.0,1558399000.0,348251000.0,348251000.0,,1901838000.0,84830000.0,6305000.0,,,-270676000.0,-453967000.0,0.0,-1485397000.0,888757000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2008.0,Q4,2008-10-01,2008-12-31,,-1201229000.0,37664000.0,6502000.0,201897000.0,,-65604000.0,-50868000.0,37184000.0,800000000.0,602304000.0,-1374432000.0,683943000.0,,,,602304000.0,-1374432000.0,683943000.0,-153789000.0,367192000.0,367192000.0,,165722000.0,-899000.0,-1358000.0,,,-106646000.0,-159151000.0,-233981000.0,,93952000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2008.0,FY,2008-01-01,2008-12-31,2011-01-28 17:31:10+00:00,-1360293000.0,366824000.0,7759000.0,719814000.0,0.0,-183061000.0,-313368000.0,152799000.0,800000000.0,-1673851000.0,-2057346000.0,2881995000.0,,,,-1673851000.0,-2057346000.0,2881995000.0,-1032263000.0,1779474000.0,1779474000.0,,696075000.0,-14727000.0,-52727000.0,,,-214636000.0,-565890000.0,-433981000.0,-2177942000.0,136200000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2008.0,Q3,2008-07-01,2008-09-30,,,65399000.0,204000.0,178578000.0,,-211556000.0,-155914000.0,16896000.0,,-610060000.0,-225098000.0,693403000.0,,,,-610060000.0,-225098000.0,693403000.0,-353311000.0,492219000.0,492219000.0,,178520000.0,-3709000.0,-165000.0,,,-84062000.0,-150412000.0,,-623247000.0,9541000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-27 17:00:24+00:00,-159064000.0,329160000.0,1257000.0,517917000.0,,-117457000.0,-262500000.0,115615000.0,,-2276155000.0,-682914000.0,2198052000.0,,,,-2276155000.0,-682914000.0,2198052000.0,-878474000.0,1412282000.0,1412282000.0,,530353000.0,-13828000.0,-51369000.0,,,-107990000.0,-406739000.0,-200000000.0,-2177942000.0,42248000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-28 20:38:07+00:00,-159064000.0,263761000.0,1053000.0,339339000.0,,94099000.0,-106586000.0,98719000.0,,-1666095000.0,-457816000.0,1504649000.0,,,,-1666095000.0,-457816000.0,1504649000.0,-525163000.0,920063000.0,920063000.0,,351833000.0,-10119000.0,-51204000.0,,,-23928000.0,-256327000.0,-200000000.0,-1554695000.0,32707000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2009.0,Q4,2009-10-01,2009-12-31,,,64056000.0,129000.0,200784000.0,1780321000.0,-47228000.0,121995000.0,50730000.0,,-163613000.0,882200000.0,770600000.0,,,,-163613000.0,882200000.0,770600000.0,1441959000.0,1354906000.0,1354906000.0,,-907085000.0,-7144000.0,598000.0,,,-794865000.0,-172938000.0,-207199000.0,,69084000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2009.0,FY,2009-01-01,2009-12-31,2012-01-30 20:50:48+00:00,-1209433000.0,342173000.0,6050000.0,810946000.0,1780321000.0,-2157000.0,41762000.0,102526000.0,0.0,-945656000.0,-1149383000.0,2908086000.0,,,,-945656000.0,-1149383000.0,2908086000.0,810890000.0,2389097000.0,2389097000.0,,-333719000.0,-32920000.0,6487000.0,,,-1263236000.0,-567094000.0,-1015262000.0,0.0,103572000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2009.0,Q3TTM,2008-10-01,2009-09-30,,-2410662000.0,315781000.0,12423000.0,812059000.0,,-20533000.0,-131101000.0,88980000.0,800000000.0,-179739000.0,-3406015000.0,2821429000.0,,,,-179739000.0,-3406015000.0,2821429000.0,-784858000.0,1401383000.0,1401383000.0,,739088000.0,-26675000.0,4531000.0,,,-575017000.0,-553307000.0,-1042044000.0,,128440000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2009.0,Q3,2009-07-01,2009-09-30,,,50287000.0,466000.0,215068000.0,,47782000.0,-15734000.0,16061000.0,,-198382000.0,-603399000.0,738241000.0,,,,-198382000.0,-603399000.0,738241000.0,-15758000.0,349736000.0,349736000.0,,189171000.0,-6380000.0,-9526000.0,,,-415914000.0,-174768000.0,-208063000.0,,-3191000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-20 21:48:23+00:00,-1209433000.0,278117000.0,5921000.0,610162000.0,0.0,45071000.0,-80233000.0,51796000.0,,-782043000.0,-2031583000.0,2137486000.0,,,,-782043000.0,-2031583000.0,2137486000.0,-631069000.0,1034191000.0,1034191000.0,,573366000.0,-25776000.0,5889000.0,,,-468371000.0,-394156000.0,-808063000.0,0.0,34488000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2009.0,Q2TTM,2008-07-01,2009-06-30,,-2410662000.0,330893000.0,12161000.0,775569000.0,,-279871000.0,-271281000.0,89815000.0,800000000.0,-591417000.0,-3027714000.0,2776591000.0,,,,-591417000.0,-3027714000.0,2776591000.0,-1122411000.0,1543866000.0,1543866000.0,,728437000.0,-24004000.0,13892000.0,,,-243165000.0,-528951000.0,-833981000.0,-623247000.0,141172000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2009.0,Q2,2009-04-01,2009-06-30,,-1209433000.0,94668000.0,2461000.0,197805000.0,,131006000.0,16456000.0,32909000.0,,30859000.0,-1376125000.0,730718000.0,,,,30859000.0,-1376125000.0,730718000.0,-483542000.0,327342000.0,327342000.0,,189115000.0,-2050000.0,15094000.0,,,-38863000.0,-128454000.0,,,-14469000.0
