company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
CDW Corp,CDW,,1402057,2009.0,FY,2009-01-01,2009-12-31,2012-03-09 14:23:58+00:00,,16200000.0,11700000.0,368800000.0,218200000.0,500000.0,-112400000.0,,0.0,-31900000.0,-82600000.0,107600000.0,-31900000.0,-82600000.0,107600000.0,-6400000.0,-373400000.0,-373400000.0,359000000.0,-9000000.0,,,,-92200000.0,-15600000.0,-22900000.0,0.0,25200000.0
CDW Corp,CDW,,1402057,2010.0,Q4,2010-10-01,2010-12-31,,,4500000.0,15400000.0,155300000.0,50900000.0,300000.0,-1700000.0,,870000000.0,-48100000.0,-42500000.0,59900000.0,-48100000.0,-42500000.0,59900000.0,-30400000.0,-24100000.0,-24100000.0,30300000.0,-30600000.0,,,,-19500000.0,-23200000.0,-887500000.0,,200000.0
CDW Corp,CDW,,1402057,2010.0,FY,2010-01-01,2010-12-31,2013-11-08 16:37:16+00:00,,18000000.0,48000000.0,377000000.0,209400000.0,400000.0,161000000.0,,1270800000.0,-350100000.0,-125400000.0,423700000.0,-350100000.0,-125400000.0,423700000.0,-51400000.0,-29200000.0,-29200000.0,64500000.0,3200000.0,,,,-84100000.0,-41500000.0,-1624100000.0,0.0,200000.0
CDW Corp,CDW,,1402057,2010.0,Q3,2010-07-01,2010-09-30,,,4500000.0,21400000.0,44300000.0,53400000.0,300000.0,25900000.0,,151000000.0,-35800000.0,-27100000.0,103500000.0,-35800000.0,-27100000.0,103500000.0,40900000.0,-300000.0,-300000.0,20000000.0,33800000.0,,,,-19300000.0,-7800000.0,-220600000.0,,
CDW Corp,CDW,,1402057,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-14 15:53:42+00:00,,13500000.0,32600000.0,221700000.0,158500000.0,100000.0,162700000.0,,400800000.0,-302000000.0,-82900000.0,363800000.0,-302000000.0,-82900000.0,363800000.0,-21000000.0,-5100000.0,-5100000.0,34200000.0,33800000.0,,,,-64600000.0,-18300000.0,-736600000.0,,
CDW Corp,CDW,,1402057,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-09-14 14:34:47+00:00,,9000000.0,11200000.0,177400000.0,105100000.0,-200000.0,136800000.0,,249800000.0,-266200000.0,-55800000.0,260300000.0,-266200000.0,-55800000.0,260300000.0,-61900000.0,-4800000.0,-4800000.0,14200000.0,,,,,-45300000.0,-10500000.0,-516000000.0,,
CDW Corp,CDW,,1402057,2011.0,Q4,2011-10-01,2011-12-31,,,3200000.0,20900000.0,136300000.0,51300000.0,1100000.0,-37500000.0,,305000000.0,49300000.0,-19800000.0,43200000.0,49500000.0,-19800000.0,43200000.0,74000000.0,19000000.0,19000000.0,7200000.0,54800000.0,,,,,-19800000.0,-310100000.0,-400000.0,
CDW Corp,CDW,,1402057,2011.0,FY,2011-01-01,2011-12-31,2014-03-05 08:33:33+00:00,,15700000.0,-20900000.0,332900000.0,204900000.0,0.0,-168500000.0,0.0,2470000000.0,-95400000.0,-56000000.0,214700000.0,-95400000.0,-56000000.0,214700000.0,63300000.0,17100000.0,17100000.0,145500000.0,251500000.0,,,0.0,-10300000.0,-45700000.0,-2816500000.0,-400000.0,
CDW Corp,CDW,,1402057,2011.0,Q3TTM,2010-10-01,2011-09-30,,,17000000.0,-26400000.0,351900000.0,204500000.0,-800000.0,-132700000.0,,3035000000.0,-192800000.0,-78700000.0,231400000.0,-193000000.0,-78700000.0,231400000.0,-41100000.0,-26000000.0,-26000000.0,168600000.0,166100000.0,,,,-29800000.0,-49100000.0,-3393900000.0,,200000.0
CDW Corp,CDW,,1402057,2011.0,Q3,2011-07-01,2011-09-30,,,4800000.0,-6800000.0,18400000.0,51200000.0,-1500000.0,-57600000.0,,235000000.0,-49200000.0,-9700000.0,41700000.0,-49200000.0,-9700000.0,41700000.0,-18700000.0,37100000.0,37100000.0,6200000.0,105800000.0,,,,-500000.0,-9200000.0,-390000000.0,,
