company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,othergains,otherincome,otheroperatingexpenses,otherrevenue,preferreddividends,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Cboe Global Markets Inc,CBOE,,1374310,2011.0,FY,2011-01-01,2011-12-31,2014-02-20 19:16:53+00:00,1.52,1.52,,34094000.0,1.52,100678000.0,,139406000.0,139406000.0,136582000.0,2824000.0,152276000.0,499088000.0,,,,,47384000.0,9056000.0,,,32758000.0,152276000.0,355868000.0,879000.0,-669000.0,114236000.0,241632000.0,-1548000.0,240084000.0,508144000.0,89900000.0,89994000.0,89994000.0
Cboe Global Markets Inc,CBOE,,1374310,2011.0,Q4,2011-10-01,2011-12-31,,1.52,1.52,,34094000.0,1.52,100678000.0,,139406000.0,139406000.0,136582000.0,2824000.0,152276000.0,499088000.0,,,,,47384000.0,9056000.0,,,32758000.0,152276000.0,355868000.0,879000.0,-669000.0,114236000.0,241632000.0,-1548000.0,240084000.0,508144000.0,89900000.0,89994000.0,89994000.0
Cboe Global Markets Inc,CBOE,,1374310,2012.0,FY,2012-01-01,2012-12-31,2015-02-20 12:18:46+00:00,1.78,3.56,,62970000.0,3.56,170312000.0,,314790000.0,314790000.0,310508000.0,4282000.0,92270000.0,995878000.0,,,,0.0,290292000.0,28798000.0,,,90950000.0,92270000.0,932406000.0,,-3092000.0,444212000.0,488194000.0,-3092000.0,485102000.0,1024676000.0,174400000.0,174920000.0,174920000.0
Cboe Global Markets Inc,CBOE,,1374310,2012.0,Q4,2012-10-01,2012-12-31,,1.26,3.04,,54336000.0,3.04,155536000.0,,269032000.0,269032000.0,265265000.0,3767000.0,53800000.0,873709000.0,,,,,279983000.0,22648000.0,,,80905000.0,53800000.0,842557000.0,,-2765000.0,415224000.0,427333000.0,-2765000.0,424568000.0,896357000.0,174400000.0,174920000.0,174920000.0
Cboe Global Markets Inc,CBOE,,1374310,2012.0,Q3,2012-07-01,2012-09-30,2013-11-04 18:12:29+00:00,0.52,0.52,,8634000.0,0.52,14776000.0,,45758000.0,45758000.0,45243000.0,515000.0,38470000.0,122169000.0,,,,,10309000.0,6150000.0,,,10045000.0,38470000.0,89849000.0,,-327000.0,28988000.0,60861000.0,-327000.0,60534000.0,128319000.0,87000000.0,87272000.0,87272000.0
Cboe Global Markets Inc,CBOE,,1374310,2012.0,Q3YTD,2012-01-01,2012-09-30,,0.52,0.52,,8634000.0,0.52,14776000.0,,45758000.0,45758000.0,45243000.0,515000.0,38470000.0,122169000.0,,,,,10309000.0,6150000.0,,,10045000.0,38470000.0,89849000.0,,-327000.0,28988000.0,60861000.0,-327000.0,60534000.0,128319000.0,87000000.0,87272000.0,87272000.0
Cboe Global Markets Inc,CBOE,,1374310,2012.0,Q3TTM,2011-10-01,2012-09-30,,2.04,2.04,,42728000.0,2.04,115454000.0,,185164000.0,185164000.0,181825000.0,3339000.0,190746000.0,621257000.0,,,,,57693000.0,15206000.0,,,42803000.0,190746000.0,445717000.0,879000.0,-996000.0,143224000.0,302493000.0,-1875000.0,300618000.0,636463000.0,87000000.0,87272000.0,87272000.0
Cboe Global Markets Inc,CBOE,,1374310,2013.0,FY,2013-01-01,2013-12-31,2016-02-18 17:39:50+00:00,1.99,1.99,,34488000.0,1.99,107657000.0,,175999000.0,175999000.0,173863000.0,2136000.0,174659000.0,557032000.0,,,,,37112000.0,15018000.0,,,39977000.0,174659000.0,397391000.0,0.0,-2158000.0,111577000.0,285814000.0,-2158000.0,283656000.0,572050000.0,87400000.0,87331000.0,87331000.0
Cboe Global Markets Inc,CBOE,,1374310,2013.0,Q4,2013-10-01,2013-12-31,,1.52,1.52,,26012000.0,1.52,81103000.0,,134643000.0,134643000.0,132908000.0,1735000.0,132864000.0,424241000.0,,,,,28151000.0,11066000.0,,,30893000.0,132864000.0,302443000.0,,-1641000.0,85056000.0,217387000.0,-1641000.0,215746000.0,435307000.0,87400000.0,87331000.0,87331000.0
Cboe Global Markets Inc,CBOE,,1374310,2013.0,Q3,2013-07-01,2013-09-30,2013-11-04 18:12:29+00:00,0.47,0.47,,8476000.0,0.47,26554000.0,,41356000.0,41356000.0,40955000.0,401000.0,41795000.0,132791000.0,,,,,8961000.0,3952000.0,,,9084000.0,41795000.0,94948000.0,,-517000.0,26521000.0,68427000.0,-517000.0,67910000.0,136743000.0,87100000.0,87647000.0,87647000.0
Cboe Global Markets Inc,CBOE,,1374310,2013.0,Q3YTD,2013-01-01,2013-09-30,,0.47,0.47,,8476000.0,0.47,26554000.0,,41356000.0,41356000.0,40955000.0,401000.0,41795000.0,132791000.0,,,,,8961000.0,3952000.0,,,9084000.0,41795000.0,94948000.0,,-517000.0,26521000.0,68427000.0,-517000.0,67910000.0,136743000.0,87100000.0,87647000.0,87647000.0
Cboe Global Markets Inc,CBOE,,1374310,2013.0,Q3TTM,2012-10-01,2013-09-30,,1.73,3.51,,62812000.0,3.51,182090000.0,,310388000.0,310388000.0,306220000.0,4168000.0,95595000.0,1006500000.0,,,,,288944000.0,26600000.0,,,89989000.0,95595000.0,937505000.0,,-3282000.0,441745000.0,495760000.0,-3282000.0,492478000.0,1033100000.0,87100000.0,87647000.0,87647000.0
Cboe Global Markets Inc,CBOE,,1374310,2013.0,Q2YTD,2013-01-01,2013-06-30,,0.52,0.52,,8622000.0,0.52,28724000.0,,46161000.0,46161000.0,45477000.0,684000.0,45755000.0,146603000.0,,,,,9294000.0,4169000.0,,,11743000.0,45755000.0,105017000.0,,-473000.0,29659000.0,75358000.0,-473000.0,74885000.0,150772000.0,87500000.0,87341000.0,87341000.0
Cboe Global Markets Inc,CBOE,,1374310,2013.0,Q2TTM,2012-07-01,2013-06-30,,2.3,4.08,,71592000.0,4.08,199036000.0,,360951000.0,360951000.0,355985000.0,4966000.0,138025000.0,1142481000.0,,,,,299586000.0,32967000.0,,,102693000.0,138025000.0,1037423000.0,,-3565000.0,473871000.0,563552000.0,-3565000.0,559987000.0,1175448000.0,87500000.0,87341000.0,87341000.0
Cboe Global Markets Inc,CBOE,,1374310,2013.0,Q1TTM,2012-04-01,2013-03-31,,4.04,4.52,,79534000.0,4.52,222984000.0,,484282000.0,399536000.0,394086000.0,5450000.0,167113000.0,1256441000.0,84746000.0,84746000.0,,,303468000.0,35960000.0,,,115232000.0,167113000.0,1125288000.0,,-4534000.0,498234000.0,627054000.0,-4534000.0,622520000.0,1292401000.0,174100000.0,174544000.0,174544000.0
Cboe Global Markets Inc,CBOE,,1374310,2014.0,FY,2014-01-01,2014-12-31,2017-02-21 11:45:39+00:00,2.21,4.42,,79826000.0,4.42,239966000.0,,379428000.0,379428000.0,376784000.0,2644000.0,309578000.0,1135146000.0,,0.0,,,71992000.0,29114000.0,0.0,,75262000.0,309578000.0,854682000.0,0.0,-8208000.0,227080000.0,627602000.0,-8208000.0,619394000.0,1164260000.0,170500000.0,170812000.0,170812000.0
Cboe Global Markets Inc,CBOE,,1374310,2014.0,Q4,2014-10-01,2014-12-31,,0.58,2.22,,22106000.0,2.22,69206000.0,,98686000.0,98686000.0,140838000.0,829000.0,77978000.0,304738000.0,,-42981000.0,,0.0,18090000.0,7138000.0,,,19776000.0,77978000.0,233898000.0,,-6034000.0,59972000.0,173926000.0,-4676000.0,167892000.0,311876000.0,170500000.0,170812000.0,170812000.0
Cboe Global Markets Inc,CBOE,,1374310,2014.0,Q3,2014-07-01,2014-09-30,2014-11-04 16:12:10+00:00,0.57,1.14,,20722000.0,1.14,52894000.0,,96732000.0,96732000.0,96292000.0,440000.0,73631000.0,274121000.0,,,,-542000.0,17976000.0,7464000.0,,,19088000.0,73631000.0,207954000.0,,-542000.0,57786000.0,150168000.0,-1084000.0,149626000.0,281585000.0,168900000.0,170102000.0,170102000.0
Cboe Global Markets Inc,CBOE,,1374310,2014.0,Q3YTD,2014-01-01,2014-09-30,,1.63,2.2,,57720000.0,2.2,170760000.0,,280742000.0,280742000.0,235946000.0,1815000.0,231600000.0,830408000.0,,42981000.0,,-1358000.0,53902000.0,21976000.0,,,55486000.0,231600000.0,620784000.0,,-2174000.0,167108000.0,453676000.0,-3532000.0,451502000.0,852384000.0,168900000.0,170102000.0,170102000.0
Cboe Global Markets Inc,CBOE,,1374310,2014.0,Q3TTM,2013-10-01,2014-09-30,,3.15,3.72,,83732000.0,3.72,251863000.0,,415385000.0,415385000.0,368854000.0,3550000.0,364464000.0,1254649000.0,,42981000.0,,-1358000.0,82053000.0,33042000.0,,,86379000.0,364464000.0,923227000.0,,-3815000.0,252164000.0,671063000.0,-5173000.0,667248000.0,1287691000.0,168900000.0,170102000.0,170102000.0
Cboe Global Markets Inc,CBOE,,1374310,2014.0,Q2,2014-04-01,2014-06-30,2015-08-06 17:16:17+00:00,0.5,0.5,,19790000.0,0.5,52828000.0,,85962000.0,85962000.0,42598000.0,383000.0,75319000.0,264257000.0,,42981000.0,,-321000.0,18758000.0,7800000.0,,,18758000.0,75319000.0,196738000.0,,-642000.0,57306000.0,139432000.0,-963000.0,138790000.0,272057000.0,85200000.0,85831000.0,85831000.0
