company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
A. O. Smith Corp,AOS,,91142,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 14:57:44+00:00,,35800000.0,12000000.0,,-67000000.0,-26600000.0,81600000.0,0.0,-27100000.0,19400000.0,-67000000.0,-53700000.0,101000000.0,-19700000.0,77300000.0,47200000.0,30100000.0,-13400000.0,2100000.0,-19000000.0,,-41200000.0,-50100000.0,,12000000.0,2600000.0
A. O. Smith Corp,AOS,,91142,2009.0,Q4,2009-10-01,2009-12-31,,-71000000.0,-12400000.0,-48600000.0,,18600000.0,-83400000.0,-61400000.0,,-6700000.0,140000000.0,18600000.0,-90100000.0,78600000.0,7100000.0,22700000.0,-6400000.0,29100000.0,6000000.0,4100000.0,-5900000.0,,-4800000.0,20400000.0,,,-7600000.0
A. O. Smith Corp,AOS,,91142,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 16:35:58+00:00,-78500000.0,38300000.0,46800000.0,,-104900000.0,-110300000.0,122900000.0,0.0,-6700000.0,140000000.0,-104900000.0,-117000000.0,262900000.0,41000000.0,89600000.0,60500000.0,29100000.0,-22700000.0,7600000.0,-21400000.0,,-42700000.0,-91100000.0,,8900000.0,2000000.0
A. O. Smith Corp,AOS,,91142,2009.0,Q3,2009-07-01,2009-09-30,,,17200000.0,67700000.0,,-68300000.0,-9200000.0,93200000.0,,,,-68300000.0,-9200000.0,93200000.0,15700000.0,34600000.0,34600000.0,,-26300000.0,3500000.0,-5900000.0,,-16300000.0,-65900000.0,,,7100000.0
A. O. Smith Corp,AOS,,91142,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-04 14:22:45+00:00,-7500000.0,50700000.0,95400000.0,,-123500000.0,-26900000.0,184300000.0,,,,-123500000.0,-26900000.0,184300000.0,33900000.0,66900000.0,66900000.0,,-28700000.0,3500000.0,-15500000.0,,-37900000.0,-111500000.0,,8900000.0,9600000.0
A. O. Smith Corp,AOS,,91142,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-04 16:12:00+00:00,-7500000.0,33500000.0,27700000.0,,-55200000.0,-17700000.0,91100000.0,,,,-55200000.0,-17700000.0,91100000.0,18200000.0,32300000.0,32300000.0,,-2400000.0,,-9600000.0,,-21600000.0,-45600000.0,,8900000.0,2500000.0
A. O. Smith Corp,AOS,,91142,2010.0,Q3TTM,2009-10-01,2010-09-30,,-76600000.0,16900000.0,-78000000.0,40800000.0,27000000.0,-121600000.0,-24800000.0,,-13000000.0,172300000.0,27000000.0,-134600000.0,147500000.0,39900000.0,102100000.0,30200000.0,71900000.0,6100000.0,8600000.0,-24200000.0,,-42000000.0,1800000.0,,4600000.0,-7600000.0
A. O. Smith Corp,AOS,,91142,2010.0,Q3,2010-07-01,2010-09-30,,-5600000.0,10000000.0,-31400000.0,40800000.0,24100000.0,-26700000.0,-5500000.0,,-500000.0,23700000.0,24100000.0,-27200000.0,18200000.0,15100000.0,32000000.0,16200000.0,15800000.0,-300000.0,400000.0,-6400000.0,,-21100000.0,-10700000.0,,,
A. O. Smith Corp,AOS,,91142,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-08 16:12:52+00:00,-5600000.0,29300000.0,-29400000.0,40800000.0,8400000.0,-38200000.0,36600000.0,0.0,-6300000.0,32300000.0,8400000.0,-44500000.0,68900000.0,32800000.0,79400000.0,36600000.0,42800000.0,100000.0,4500000.0,-18300000.0,,-37200000.0,-18600000.0,,4600000.0,
A. O. Smith Corp,AOS,,91142,2010.0,Q2TTM,2009-07-01,2010-06-30,,-71000000.0,24100000.0,21100000.0,,-65400000.0,-104100000.0,73900000.0,,-12500000.0,148600000.0,-65400000.0,-116600000.0,222500000.0,40500000.0,104700000.0,48600000.0,56100000.0,-19900000.0,11700000.0,-23700000.0,,-37200000.0,-53400000.0,,4600000.0,-500000.0
A. O. Smith Corp,AOS,,91142,2010.0,Q2,2010-04-01,2010-06-30,,,9200000.0,44800000.0,-31500000.0,-43900000.0,-3800000.0,48000000.0,,-3200000.0,17100000.0,-43900000.0,-7000000.0,65100000.0,14200000.0,16600000.0,-900000.0,17500000.0,-5100000.0,1500000.0,-6000000.0,,-8400000.0,-7900000.0,,4600000.0,
A. O. Smith Corp,AOS,,91142,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-08 14:54:09+00:00,,19300000.0,2000000.0,,-15700000.0,-11500000.0,42100000.0,,-5800000.0,8600000.0,-15700000.0,-17300000.0,50700000.0,17700000.0,47400000.0,20400000.0,27000000.0,400000.0,4100000.0,-11900000.0,,-16100000.0,-7900000.0,,4600000.0,
A. O. Smith Corp,AOS,,91142,2010.0,Q1,2010-01-01,2010-03-31,2011-05-10 11:32:45+00:00,,10100000.0,-42800000.0,31500000.0,28200000.0,-7700000.0,-5900000.0,0.0,-2600000.0,-8500000.0,28200000.0,-10300000.0,-14400000.0,3500000.0,30800000.0,21300000.0,9500000.0,5500000.0,2600000.0,-5900000.0,,-7700000.0,,,,
A. O. Smith Corp,AOS,,91142,2011.0,Q4,2011-10-01,2011-12-31,,-3000000.0,13800000.0,66300000.0,65900000.0,42100000.0,-19800000.0,129500000.0,,-127600000.0,-1400000.0,42100000.0,-147400000.0,128100000.0,22800000.0,32100000.0,31500000.0,600000.0,17900000.0,1400000.0,-7400000.0,,-16800000.0,,-17800000.0,,
A. O. Smith Corp,AOS,,91142,2011.0,FY,2011-01-01,2011-12-31,2014-02-20 11:59:15+00:00,-421100000.0,47000000.0,500000.0,200200000.0,160200000.0,-474600000.0,61600000.0,,600200000.0,-2900000.0,160200000.0,125600000.0,58700000.0,344500000.0,305700000.0,111200000.0,194500000.0,-97100000.0,11200000.0,-27700000.0,,-53500000.0,,-23500000.0,,
