company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,othergains,otherincome,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
A. O. Smith Corp,AOS,,91142,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 14:57:44+00:00,1.53,1.53,,1.53,27600000.0,77300000.0,47200000.0,30100000.0,21700000.0,55600000.0,1077200000.0,1451300000.0,,-300000.0,-2300000.0,,2400000.0,283300000.0,1077200000.0,374100000.0,11000000.0,285700000.0,88400000.0,-13300000.0,75100000.0,1451300000.0,14200000.0,14200000.0,14200000.0
A. O. Smith Corp,AOS,,91142,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 16:35:58+00:00,2.37,2.37,0.51,2.36,30900000.0,89600000.0,60500000.0,29100000.0,81300000.0,8300000.0,980100000.0,1375000000.0,,-400000.0,-2800000.0,,1300000.0,291800000.0,980100000.0,394900000.0,7200000.0,293100000.0,101800000.0,-10000000.0,91800000.0,1375000000.0,34289257.0,34289257.0,34289257.0
A. O. Smith Corp,AOS,,91142,2009.0,Q3,2009-07-01,2009-09-30,2010-11-04 14:22:45+00:00,1.15,1.15,0.195,1.14,11400000.0,34600000.0,34600000.0,,34600000.0,,363000000.0,501500000.0,,-100000.0,-600000.0,,-3000000.0,92300000.0,363000000.0,138500000.0,2500000.0,89300000.0,49200000.0,-3100000.0,46100000.0,501500000.0,30100000.0,30100000.0,30400000.0
A. O. Smith Corp,AOS,,91142,2009.0,Q2,2009-04-01,2009-06-30,2010-08-04 16:12:00+00:00,0.85,0.85,0.19,0.84,6100000.0,23700000.0,23700000.0,,21300000.0,2400000.0,376300000.0,498700000.0,,-200000.0,-700000.0,,,88600000.0,376300000.0,122400000.0,3100000.0,88600000.0,33800000.0,-3800000.0,30000000.0,498700000.0,25100000.0,25100000.0,25400000.0
A. O. Smith Corp,AOS,,91142,2010.0,Q4,2010-10-01,2010-12-31,,1.38,0.7,0.14,0.7,8200000.0,32100000.0,20500000.0,11600000.0,32200000.0,-100000.0,253900000.0,370200000.0,,100000.0,1500000.0,1200000.0,100000.0,86000000.0,253900000.0,116300000.0,1900000.0,87300000.0,29000000.0,-400000.0,28600000.0,370200000.0,45743246.0,45743246.0,45743246.0
A. O. Smith Corp,AOS,,91142,2010.0,FY,2010-01-01,2010-12-31,2013-02-27 16:38:18+00:00,2.44,2.44,0.54,2.42,17300000.0,111500000.0,57100000.0,54400000.0,111700000.0,-200000.0,1043300000.0,1489300000.0,,,-500000.0,35400000.0,100000.0,328700000.0,1043300000.0,446000000.0,6900000.0,364200000.0,81800000.0,-7400000.0,74400000.0,1489300000.0,45743246.0,45743246.0,45743246.0
A. O. Smith Corp,AOS,,91142,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.06,1.74,0.4,1.72,9100000.0,79400000.0,36600000.0,42800000.0,79500000.0,-100000.0,789400000.0,1119100000.0,,-100000.0,-2000000.0,34200000.0,,242700000.0,789400000.0,329700000.0,5000000.0,276900000.0,52800000.0,-7000000.0,45800000.0,1119100000.0,45796715.0,45796715.0,45796715.0
A. O. Smith Corp,AOS,,91142,2010.0,Q3,2010-07-01,2010-09-30,2011-11-08 16:12:52+00:00,0.7,0.7,0.14,0.69,7100000.0,32000000.0,16200000.0,15800000.0,32000000.0,,270200000.0,377400000.0,,,-300000.0,,,81900000.0,270200000.0,107200000.0,1700000.0,81900000.0,25300000.0,-2000000.0,23300000.0,377400000.0,45796715.0,45796715.0,45796715.0
A. O. Smith Corp,AOS,,91142,2010.0,Q2YTD,2010-01-01,2010-06-30,,0.36,1.04,0.26,1.03,2000000.0,47400000.0,20400000.0,27000000.0,47500000.0,-100000.0,519200000.0,741700000.0,,-100000.0,-1700000.0,34200000.0,,160800000.0,519200000.0,222500000.0,3300000.0,195000000.0,27500000.0,-5000000.0,22500000.0,741700000.0,45767885.0,45767885.0,45767885.0
A. O. Smith Corp,AOS,,91142,2010.0,Q2,2010-04-01,2010-06-30,2011-08-08 14:54:09+00:00,0.36,0.36,0.13,0.36,-5700000.0,16600000.0,-900000.0,17500000.0,16600000.0,,260800000.0,375000000.0,,,-1200000.0,34200000.0,,83800000.0,260800000.0,114200000.0,1600000.0,118000000.0,-3800000.0,-2800000.0,-6600000.0,375000000.0,45767885.0,45767885.0,45767885.0
