company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
TechnipFMC PLC,FTI,,1681459,2008.0,FY,,2008-12-31,2010-03-01 13:31:32+00:00,439800000.0,996100000.0,-408400000.0,340100000.0,,730100000.0,770300000.0,12800000.0,100000.0,123200000.0,128700000.0,70200000.0,472000000.0,151200000.0,559300000.0,494900000.0,8300000.0,123400000.0,,182100000.0,505800000.0,603400000.0,3500000.0,-6300000.0,174200000.0,264800000.0,24200000.0,,1081000000.0,23000000.0,3580900000.0,690400000.0,2438300000.0,1963300000.0,690400000.0,698700000.0,2882200000.0,3580900000.0,647700000.0,918900000.0,0.0,-706000000.0
TechnipFMC PLC,FTI,,1681459,2009.0,FY,,2009-12-31,2011-02-28 10:12:08+00:00,343900000.0,879200000.0,-225800000.0,460700000.0,,711500000.0,670400000.0,42500000.0,151500000.0,141800000.0,272700000.0,154600000.0,391600000.0,141800000.0,591800000.0,581900000.0,9000000.0,74200000.0,4400000.0,140000000.0,273400000.0,384900000.0,,-5700000.0,63100000.0,187600000.0,20500000.0,,1438900000.0,28500000.0,3556400000.0,1102800000.0,2268100000.0,1721000000.0,1102800000.0,1111800000.0,2444600000.0,3556400000.0,706400000.0,723600000.0,0.0,-816100000.0
TechnipFMC PLC,FTI,,1681459,2009.0,Q3,,2009-09-30,2009-11-03 10:12:27+00:00,350500000.0,935100000.0,-240100000.0,397400000.0,,708000000.0,761400000.0,,91600000.0,3000000.0,144700000.0,66700000.0,309900000.0,140500000.0,609400000.0,564200000.0,9900000.0,115000000.0,,202200000.0,354800000.0,540100000.0,2200000.0,-5800000.0,74700000.0,143500000.0,28600000.0,,1345700000.0,9500000.0,3431100000.0,1007300000.0,2325300000.0,1758300000.0,1007300000.0,1017200000.0,2413900000.0,3431100000.0,541600000.0,655600000.0,0.0,-800500000.0
TechnipFMC PLC,FTI,,1681459,2009.0,Q2,,2009-06-30,2009-08-07 11:34:46+00:00,372600000.0,963400000.0,-290300000.0,256200000.0,0.0,709600000.0,727600000.0,,55900000.0,12000000.0,139000000.0,67000000.0,305600000.0,139700000.0,630000000.0,544800000.0,9300000.0,127200000.0,,201600000.0,251600000.0,478200000.0,2700000.0,-6300000.0,49800000.0,111100000.0,34400000.0,,1257600000.0,25000000.0,3203100000.0,901500000.0,2135600000.0,1674000000.0,901500000.0,910800000.0,2292300000.0,3203100000.0,522700000.0,618300000.0,0.0,-769100000.0
TechnipFMC PLC,FTI,,1681459,2010.0,FY,,2010-12-31,2012-02-27 12:50:58+00:00,344100000.0,1103400000.0,-252100000.0,315500000.0,0.0,700100000.0,556400000.0,102900000.0,103500000.0,149700000.0,274800000.0,140500000.0,351100000.0,148200000.0,566500000.0,609000000.0,10600000.0,26800000.0,93900000.0,177700000.0,238100000.0,329500000.0,,-3400000.0,99600000.0,203800000.0,18900000.0,,1814900000.0,12200000.0,3644200000.0,1311700000.0,2345300000.0,1495400000.0,1311700000.0,1322300000.0,2321900000.0,3644200000.0,689900000.0,826500000.0,0.0,-947800000.0
TechnipFMC PLC,FTI,,1681459,2010.0,Q3,,2010-09-30,2010-11-03 12:56:19+00:00,300700000.0,1003300000.0,-203700000.0,512100000.0,,693900000.0,537000000.0,26300000.0,113300000.0,,273100000.0,143900000.0,567000000.0,141700000.0,546400000.0,580900000.0,9500000.0,47800000.0,,151500000.0,225500000.0,449900000.0,,-6500000.0,98000000.0,232500000.0,23400000.0,,1715600000.0,11600000.0,3622400000.0,1249400000.0,2337000000.0,1412500000.0,1249400000.0,1258900000.0,2363500000.0,3622400000.0,704500000.0,951000000.0,0.0,-949900000.0
TechnipFMC PLC,FTI,,1681459,2010.0,Q2,,2010-06-30,2010-07-29 11:48:56+00:00,276500000.0,924800000.0,-285100000.0,403800000.0,,691300000.0,450500000.0,15200000.0,77000000.0,,262300000.0,141100000.0,585500000.0,142700000.0,525900000.0,548500000.0,10100000.0,53400000.0,,143800000.0,204200000.0,441500000.0,,-6700000.0,85200000.0,218800000.0,32700000.0,,1634600000.0,14700000.0,3339800000.0,1121400000.0,2106600000.0,1260200000.0,1121400000.0,1131500000.0,2208300000.0,3339800000.0,684700000.0,948100000.0,0.0,-912700000.0
TechnipFMC PLC,FTI,,1681459,2011.0,FY,,2011-12-31,2013-02-22 15:35:20+00:00,546800000.0,1341600000.0,-443800000.0,344000000.0,0.0,701400000.0,450200000.0,99000000.0,122800000.0,174100000.0,265800000.0,128000000.0,36000000.0,161400000.0,712200000.0,767900000.0,13100000.0,67100000.0,111900000.0,272400000.0,253900000.0,351400000.0,,-5800000.0,92900000.0,180100000.0,37200000.0,,2214700000.0,587600000.0,4271000000.0,1424600000.0,2787900000.0,2232900000.0,1424600000.0,1437700000.0,2833300000.0,4271000000.0,715200000.0,600400000.0,0.0,-1041900000.0
TechnipFMC PLC,FTI,,1681459,2011.0,Q3,,2011-09-30,2011-11-01 06:03:27+00:00,455200000.0,1234000000.0,-300800000.0,336400000.0,0.0,695400000.0,502000000.0,90200000.0,143900000.0,142700000.0,268500000.0,132100000.0,522100000.0,150800000.0,722500000.0,715900000.0,11800000.0,14600000.0,74300000.0,134400000.0,273800000.0,366200000.0,,-6200000.0,87500000.0,194000000.0,34700000.0,,2115500000.0,7900000.0,4061000000.0,1506500000.0,2691600000.0,1617900000.0,1506500000.0,1518300000.0,2542700000.0,4061000000.0,653500000.0,924800000.0,0.0,-997400000.0
TechnipFMC PLC,FTI,,1681459,2011.0,Q2,,2011-06-30,2011-08-24 06:17:51+00:00,469300000.0,1187300000.0,-185600000.0,428000000.0,0.0,692400000.0,570200000.0,96700000.0,78900000.0,,284600000.0,139100000.0,465800000.0,152200000.0,695000000.0,692700000.0,11100000.0,4900000.0,140300000.0,139900000.0,308500000.0,501200000.0,,-5700000.0,167900000.0,260500000.0,43100000.0,,1994400000.0,7000000.0,4200000000.0,1555800000.0,2758600000.0,1626600000.0,1555800000.0,1566900000.0,2633100000.0,4200000000.0,748700000.0,1006500000.0,0.0,-939700000.0
