company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,preferreddividends,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
"Integrys Holding, Inc.",TEG,,916863,2008.0,FY,2008-01-01,2008-12-31,2011-02-23 19:41:11+00:00,1.52,1.52,,221400000.0,1.51,7000000.0,61100000.0,119500000.0,114800000.0,4700000.0,116500000.0,-100000.0,12398400000.0,14047800000.0,93600000.0,87300000.0,,0.0,3100000.0,0.0,1080700000.0,12492000000.0,1555800000.0,158100000.0,,1309100000.0,246700000.0,-70800000.0,175900000.0,14047800000.0,76600000.0,76700000.0,77000000.0
"Integrys Holding, Inc.",TEG,,916863,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 20:55:12+00:00,-0.91,-0.91,2.72,230600000.0,-0.91,291800000.0,83700000.0,-67500000.0,-70300000.0,2800000.0,-69600000.0,-1000000.0,5621100000.0,7499800000.0,96300000.0,89000000.0,,28900000.0,3100000.0,43500000.0,1098400000.0,5717400000.0,1782400000.0,164800000.0,,1693200000.0,89200000.0,-75800000.0,13400000.0,7499800000.0,76500000.0,76800000.0,76800000.0
"Integrys Holding, Inc.",TEG,,916863,2009.0,Q3,2009-07-01,2009-09-30,2010-11-03 19:32:50+00:00,0.67,0.67,0.68,57500000.0,0.66,0.0,28000000.0,51400000.0,49100000.0,2300000.0,51100000.0,-400000.0,882300000.0,1297800000.0,23900000.0,25500000.0,,200000.0,700000.0,2400000.0,238200000.0,906200000.0,391600000.0,41700000.0,,298300000.0,93300000.0,-16200000.0,77100000.0,1297800000.0,76300000.0,76800000.0,76900000.0
"Integrys Holding, Inc.",TEG,,916863,2009.0,Q2,2009-04-01,2009-06-30,2010-08-04 19:32:53+00:00,0.45,0.45,0.68,57600000.0,0.45,0.0,18500000.0,35300000.0,35000000.0,300000.0,34700000.0,-200000.0,980300000.0,1427600000.0,21700000.0,20600000.0,,0.0,800000.0,19100000.0,276000000.0,1002000000.0,425600000.0,40000000.0,,352700000.0,72900000.0,-19400000.0,53500000.0,1427600000.0,77100000.0,76800000.0,76800000.0
"Integrys Holding, Inc.",TEG,,916863,2010.0,Q4,2010-10-01,2010-12-31,,0.92,0.92,0.68,59500000.0,0.91,-43200000.0,58700000.0,72500000.0,94100000.0,-21600000.0,71700000.0,,779300000.0,1253700000.0,20500000.0,-57800000.0,,-500000.0,800000.0,-6200000.0,276400000.0,799800000.0,453900000.0,35500000.0,78200000.0,286000000.0,167900000.0,-15100000.0,152800000.0,1253700000.0,77500000.0,77500000.0,78000000.0
"Integrys Holding, Inc.",TEG,,916863,2010.0,FY,2010-01-01,2010-12-31,2013-02-28 18:11:09+00:00,2.85,2.85,2.72,260400000.0,2.83,,162300000.0,223700000.0,245200000.0,-21500000.0,220900000.0,-300000.0,3296900000.0,5169800000.0,92000000.0,13300000.0,,14100000.0,3100000.0,,1043700000.0,3388900000.0,1780900000.0,146700000.0,78200000.0,1318200000.0,462700000.0,-55200000.0,407500000.0,5169800000.0,77500000.0,77500000.0,78000000.0
"Integrys Holding, Inc.",TEG,,916863,2010.0,Q3,2010-07-01,2010-09-30,2011-11-02 17:19:59+00:00,0.26,0.26,0.68,69000000.0,0.26,43200000.0,9200000.0,21100000.0,21100000.0,,20400000.0,,570100000.0,997900000.0,22700000.0,26300000.0,,-200000.0,700000.0,-300000.0,254200000.0,592800000.0,405100000.0,35200000.0,,365900000.0,39200000.0,-8900000.0,30300000.0,997900000.0,78500000.0,77700000.0,78100000.0
"Integrys Holding, Inc.",TEG,,916863,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.93,1.93,2.04,200900000.0,1.92,43200000.0,103600000.0,151200000.0,151100000.0,100000.0,149200000.0,-300000.0,2517600000.0,3916100000.0,71500000.0,71100000.0,,14600000.0,2300000.0,6200000.0,767300000.0,2589100000.0,1327000000.0,111200000.0,,1032200000.0,294800000.0,-40100000.0,254700000.0,3916100000.0,78500000.0,77700000.0,78100000.0
"Integrys Holding, Inc.",TEG,,916863,2010.0,Q2,2010-04-01,2010-06-30,2011-08-03 19:52:20+00:00,1.02,1.02,0.68,67800000.0,1.02,,44400000.0,79600000.0,79600000.0,,79100000.0,-300000.0,566400000.0,1014800000.0,20600000.0,24400000.0,,-25000000.0,800000.0,6500000.0,242300000.0,587000000.0,427800000.0,36600000.0,,291600000.0,136200000.0,-12200000.0,124000000.0,1014800000.0,77500000.0,77400000.0,77900000.0
"Integrys Holding, Inc.",TEG,,916863,2010.0,Q2YTD,2010-01-01,2010-06-30,,1.67,1.67,1.36,131900000.0,1.66,,94400000.0,130100000.0,130000000.0,100000.0,128800000.0,-300000.0,1947500000.0,2918200000.0,48800000.0,44800000.0,,14800000.0,1600000.0,6500000.0,513100000.0,1996300000.0,921900000.0,76000000.0,,666300000.0,255600000.0,-31200000.0,224400000.0,2918200000.0,77500000.0,77400000.0,77900000.0
