company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,saleofplantpropertyandequipment
"Integrys Holding, Inc.",TEG,,916863,2008.0,FY,2008-01-01,2008-12-31,2011-02-23 19:41:11+00:00,,,,221400000.0,,-875200000.0,0.0,1437300000.0,911300000.0,-452200000.0,-250000000.0,911300000.0,-452200000.0,-250000000.0,212900000.0,119500000.0,114800000.0,4700000.0,289000000.0,0.0,87300000.0,3800000.0,-207000000.0,-37800000.0,-532800000.0,-319000000.0,31100000.0
"Integrys Holding, Inc.",TEG,,916863,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 20:55:12+00:00,,,,230600000.0,,883300000.0,,392000000.0,-1378400000.0,-440700000.0,1606300000.0,-1378400000.0,-440700000.0,1606300000.0,-209600000.0,-67500000.0,-70300000.0,2800000.0,562700000.0,33900000.0,-7000000.0,3200000.0,-210000000.0,-34100000.0,-444200000.0,-1594300000.0,44600000.0
"Integrys Holding, Inc.",TEG,,916863,2009.0,Q4,2009-10-01,2009-12-31,,,,,58600000.0,,3100000.0,,13400000.0,-112800000.0,-102500000.0,111700000.0,-112800000.0,-102500000.0,111700000.0,-104900000.0,25300000.0,25100000.0,200000.0,24900000.0,33900000.0,2900000.0,-1300000.0,-52500000.0,-10200000.0,-101900000.0,-107600000.0,6700000.0
"Integrys Holding, Inc.",TEG,,916863,2009.0,Q3,2009-07-01,2009-09-30,,,,,57500000.0,,118700000.0,,89200000.0,-157900000.0,-149700000.0,245500000.0,-157900000.0,-149700000.0,246100000.0,-57000000.0,51400000.0,48500000.0,2900000.0,20800000.0,,-6900000.0,4500000.0,-52400000.0,-8400000.0,-154700000.0,-194700000.0,20300000.0
"Integrys Holding, Inc.",TEG,,916863,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-03 19:32:50+00:00,,,,172000000.0,,880200000.0,0.0,378600000.0,-1265600000.0,-338200000.0,1494600000.0,-1265600000.0,-338200000.0,1494600000.0,-104700000.0,-92800000.0,-95400000.0,2600000.0,537800000.0,0.0,-9900000.0,4500000.0,-157500000.0,-23900000.0,-342300000.0,-1486700000.0,37900000.0
"Integrys Holding, Inc.",TEG,,916863,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-04 19:32:53+00:00,,,,114500000.0,,761500000.0,0.0,289400000.0,-1107700000.0,-188500000.0,1249100000.0,-1107700000.0,-188500000.0,1248500000.0,-47700000.0,-144200000.0,-143900000.0,-300000.0,517000000.0,0.0,-3000000.0,0.0,-105100000.0,-15500000.0,-187600000.0,-1292000000.0,17600000.0
"Integrys Holding, Inc.",TEG,,916863,2010.0,FY,2010-01-01,2010-12-31,2013-02-28 18:11:09+00:00,,,,260400000.0,,332200000.0,14600000.0,271900000.0,-391400000.0,-198600000.0,714700000.0,-391400000.0,-198600000.0,714700000.0,134500000.0,223700000.0,245200000.0,-21500000.0,-123100000.0,-141100000.0,,9800000.0,-189200000.0,-6900000.0,-257700000.0,-347600000.0,66000000.0
"Integrys Holding, Inc.",TEG,,916863,2010.0,Q4,2010-10-01,2010-12-31,,,,,59500000.0,,-51800000.0,-11600000.0,250000000.0,135700000.0,-70700000.0,-61000000.0,135700000.0,-70700000.0,-61000000.0,13700000.0,72500000.0,93900000.0,-21400000.0,-162800000.0,-2900000.0,-200000.0,9700000.0,-47600000.0,-1800000.0,-70600000.0,-52200000.0,1900000.0
"Integrys Holding, Inc.",TEG,,916863,2010.0,Q3TTM,2009-10-01,2010-09-30,,,,,259500000.0,,387100000.0,26200000.0,35300000.0,-639900000.0,-230400000.0,887400000.0,-639900000.0,-230400000.0,887400000.0,15900000.0,176500000.0,176400000.0,100000.0,64600000.0,-104300000.0,3100000.0,-1200000.0,-194100000.0,-15300000.0,-289000000.0,-403000000.0,70800000.0
"Integrys Holding, Inc.",TEG,,916863,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-02 17:19:59+00:00,,,,200900000.0,,384000000.0,26200000.0,21900000.0,-527100000.0,-127900000.0,775700000.0,-527100000.0,-127900000.0,775700000.0,120800000.0,151200000.0,151300000.0,-100000.0,39700000.0,-138200000.0,200000.0,100000.0,-141600000.0,-5100000.0,-187100000.0,-295400000.0,64100000.0
