company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,dividendspayable,goodwill,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentliabilities,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2009.0,FY,,2009-12-31,2011-02-22 16:30:27+00:00,126813000.0,243403000.0,106423000.0,-36036000.0,22503000.0,260727000.0,,388526000.0,154643000.0,0.0,15451000.0,38854000.0,11790000.0,548749000.0,,213396000.0,1182504000.0,,,205227000.0,78859000.0,,12644000.0,34478000.0,27700000.0,13045000.0,546355000.0,109626000.0,,2152840000.0,898845000.0,885214000.0,370957000.0,898845000.0,898845000.0,1253995000.0,2152840000.0,85122000.0,883038000.0,
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2010.0,FY,,2010-12-31,2012-02-21 15:25:52+00:00,155163000.0,294192000.0,109227000.0,-44381000.0,21832000.0,196556000.0,,363271000.0,50232000.0,2601000.0,15351000.0,38854000.0,10975000.0,549099000.0,,241142000.0,1337986000.0,,,111241000.0,97914000.0,,12598000.0,38418000.0,32213000.0,17555000.0,690111000.0,109670000.0,,2225910000.0,1009001000.0,799677000.0,404610000.0,1009001000.0,1009001000.0,1216909000.0,2225910000.0,88247000.0,812299000.0,
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2010.0,Q3,,2010-09-30,2010-11-03 16:36:23+00:00,169944000.0,335000000.0,111079000.0,-54307000.0,22004000.0,172820000.0,,371220000.0,57417000.0,15544000.0,15432000.0,38854000.0,11179000.0,549011000.0,,226731000.0,1291555000.0,,,86953000.0,82894000.0,,4405000.0,35427000.0,56795000.0,21049000.0,650565000.0,109659000.0,,2190032000.0,968644000.0,813017000.0,426063000.0,966312000.0,966312000.0,1223720000.0,2190032000.0,85460000.0,797657000.0,1166000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2010.0,Q2,,2010-06-30,2010-08-04 14:33:27+00:00,165835000.0,308665000.0,93488000.0,-44188000.0,22173000.0,181511000.0,,392669000.0,132793000.0,,15455000.0,38854000.0,11382000.0,548924000.0,,207867000.0,1256927000.0,,,190756000.0,84154000.0,,12601000.0,35560000.0,39332000.0,29960000.0,572672000.0,109648000.0,,2203519000.0,921153000.0,860796000.0,397027000.0,921153000.0,921153000.0,1282366000.0,2203519000.0,85796000.0,885339000.0,
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2011.0,FY,,2011-12-31,2013-02-28 14:19:09+00:00,154855000.0,319988000.0,163259000.0,-97778000.0,21114000.0,156313000.0,,352787000.0,62789000.0,10404000.0,19680000.0,58214000.0,25042000.0,793448000.0,,254675000.0,1476654000.0,,,113975000.0,148686000.0,,12584000.0,40526000.0,29866000.0,18298000.0,673960000.0,15718000.0,,2412499000.0,929028000.0,812063000.0,376500000.0,928910000.0,928910000.0,1483589000.0,2412499000.0,123782000.0,1107089000.0,59000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2011.0,Q3,,2011-09-30,2011-11-03 15:48:02+00:00,176677000.0,338516000.0,110790000.0,-62120000.0,21298000.0,40117000.0,,357660000.0,24616000.0,464000.0,19990000.0,51106000.0,20555000.0,549361000.0,,244375000.0,1434362000.0,,6294000.0,102051000.0,94957000.0,,4353000.0,50515000.0,69545000.0,22287000.0,678011000.0,109706000.0,,2232743000.0,973551000.0,669911000.0,421980000.0,973551000.0,973551000.0,1259192000.0,2232743000.0,128470000.0,837212000.0,
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2011.0,Q2,,2011-06-30,2011-08-04 15:36:21+00:00,189778000.0,331249000.0,93468000.0,-37320000.0,21479000.0,119181000.0,,332317000.0,35332000.0,,20258000.0,53603000.0,16932000.0,549273000.0,,226521000.0,1401516000.0,,,111039000.0,101988000.0,,12537000.0,44842000.0,28462000.0,30005000.0,726208000.0,109694000.0,,2259181000.0,1021205000.0,742288000.0,425735000.0,1021205000.0,1021205000.0,1237976000.0,2259181000.0,115377000.0,812241000.0,
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2011.0,Q1,,2011-03-31,2011-05-10 16:04:52+00:00,167822000.0,308816000.0,77952000.0,-38029000.0,21657000.0,173014000.0,,351466000.0,35604000.0,7019000.0,20477000.0,38854000.0,10771000.0,549186000.0,,233916000.0,1360140000.0,,,111230000.0,100904000.0,,4359000.0,39078000.0,30163000.0,20754000.0,707059000.0,109682000.0,,2220947000.0,1020496000.0,772104000.0,387311000.0,1020496000.0,1020496000.0,1200451000.0,2220947000.0,88703000.0,813140000.0,
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2012.0,FY,,2012-12-31,2014-02-28 15:15:12+00:00,117510000.0,352142000.0,122696000.0,-114042000.0,24904000.0,207393000.0,,379775000.0,87816000.0,,0.0,67160000.0,38283000.0,778630000.0,,268767000.0,1366069000.0,,,227160000.0,164538000.0,,3676000.0,45223000.0,29229000.0,20915000.0,703728000.0,15964000.0,,2453768000.0,969461000.0,937033000.0,259846000.0,969461000.0,969461000.0,1484307000.0,2453768000.0,150666000.0,1224461000.0,
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2012.0,Q3,,2012-09-30,2012-11-06 15:56:55+00:00,147308000.0,379675000.0,114750000.0,-101968000.0,25151000.0,140906000.0,,371886000.0,116457000.0,,24578000.0,71555000.0,34758000.0,782370000.0,,260772000.0,1376457000.0,,,237412000.0,134049000.0,,4672000.0,47547000.0,28815000.0,27023000.0,670178000.0,15949000.0,,2455150000.0,940096000.0,924833000.0,307257000.0,940096000.0,940096000.0,1515054000.0,2455150000.0,153860000.0,1207797000.0,
