company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2008.0,FY,2008-01-01,2008-12-31,2011-02-22 16:30:27+00:00,,-1722000.0,147769000.0,,-26854000.0,149939000.0,-213532000.0,-134536000.0,269322000.0,-213532000.0,-134536000.0,269322000.0,-78746000.0,135609000.0,135609000.0,14520000.0,-1252000.0,,-125057000.0,,-136239000.0,-171496000.0,-65666000.0,1703000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2009.0,Q4,2009-10-01,2009-12-31,,,-269000.0,39317000.0,,17282000.0,,-14723000.0,-45675000.0,96838000.0,-14723000.0,-45675000.0,96838000.0,36440000.0,58683000.0,58683000.0,-18175000.0,868000.0,,-15442000.0,,-45761000.0,-149000.0,,86000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2009.0,FY,2009-01-01,2009-12-31,2012-02-21 15:25:52+00:00,-3136000.0,-1074000.0,151217000.0,,4038000.0,0.0,-75477000.0,-119324000.0,306131000.0,-75477000.0,-119324000.0,306131000.0,111330000.0,265895000.0,265895000.0,-113945000.0,2027000.0,,-76898000.0,,-116302000.0,-606000.0,,114000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2009.0,Q3,2009-07-01,2009-09-30,,-3136000.0,-271000.0,37621000.0,,223000.0,,-15119000.0,-21583000.0,68045000.0,-15119000.0,-21583000.0,68045000.0,31343000.0,72655000.0,72655000.0,-42183000.0,406000.0,,-15377000.0,,-18447000.0,-148000.0,,
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-03 16:36:23+00:00,-3136000.0,-805000.0,111900000.0,,-13244000.0,,-60754000.0,-73649000.0,209293000.0,-60754000.0,-73649000.0,209293000.0,74890000.0,207212000.0,207212000.0,-95770000.0,1159000.0,,-61456000.0,,-70541000.0,-457000.0,,28000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-04 14:33:27+00:00,,-534000.0,74279000.0,,-13467000.0,,-45635000.0,-52066000.0,141248000.0,-45635000.0,-52066000.0,141248000.0,43547000.0,134557000.0,134557000.0,-53587000.0,753000.0,,-46079000.0,,-52094000.0,-309000.0,,28000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2010.0,Q4,2010-10-01,2010-12-31,,,1536000.0,39528000.0,,155605000.0,,-25521000.0,-89622000.0,138879000.0,-25521000.0,-89622000.0,138879000.0,23736000.0,54891000.0,54891000.0,-112681000.0,4172000.0,,-15432000.0,,-89782000.0,-161000.0,-14100000.0,160000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2010.0,FY,2010-01-01,2010-12-31,2013-02-28 14:19:09+00:00,,648000.0,156298000.0,,-37628000.0,,-92777000.0,-321314000.0,349920000.0,-92777000.0,-321314000.0,349920000.0,-64171000.0,205435000.0,205435000.0,25167000.0,8548000.0,,-61798000.0,,-322827000.0,-626000.0,-38901000.0,1513000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2010.0,Q3TTM,2009-10-01,2010-09-30,,,-1157000.0,156087000.0,,-175951000.0,,-81979000.0,-277367000.0,307879000.0,-81979000.0,-277367000.0,307879000.0,-51467000.0,209227000.0,209227000.0,119673000.0,5244000.0,,-61808000.0,,-278806000.0,-614000.0,-24801000.0,1439000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2010.0,Q3,2010-07-01,2010-09-30,,,-309000.0,39042000.0,,-128049000.0,,-36423000.0,-74725000.0,102457000.0,-36423000.0,-74725000.0,102457000.0,-8691000.0,93320000.0,93320000.0,98453000.0,880000.0,,-15455000.0,,-75985000.0,-158000.0,-21690000.0,1260000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-03 15:48:02+00:00,,-888000.0,116770000.0,,-193233000.0,,-67256000.0,-231692000.0,211041000.0,-67256000.0,-231692000.0,211041000.0,-87907000.0,150544000.0,150544000.0,137848000.0,4376000.0,,-46366000.0,,-233045000.0,-465000.0,-24801000.0,1353000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2010.0,Q2TTM,2009-07-01,2010-06-30,,-3136000.0,-1119000.0,154666000.0,,-47679000.0,,-60675000.0,-224225000.0,273467000.0,-60675000.0,-224225000.0,273467000.0,-11433000.0,188562000.0,188562000.0,-20963000.0,4770000.0,,-61730000.0,,-221268000.0,-604000.0,-3111000.0,179000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2010.0,Q2,2010-04-01,2010-06-30,,,-308000.0,39087000.0,,-27313000.0,,-17465000.0,-92705000.0,94080000.0,-17465000.0,-92705000.0,94080000.0,-16090000.0,38030000.0,38030000.0,44584000.0,1260000.0,,-15460000.0,,-92743000.0,-154000.0,-3111000.0,38000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-04 15:36:21+00:00,,-579000.0,77728000.0,,-65184000.0,,-30833000.0,-156967000.0,108584000.0,-30833000.0,-156967000.0,108584000.0,-79216000.0,57224000.0,57224000.0,39395000.0,3496000.0,,-30911000.0,,-157060000.0,-307000.0,-3111000.0,93000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2010.0,Q1,2010-01-01,2010-03-31,2011-05-10 16:04:52+00:00,,-271000.0,38641000.0,,-37871000.0,,-13368000.0,-64262000.0,14504000.0,-13368000.0,-64262000.0,14504000.0,-63126000.0,19194000.0,19194000.0,-5189000.0,2236000.0,,-15451000.0,,-64317000.0,-153000.0,,55000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2011.0,Q4,2011-10-01,2011-12-31,,-21697000.0,-361000.0,41806000.0,,20583000.0,150000000.0,96517000.0,-89018000.0,108697000.0,96517000.0,-89018000.0,108697000.0,116196000.0,39465000.0,39465000.0,7204000.0,291000.0,,-19959000.0,,-67337000.0,-2213000.0,-31602000.0,16000.0
