company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2008.0,FY,2008-01-01,2008-12-31,2011-02-22 16:30:27+00:00,1.32,1.32,1.2,1.31,74534000.0,135609000.0,135609000.0,135609000.0,,1869135000.0,2360493000.0,,15259000.0,,234287000.0,1869135000.0,491358000.0,31669000.0,,249546000.0,241812000.0,-31669000.0,210143000.0,2360493000.0,102700000.0,102753000.0,103593000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2009.0,FY,2009-01-01,2009-12-31,2012-02-21 15:25:52+00:00,2.62,2.62,0.6,2.6,51076000.0,265895000.0,265895000.0,265895000.0,,1721012000.0,2147589000.0,,-153902000.0,,228025000.0,1721012000.0,426577000.0,35483000.0,,74123000.0,352454000.0,-35483000.0,316971000.0,2147589000.0,101500000.0,101577000.0,102358000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2009.0,Q3,2009-07-01,2009-09-30,2010-11-03 16:36:23+00:00,0.71,0.71,0.15,0.71,14715000.0,72655000.0,72655000.0,72655000.0,,443041000.0,553573000.0,,-43245000.0,,57446000.0,443041000.0,110532000.0,8961000.0,,14201000.0,96331000.0,-8961000.0,87370000.0,553573000.0,102300000.0,101713000.0,102536000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2009.0,Q2,2009-04-01,2009-06-30,2010-08-04 14:33:27+00:00,1.07,1.07,0.15,1.07,18006000.0,108881000.0,108881000.0,108881000.0,,430882000.0,549381000.0,,4265000.0,-79695000.0,58212000.0,430882000.0,118499000.0,8830000.0,,-17218000.0,135717000.0,-8830000.0,126887000.0,549381000.0,101800000.0,101469000.0,102164000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2010.0,Q4,2010-10-01,2010-12-31,,0.54,0.54,0.15,0.53,33912000.0,54891000.0,54891000.0,54891000.0,,479367000.0,626651000.0,,-9975000.0,,60897000.0,479367000.0,147284000.0,7559000.0,,50922000.0,96362000.0,-7559000.0,88803000.0,626651000.0,101700000.0,101678000.0,102608000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2010.0,FY,2010-01-01,2010-12-31,2013-02-28 14:19:09+00:00,2.02,2.02,0.6,2.0,-52331000.0,205435000.0,205435000.0,205435000.0,,1903406000.0,2435606000.0,,106229000.0,,240589000.0,1903406000.0,532200000.0,32278000.0,,346818000.0,185382000.0,-32278000.0,153104000.0,2435606000.0,101700000.0,101678000.0,102608000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.48,1.48,0.45,1.47,-86243000.0,150544000.0,150544000.0,150544000.0,,1424039000.0,1808955000.0,,116204000.0,,179692000.0,1424039000.0,384916000.0,24719000.0,,295896000.0,89020000.0,-24719000.0,64301000.0,1808955000.0,101400000.0,101776000.0,102687000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2010.0,Q3,2010-07-01,2010-09-30,2011-11-03 15:48:02+00:00,0.92,0.92,0.15,0.91,-113565000.0,93320000.0,93320000.0,93320000.0,,476312000.0,642764000.0,,116048000.0,,62746000.0,476312000.0,166452000.0,7903000.0,,178794000.0,-12342000.0,-7903000.0,-20245000.0,642764000.0,101400000.0,101776000.0,102687000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2010.0,Q2YTD,2010-01-01,2010-06-30,,0.56,0.56,0.3,0.56,27322000.0,57224000.0,57224000.0,57224000.0,,947727000.0,1166191000.0,,156000.0,,116946000.0,947727000.0,218464000.0,16816000.0,,117102000.0,101362000.0,-16816000.0,84546000.0,1166191000.0,102800000.0,102035000.0,102886000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2010.0,Q2,2010-04-01,2010-06-30,2011-08-04 15:36:21+00:00,0.37,0.37,0.15,0.37,21623000.0,38030000.0,38030000.0,38030000.0,,483794000.0,615459000.0,,3880000.0,,60039000.0,483794000.0,131665000.0,8093000.0,,63919000.0,67746000.0,-8093000.0,59653000.0,615459000.0,102800000.0,102035000.0,102886000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2010.0,Q1,2010-01-01,2010-03-31,2011-05-10 16:04:52+00:00,0.19,0.19,0.15,0.19,5699000.0,19194000.0,19194000.0,19194000.0,,463933000.0,550732000.0,,-3724000.0,,56907000.0,463933000.0,86799000.0,8723000.0,,53183000.0,33616000.0,-8723000.0,24893000.0,550732000.0,101000000.0,101928000.0,102876000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2011.0,Q4,2011-10-01,2011-12-31,,0.41,0.41,0.2,0.39,19048000.0,39465000.0,39465000.0,39465000.0,,520072000.0,654306000.0,,1263000.0,,65164000.0,520072000.0,134234000.0,-19951000.0,-29245000.0,66427000.0,67807000.0,-9294000.0,58513000.0,654306000.0,99400000.0,99281000.0,100376000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2011.0,FY,2011-01-01,2011-12-31,2014-02-28 15:15:12+00:00,1.59,1.59,0.8,1.57,85477000.0,158027000.0,158027000.0,158027000.0,,2078088000.0,2620111000.0,,10723000.0,,258551000.0,2078088000.0,542023000.0,,-29245000.0,269274000.0,272749000.0,-29245000.0,243504000.0,2620111000.0,99400000.0,99281000.0,100376000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2011.0,Q3YTD,2011-01-01,2011-09-30,,1.18,1.18,0.6,1.18,66429000.0,118562000.0,118562000.0,118562000.0,,1558016000.0,1965805000.0,,9460000.0,,193387000.0,1558016000.0,407789000.0,19951000.0,,202847000.0,204942000.0,-19951000.0,184991000.0,1965805000.0,99500000.0,99020000.0,100030000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2011.0,Q3TTM,2010-10-01,2011-09-30,,1.72,1.72,0.75,1.71,100341000.0,173453000.0,173453000.0,173453000.0,,2037383000.0,2592456000.0,,-515000.0,,254284000.0,2037383000.0,555073000.0,27510000.0,,253769000.0,301304000.0,-27510000.0,273794000.0,2592456000.0,99500000.0,99020000.0,100030000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2011.0,Q3,2011-07-01,2011-09-30,2012-11-06 15:56:55+00:00,0.42,0.42,0.2,0.42,22676000.0,41777000.0,41777000.0,41777000.0,,533077000.0,670824000.0,,1229000.0,,65338000.0,533077000.0,137747000.0,6727000.0,,66567000.0,71180000.0,-6727000.0,64453000.0,670824000.0,99500000.0,99020000.0,100030000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2011.0,Q2YTD,2011-01-01,2011-06-30,,0.76,0.76,0.4,0.76,43753000.0,76785000.0,76785000.0,76785000.0,,1024939000.0,1294981000.0,,8231000.0,,128049000.0,1024939000.0,270042000.0,13224000.0,,136280000.0,133762000.0,-13224000.0,120538000.0,1294981000.0,100900000.0,100094000.0,101128000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2011.0,Q2TTM,2010-07-01,2011-06-30,,2.22,2.22,0.7,2.2,-35900000.0,224996000.0,224996000.0,224996000.0,,1980618000.0,2564396000.0,,114304000.0,,251692000.0,1980618000.0,583778000.0,28686000.0,,365996000.0,217782000.0,-28686000.0,189096000.0,2564396000.0,100900000.0,100094000.0,101128000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2011.0,Q2,2011-04-01,2011-06-30,2012-08-07 15:41:43+00:00,0.39,0.39,0.2,0.39,22170000.0,39368000.0,39368000.0,39368000.0,,528580000.0,665481000.0,,4498000.0,,64544000.0,528580000.0,136901000.0,6321000.0,,69042000.0,67859000.0,-6321000.0,61538000.0,665481000.0,100900000.0,100094000.0,101128000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2011.0,Q1TTM,2010-04-01,2011-03-31,,2.2,2.2,0.65,2.18,-36447000.0,223658000.0,223658000.0,223658000.0,,1935832000.0,2514374000.0,,113686000.0,,247187000.0,1935832000.0,578542000.0,30458000.0,,360873000.0,217669000.0,-30458000.0,187211000.0,2514374000.0,101100000.0,100741000.0,101909000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2011.0,Q1,2011-01-01,2011-03-31,2012-05-08 15:36:06+00:00,0.37,0.37,0.2,0.37,21583000.0,37417000.0,37417000.0,37417000.0,,496359000.0,629500000.0,,3733000.0,,63505000.0,496359000.0,133141000.0,6903000.0,,67238000.0,65903000.0,-6903000.0,59000000.0,629500000.0,101100000.0,100741000.0,101909000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2012.0,Q4,2012-10-01,2012-12-31,,0.6,0.6,0.25,0.59,25778000.0,57411000.0,57411000.0,57411000.0,,567581000.0,736602000.0,,3614000.0,,72847000.0,567581000.0,169021000.0,-22939000.0,-32310000.0,76461000.0,92560000.0,-9371000.0,83189000.0,736602000.0,96400000.0,96400000.0,96400000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2012.0,FY,2012-01-01,2012-12-31,2015-02-27 16:04:08+00:00,1.66,1.66,1.0,1.64,214500000.0,160200000.0,160200000.0,160200000.0,,2209200000.0,2843900000.0,,-83700000.0,,280800000.0,2209200000.0,634700000.0,,-62900000.0,197100000.0,437600000.0,-62900000.0,374700000.0,2843900000.0,96400000.0,96400000.0,96400000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2012.0,Q3YTD,2012-01-01,2012-09-30,,1.06,1.06,0.75,1.05,188722000.0,102789000.0,102789000.0,102789000.0,,1641619000.0,2107298000.0,,-87314000.0,,207953000.0,1641619000.0,465679000.0,22939000.0,-30590000.0,120639000.0,345040000.0,-53529000.0,291511000.0,2107298000.0,97100000.0,96360000.0,97349000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2012.0,Q3TTM,2011-10-01,2012-09-30,,1.47,1.47,0.95,1.44,207770000.0,142254000.0,142254000.0,142254000.0,,2161691000.0,2761604000.0,,-86051000.0,,273117000.0,2161691000.0,599913000.0,2988000.0,-59835000.0,187066000.0,412847000.0,-62823000.0,350024000.0,2761604000.0,97100000.0,96360000.0,97349000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2012.0,Q3,2012-07-01,2012-09-30,2013-11-08 12:10:53+00:00,0.41,0.41,0.25,0.41,21691000.0,39791000.0,39791000.0,39791000.0,,560921000.0,723473000.0,,1961000.0,,68519000.0,560921000.0,162552000.0,,-30590000.0,70480000.0,92072000.0,-30590000.0,61482000.0,723473000.0,97100000.0,96360000.0,97349000.0
Packaging Corp of America,PKG,549300XZP8MFZFY8TJ84,75677,2012.0,Q2YTD,2012-01-01,2012-06-30,,0.65,0.65,0.5,0.64,167031000.0,62998000.0,62998000.0,62998000.0,,1080698000.0,1383825000.0,,-89275000.0,,139434000.0,1080698000.0,303127000.0,22939000.0,,50159000.0,252968000.0,-22939000.0,230029000.0,1383825000.0,96100000.0,96266000.0,97411000.0
