company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
RS Legacy Corp,RSH,,96289,2008.0,FY,2008-01-01,2008-12-31,2011-02-22 16:06:08+00:00,-42000000.0,5000000.0,123200000.0,26500000.0,99100000.0,-53200000.0,39900000.0,375000000.0,154800000.0,-124300000.0,274600000.0,154800000.0,-124300000.0,274600000.0,305100000.0,189400000.0,189400000.0,34300000.0,0.0,3300000.0,,-31300000.0,-85600000.0,-117500000.0,-111300000.0,
RS Legacy Corp,RSH,,96289,2009.0,Q4,2009-10-01,2009-12-31,,,0.0,122400000.0,30300000.0,0.0,0.0,,-21200000.0,-51800000.0,-18900000.0,122200000.0,-51800000.0,-18900000.0,122200000.0,51500000.0,75700000.0,75700000.0,46500000.0,700000.0,200000.0,,-31300000.0,-18900000.0,,,-200000.0
RS Legacy Corp,RSH,,96289,2009.0,FY,2009-01-01,2009-12-31,2012-02-21 07:11:06+00:00,,13800000.0,122400000.0,30300000.0,92900000.0,-80300000.0,,2200000.0,-71600000.0,-80800000.0,245000000.0,-71600000.0,-80800000.0,245800000.0,93400000.0,205000000.0,205000000.0,13600000.0,700000.0,200000.0,,-31300000.0,-81000000.0,-43200000.0,0.0,
RS Legacy Corp,RSH,,96289,2009.0,Q3,2009-07-01,2009-09-30,,,3400000.0,,,22900000.0,-93000000.0,,7000000.0,-36200000.0,-18100000.0,-19800000.0,-36200000.0,-18100000.0,-19800000.0,-74100000.0,37400000.0,37400000.0,9500000.0,,,,,-18200000.0,-43200000.0,,100000.0
RS Legacy Corp,RSH,,96289,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-25 07:06:04+00:00,,10200000.0,,,70300000.0,-109600000.0,,23400000.0,-19800000.0,-61900000.0,123600000.0,-19800000.0,-61900000.0,123600000.0,41900000.0,129300000.0,129300000.0,23400000.0,0.0,,,,-62100000.0,-43200000.0,0.0,200000.0
RS Legacy Corp,RSH,,96289,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-29 06:01:42+00:00,,6800000.0,,,47400000.0,-16600000.0,,16400000.0,16400000.0,-43800000.0,143400000.0,16400000.0,-43800000.0,143400000.0,116000000.0,91900000.0,91900000.0,13900000.0,0.0,,,,-43900000.0,,,100000.0
RS Legacy Corp,RSH,,96289,2010.0,Q4,2010-10-01,2010-12-31,,,3900000.0,272700000.0,26600000.0,20400000.0,-87000000.0,,7500000.0,-115700000.0,-33400000.0,-1800000.0,-115700000.0,-33400000.0,-1800000.0,-150900000.0,57000000.0,57000000.0,3900000.0,1600000.0,100000.0,,-26500000.0,-33400000.0,500000.0,-98800000.0,-100000.0
RS Legacy Corp,RSH,,96289,2010.0,FY,2010-01-01,2010-12-31,2013-02-26 07:08:34+00:00,,15000000.0,272700000.0,26600000.0,84200000.0,-175300000.0,,7500000.0,-413800000.0,-80000000.0,155000000.0,-413800000.0,-80000000.0,155000000.0,-338800000.0,206100000.0,206100000.0,25000000.0,4000000.0,100000.0,,-26500000.0,-80100000.0,0.0,-398800000.0,
RS Legacy Corp,RSH,,96289,2010.0,Q3TTM,2009-10-01,2010-09-30,,,14700000.0,122400000.0,30300000.0,86400000.0,-59000000.0,,-21200000.0,-349900000.0,-65500000.0,278200000.0,-349900000.0,-65500000.0,279000000.0,-136400000.0,224800000.0,224800000.0,11300000.0,3100000.0,200000.0,,-31300000.0,-65600000.0,-500000.0,-300000000.0,-100000.0
RS Legacy Corp,RSH,,96289,2010.0,Q3,2010-07-01,2010-09-30,,,3800000.0,,,20400000.0,39700000.0,,-5200000.0,-304600000.0,-21000000.0,114800000.0,-304600000.0,-21000000.0,114800000.0,-210800000.0,46000000.0,46000000.0,4900000.0,1100000.0,,,,-21000000.0,-500000.0,-300000000.0,
RS Legacy Corp,RSH,,96289,2010.0,Q3YTD,2010-01-01,2010-09-30,2010-10-25 07:06:04+00:00,,11100000.0,,,63800000.0,-88300000.0,,,-298100000.0,-46600000.0,156800000.0,-298100000.0,-46600000.0,156800000.0,-187900000.0,149100000.0,149100000.0,21100000.0,2400000.0,,,,-46700000.0,-500000.0,-300000000.0,100000.0
RS Legacy Corp,RSH,,96289,2010.0,Q2TTM,2009-07-01,2010-06-30,,,0.0,122400000.0,30300000.0,0.0,0.0,,-9000000.0,-81500000.0,-62600000.0,144400000.0,-81500000.0,-62600000.0,144400000.0,300000.0,216200000.0,216200000.0,-71800000.0,2000000.0,200000.0,,-31300000.0,-62800000.0,-43200000.0,,
RS Legacy Corp,RSH,,96289,2010.0,Q2,2010-04-01,2010-06-30,,,3700000.0,,,21300000.0,-30800000.0,,5200000.0,16000000.0,-13300000.0,56600000.0,16000000.0,-13300000.0,56600000.0,59300000.0,53000000.0,53000000.0,9400000.0,200000.0,,,,-13400000.0,10600000.0,,100000.0
RS Legacy Corp,RSH,,96289,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-07-27 16:10:55+00:00,,7300000.0,,,43400000.0,-128000000.0,,5200000.0,6500000.0,-25600000.0,42000000.0,6500000.0,-25600000.0,42000000.0,22900000.0,103100000.0,103100000.0,16200000.0,1300000.0,,,,-25700000.0,0.0,0.0,100000.0
RS Legacy Corp,RSH,,96289,2010.0,Q1,2010-01-01,2010-03-31,2011-04-25 07:08:19+00:00,,3600000.0,,,22100000.0,-97200000.0,,,-9500000.0,-12300000.0,-14600000.0,-9500000.0,-12300000.0,-14600000.0,-36400000.0,50100000.0,50100000.0,6800000.0,1100000.0,,,,-12300000.0,-10600000.0,,
