company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,allowanceforloanandleaselosses,aoci,cashandequivalents,commonequity,fedfundspurchased,fedfundssold,goodwill,intangibleassets,interestbearingdeposits,interestbearingdepositsatotherbanks,loansandleases,loansheldforsale,longtermdebt,netloansandleases,netpremisesandequipment,noncontrollinginterests,noninterestbearingdeposits,otherassets,otherequity,otherlongtermliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities
Zions Bancorp,ZION,YYQWUR1Z2BCX32HQS333,109380,2009.0,FY,,2009-12-31,2011-03-01 15:44:04+00:00,1531332000.0,-436899000.0,1370189000.0,3318417000.0,786015000.0,78541000.0,1015161000.0,113416000.0,29516342000.0,652964000.0,40188980000.0,208567000.0,2032942000.0,38657648000.0,710534000.0,17599000.0,12324247000.0,3767230000.0,,631931000.0,1308356000.0,121273000.0,51123007000.0,4189874000.0,5692658000.0,5710257000.0,45412750000.0,51123007000.0,1502784000.0,4548757000.0
Zions Bancorp,ZION,YYQWUR1Z2BCX32HQS333,109380,2009.0,Q3,,2009-09-30,2010-11-09 16:15:02+00:00,1432715000.0,-469112000.0,992940000.0,3125344000.0,1008181000.0,44056000.0,1017385000.0,123551000.0,31554734000.0,2234337000.0,41255104000.0,206387000.0,2342823000.0,39822389000.0,698225000.0,21533000.0,11453247000.0,3605435000.0,-15218000.0,690499000.0,1502232000.0,554425000.0,53298150000.0,4143246000.0,5672708000.0,5694241000.0,47603909000.0,53298150000.0,1529462000.0,4553445000.0
Zions Bancorp,ZION,YYQWUR1Z2BCX32HQS333,109380,2009.0,Q2,,2009-06-30,2010-08-09 14:25:00+00:00,1248055000.0,-368164000.0,1229205000.0,2935724000.0,1169809000.0,390619000.0,1017385000.0,121675000.0,31502155000.0,1005060000.0,41307998000.0,251526000.0,1936480000.0,40059943000.0,703613000.0,24021000.0,11142017000.0,3011007000.0,-14138000.0,648652000.0,1685522000.0,614146000.0,52767954000.0,4238944000.0,5730674000.0,5754695000.0,47013259000.0,52767954000.0,1491730000.0,4977921000.0
Zions Bancorp,ZION,YYQWUR1Z2BCX32HQS333,109380,2010.0,FY,,2010-12-31,2012-02-29 16:41:17+00:00,1440341000.0,-461296000.0,924126000.0,4163619000.0,722258000.0,130305000.0,1015161000.0,87898000.0,27281071000.0,4576008000.0,36747431000.0,206286000.0,1942622000.0,35307090000.0,720985000.0,1065000.0,13653929000.0,2971976000.0,,621398000.0,889284000.0,166394000.0,51034886000.0,4591607000.0,6648279000.0,6647214000.0,44387672000.0,51034886000.0,2056672000.0,5095051000.0
Zions Bancorp,ZION,YYQWUR1Z2BCX32HQS333,109380,2010.0,Q3,,2010-09-30,2011-11-09 14:25:03+00:00,1529955000.0,-452553000.0,1060646000.0,4070963000.0,738551000.0,116458000.0,1015161000.0,94128000.0,27695725000.0,4468778000.0,37549359000.0,217409000.0,1939395000.0,36019404000.0,719592000.0,-841000.0,13264415000.0,3155952000.0,,678592000.0,1001559000.0,236507000.0,51047776000.0,4619969000.0,6495432000.0,6494591000.0,44553185000.0,51047776000.0,1875463000.0,4180248000.0
Zions Bancorp,ZION,YYQWUR1Z2BCX32HQS333,109380,2010.0,Q2,,2010-06-30,2011-08-09 17:03:54+00:00,1563753000.0,-433020000.0,1068755000.0,3964140000.0,892025000.0,103674000.0,1015161000.0,100425000.0,27942420000.0,4861871000.0,38002938000.0,189376000.0,1934410000.0,36439185000.0,705372000.0,740000.0,14071456000.0,3308715000.0,,667293000.0,1083845000.0,218589000.0,52147295000.0,4614965000.0,6421842000.0,6421102000.0,45726193000.0,52147295000.0,1806877000.0,4354761000.0
Zions Bancorp,ZION,YYQWUR1Z2BCX32HQS333,109380,2010.0,Q1,,2010-03-31,2011-05-10 16:02:56+00:00,1581577000.0,-428177000.0,1045391000.0,3517621000.0,953791000.0,117548000.0,1015161000.0,106839000.0,29296807000.0,3410211000.0,38974035000.0,171892000.0,2016461000.0,37392458000.0,707387000.0,14706000.0,12799002000.0,3355396000.0,,611573000.0,1220439000.0,178435000.0,51712981000.0,4309883000.0,5842206000.0,5856912000.0,45856069000.0,51712981000.0,1532323000.0,4390698000.0
Zions Bancorp,ZION,YYQWUR1Z2BCX32HQS333,109380,2011.0,FY,,2011-12-31,2012-11-08 16:54:24+00:00,1049958000.0,-592084000.0,1224350000.0,4163242000.0,608098000.0,102159000.0,1015129000.0,67830000.0,26764752000.0,7020895000.0,37144652000.0,201590000.0,1954462000.0,36094694000.0,719276000.0,-2080000.0,16110857000.0,2624314000.0,,657439000.0,1036590000.0,70273000.0,53149109000.0,4607748000.0,6985308000.0,6983228000.0,46165881000.0,53149109000.0,2377560000.0,4078872000.0
Zions Bancorp,ZION,YYQWUR1Z2BCX32HQS333,109380,2011.0,Q3,,2011-09-30,2011-11-09 14:25:03+00:00,1148903000.0,-588834000.0,1102768000.0,4160697000.0,630901000.0,165106000.0,1015129000.0,72571000.0,26451419000.0,5118066000.0,36724508000.0,159300000.0,1898439000.0,35575605000.0,726503000.0,-1849000.0,14911729000.0,2784319000.0,,594625000.0,994380000.0,125290000.0,51531320000.0,4566243000.0,6920766000.0,6918917000.0,44612403000.0,51531320000.0,2354523000.0,4811953000.0
Zions Bancorp,ZION,YYQWUR1Z2BCX32HQS333,109380,2011.0,Q2,,2011-06-30,2011-08-09 17:03:54+00:00,1237733000.0,-504491000.0,1035028000.0,4158369000.0,630058000.0,123132000.0,1015161000.0,77346000.0,26715847000.0,4924992000.0,36823577000.0,158943000.0,1879669000.0,35585844000.0,722600000.0,1502000.0,14475383000.0,2752551000.0,,599421000.0,931345000.0,147945000.0,51361414000.0,4585223000.0,6914593000.0,6913091000.0,44448323000.0,51361414000.0,2329370000.0,4965817000.0
