company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,otherrevenue,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Wynn Resorts Ltd,WYNN,,1174922,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 20:55:43+00:00,1.94,1.94,,263213000.0,1.92,,-61561000.0,210479000.0,210479000.0,210479000.0,,1938308000.0,3217367000.0,49405000.0,-35742000.0,-230043000.0,104959000.0,319303000.0,1987713000.0,999611000.0,150346000.0,22870000.0,687475000.0,312136000.0,-163218000.0,148918000.0,2987324000.0,108500000.0,108408000.0,109441000.0
Wynn Resorts Ltd,WYNN,,1174922,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 16:47:29+00:00,0.17,0.17,4.0,410547000.0,0.17,,2999000.0,39107000.0,39107000.0,20654000.0,18453000.0,1991049000.0,3309142000.0,13707000.0,-2067000.0,-263531000.0,30275000.0,365070000.0,2004756000.0,1040855000.0,192651000.0,1861000.0,805892000.0,234963000.0,-192857000.0,42106000.0,3045611000.0,121500000.0,119840000.0,120185000.0
Wynn Resorts Ltd,WYNN,,1174922,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 21:10:22+00:00,0.28,0.28,,101907000.0,0.28,,-9829000.0,34210000.0,34210000.0,34210000.0,,496473000.0,836905000.0,5150000.0,-5347000.0,-63834000.0,1055000.0,88987000.0,501623000.0,271448000.0,50140000.0,369000.0,191949000.0,79499000.0,-55118000.0,24381000.0,773071000.0,122200000.0,122200000.0,122610000.0
Wynn Resorts Ltd,WYNN,,1174922,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 19:08:59+00:00,0.21,0.21,0.0,102731000.0,0.21,-5938000.0,19547000.0,25479000.0,25479000.0,25479000.0,0.0,457760000.0,784552000.0,3935000.0,3548000.0,-61296000.0,40000.0,81930000.0,461695000.0,261561000.0,41811000.0,491000.0,178763000.0,82798000.0,-37772000.0,45026000.0,723256000.0,121300000.0,122161000.0,122386000.0
Wynn Resorts Ltd,WYNN,,1174922,2010.0,Q4,2010-10-01,2010-12-31,,0.92,0.92,8.0,100299000.0,0.92,,4438000.0,171874000.0,171874000.0,114242000.0,57632000.0,784180000.0,1322262000.0,13575000.0,8572000.0,-85074000.0,3270000.0,105555000.0,797755000.0,439433000.0,63438000.0,869000.0,209124000.0,230309000.0,-53997000.0,176312000.0,1237188000.0,123200000.0,122787000.0,123939000.0
Wynn Resorts Ltd,WYNN,,1174922,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 16:09:00+00:00,1.3,1.3,8.5,405558000.0,1.29,,20447000.0,316596000.0,316596000.0,160127000.0,156469000.0,2699615000.0,4487835000.0,28304000.0,-655000.0,-303137000.0,34715000.0,391254000.0,2727919000.0,1456779000.0,290853000.0,3299000.0,831527000.0,625252000.0,-288209000.0,337043000.0,4184698000.0,123200000.0,122787000.0,123939000.0
Wynn Resorts Ltd,WYNN,,1174922,2010.0,Q3YTD,2010-01-01,2010-09-30,,0.38,0.38,0.5,305259000.0,0.37,,16009000.0,144722000.0,144722000.0,45885000.0,98837000.0,1915435000.0,3165573000.0,14729000.0,-9227000.0,-218063000.0,31445000.0,285699000.0,1930164000.0,1017346000.0,227415000.0,2430000.0,622403000.0,394943000.0,-234212000.0,160731000.0,2947510000.0,124100000.0,122771000.0,122771000.0
Wynn Resorts Ltd,WYNN,,1174922,2010.0,Q3,2010-07-01,2010-09-30,2011-11-09 14:29:38+00:00,-0.27,-0.27,0.25,99341000.0,-0.27,,9019000.0,-2054000.0,-2054000.0,-33508000.0,31454000.0,653158000.0,1082318000.0,859000.0,-1493000.0,-76369000.0,17612000.0,103030000.0,654017000.0,351932000.0,124556000.0,1065000.0,219983000.0,131949000.0,-124984000.0,6965000.0,1005949000.0,124100000.0,122771000.0,122771000.0
Wynn Resorts Ltd,WYNN,,1174922,2010.0,Q2YTD,2010-01-01,2010-06-30,,0.65,0.65,0.25,205918000.0,0.64,,6990000.0,146776000.0,146776000.0,79393000.0,67383000.0,1262277000.0,2083255000.0,13870000.0,-7734000.0,-141694000.0,13833000.0,182669000.0,1276147000.0,665414000.0,102859000.0,1365000.0,402420000.0,262994000.0,-109228000.0,153766000.0,1941561000.0,121900000.0,122521000.0,123816000.0
Wynn Resorts Ltd,WYNN,,1174922,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:27:09+00:00,0.43,0.43,0.25,101353000.0,0.42,,1921000.0,88917000.0,88917000.0,52405000.0,36512000.0,670983000.0,1104139000.0,6852000.0,-4396000.0,-71496000.0,9641000.0,95668000.0,677835000.0,354808000.0,53598000.0,686000.0,206662000.0,148146000.0,-57308000.0,90838000.0,1032643000.0,121900000.0,122521000.0,123816000.0
Wynn Resorts Ltd,WYNN,,1174922,2010.0,Q1,2010-01-01,2010-03-31,2011-05-09 17:04:47+00:00,0.22,0.22,,104565000.0,0.22,,5069000.0,57859000.0,57859000.0,26988000.0,30871000.0,591294000.0,979116000.0,7018000.0,-3338000.0,-70198000.0,4192000.0,87001000.0,598312000.0,310606000.0,49261000.0,679000.0,195758000.0,114848000.0,-51920000.0,62928000.0,908918000.0,122700000.0,122411000.0,122982000.0
Wynn Resorts Ltd,WYNN,,1174922,2011.0,Q4,2011-10-01,2011-12-31,,1.54,1.54,-1.0,94118000.0,1.51,,-31153000.0,258262000.0,258262000.0,190473000.0,67789000.0,851306000.0,1434615000.0,15509000.0,5020000.0,-90752000.0,6579000.0,101545000.0,866815000.0,477048000.0,55962000.0,3245000.0,202242000.0,274806000.0,-47697000.0,227109000.0,1343863000.0,124200000.0,124039000.0,125667000.0
Wynn Resorts Ltd,WYNN,,1174922,2011.0,FY,2011-01-01,2011-12-31,2014-02-28 16:54:40+00:00,4.94,4.94,,398039000.0,4.88,,-19546000.0,825113000.0,825113000.0,613371000.0,211742000.0,3310033000.0,5625102000.0,33778000.0,18119000.0,-355310000.0,130649000.0,389053000.0,3343811000.0,1925981000.0,229918000.0,9126000.0,917741000.0,1008240000.0,-202673000.0,805567000.0,5269792000.0,124200000.0,124039000.0,125667000.0
Wynn Resorts Ltd,WYNN,,1174922,2011.0,Q3YTD,2011-01-01,2011-09-30,,3.4,3.4,1.0,303921000.0,3.37,,11607000.0,566851000.0,566851000.0,422898000.0,143953000.0,2458727000.0,4190487000.0,18269000.0,13099000.0,-264558000.0,124070000.0,287508000.0,2476996000.0,1448933000.0,173956000.0,5881000.0,715499000.0,733434000.0,-154976000.0,578458000.0,3925929000.0,124600000.0,124176000.0,125860000.0
Wynn Resorts Ltd,WYNN,,1174922,2011.0,Q3TTM,2010-10-01,2011-09-30,,4.32,4.32,9.0,404220000.0,4.29,,16045000.0,738725000.0,738725000.0,537140000.0,201585000.0,3242907000.0,5512749000.0,31844000.0,21671000.0,-349632000.0,127340000.0,393063000.0,3274751000.0,1888366000.0,237394000.0,6750000.0,924623000.0,963743000.0,-208973000.0,754770000.0,5163117000.0,124600000.0,124176000.0,125860000.0
Wynn Resorts Ltd,WYNN,,1174922,2011.0,Q3,2011-07-01,2011-09-30,2012-11-09 16:24:21+00:00,1.02,1.02,0.5,100522000.0,1.01,,4270000.0,185185000.0,185185000.0,127063000.0,58122000.0,836016000.0,1388739000.0,4324000.0,4033000.0,-90435000.0,9662000.0,107935000.0,840340000.0,457964000.0,57462000.0,3039000.0,218119000.0,239845000.0,-50390000.0,189455000.0,1298304000.0,124600000.0,124176000.0,125860000.0
Wynn Resorts Ltd,WYNN,,1174922,2011.0,Q2YTD,2011-01-01,2011-06-30,,2.38,2.38,0.5,203399000.0,2.36,,7337000.0,381666000.0,381666000.0,295835000.0,85831000.0,1622711000.0,2801748000.0,13945000.0,9066000.0,-174123000.0,114408000.0,179573000.0,1636656000.0,990969000.0,116494000.0,2842000.0,497380000.0,493589000.0,-104586000.0,389003000.0,2627625000.0,124500000.0,123970000.0,125729000.0
Wynn Resorts Ltd,WYNN,,1174922,2011.0,Q2TTM,2010-07-01,2011-06-30,,3.03,3.03,8.75,403039000.0,3.01,,20794000.0,551486000.0,551486000.0,376569000.0,174917000.0,3060049000.0,5206328000.0,28379000.0,16145000.0,-335566000.0,135290000.0,388158000.0,3088428000.0,1782334000.0,304488000.0,4776000.0,926487000.0,855847000.0,-283567000.0,572280000.0,4870762000.0,124500000.0,123970000.0,125729000.0
Wynn Resorts Ltd,WYNN,,1174922,2011.0,Q2,2011-04-01,2011-06-30,2012-08-09 16:31:19+00:00,0.98,0.98,0.5,102052000.0,0.97,,5231000.0,155331000.0,155331000.0,122031000.0,33300000.0,845512000.0,1452244000.0,3784000.0,3919000.0,-84891000.0,111060000.0,91912000.0,849296000.0,518057000.0,58231000.0,1841000.0,305024000.0,213033000.0,-52471000.0,160562000.0,1367353000.0,124500000.0,123970000.0,125729000.0
