company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,investmentsecuritiesinterestincome,longtermdebtinterestexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,otherspecialcharges,preferreddividends,provisionforcreditlosses,salariesandemployeebenefitsexpense,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Charles Schwab Corp,SCHW,,316709,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 14:43:13+00:00,1.98,1.98,1.2,156000000.0,1.96,733000000.0,2270000000.0,623000000.0,230000000.0,2407000000.0,1120000000.0,1287000000.0,2407000000.0,1647000000.0,282000000.0,860000000.0,,692000000.0,2487000000.0,,,,1781000000.0,623000000.0,2270000000.0,3141000000.0,3347000000.0,1853000000.0,4994000000.0,1215700000.0,1215700000.0,1222000000.0
Charles Schwab Corp,SCHW,,316709,2008.0,FY,2008-01-01,2008-12-31,2010-02-25 14:43:13+00:00,1.06,1.06,0.22,152000000.0,1.05,798000000.0,1908000000.0,243000000.0,243000000.0,1212000000.0,1230000000.0,-18000000.0,1212000000.0,1665000000.0,299000000.0,1036000000.0,,761000000.0,2449000000.0,,,,1667000000.0,243000000.0,1908000000.0,3122000000.0,3485000000.0,2028000000.0,5150000000.0,1143400000.0,1143400000.0,1157000000.0
Charles Schwab Corp,SCHW,,316709,2008.0,Q3,2008-07-01,2008-09-30,2009-11-05 00:00:00+00:00,0.26,0.26,0.06,38000000.0,0.26,195000000.0,497000000.0,50000000.0,47000000.0,304000000.0,304000000.0,0.0,304000000.0,447000000.0,75000000.0,208000000.0,,202000000.0,596000000.0,,,,390000000.0,50000000.0,497000000.0,752000000.0,804000000.0,499000000.0,1251000000.0,1169200000.0,1169200000.0,1158000000.0
Charles Schwab Corp,SCHW,,316709,2008.0,Q2,2008-04-01,2008-06-30,2009-08-06 14:57:11+00:00,0.26,0.26,0.05,37000000.0,0.26,201000000.0,478000000.0,51000000.0,58000000.0,295000000.0,313000000.0,-18000000.0,295000000.0,427000000.0,72000000.0,230000000.0,,189000000.0,651000000.0,,,,438000000.0,51000000.0,478000000.0,794000000.0,881000000.0,514000000.0,1308000000.0,1134600000.0,1134600000.0,1154000000.0
Charles Schwab Corp,SCHW,,316709,2009.0,FY,2009-01-01,2009-12-31,2010-02-25 14:43:13+00:00,0.68,0.68,0.24,159000000.0,0.68,489000000.0,1428000000.0,221000000.0,191000000.0,787000000.0,787000000.0,0.0,787000000.0,1207000000.0,318000000.0,936000000.0,,705000000.0,2050000000.0,,,,1544000000.0,221000000.0,1428000000.0,2917000000.0,2986000000.0,1276000000.0,4193000000.0,1157400000.0,1157400000.0,1160000000.0
Charles Schwab Corp,SCHW,,316709,2009.0,Q4,2009-10-01,2009-12-31,,0.14,0.14,0.18,38000000.0,0.14,102000000.0,365000000.0,60000000.0,50000000.0,164000000.0,164000000.0,,164000000.0,305000000.0,73000000.0,202000000.0,,188000000.0,479000000.0,,,,371000000.0,60000000.0,365000000.0,720000000.0,681000000.0,266000000.0,986000000.0,1157400000.0,1157400000.0,1160000000.0
Charles Schwab Corp,SCHW,,316709,2009.0,Q3,2009-07-01,2009-09-30,2010-11-08 15:45:36+00:00,0.17,0.17,,38000000.0,0.17,120000000.0,356000000.0,62000000.0,34000000.0,200000000.0,200000000.0,,200000000.0,294000000.0,67000000.0,230000000.0,,181000000.0,487000000.0,0.0,,,371000000.0,62000000.0,356000000.0,691000000.0,717000000.0,320000000.0,1011000000.0,1176500000.0,1176500000.0,1163000000.0
Charles Schwab Corp,SCHW,,316709,2009.0,Q3YTD,2009-01-01,2009-09-30,,0.54,0.54,0.06,121000000.0,0.54,387000000.0,1063000000.0,161000000.0,141000000.0,623000000.0,623000000.0,,623000000.0,902000000.0,245000000.0,734000000.0,,517000000.0,1571000000.0,,,,1173000000.0,161000000.0,1063000000.0,2197000000.0,2305000000.0,1010000000.0,3207000000.0,1176500000.0,1176500000.0,1163000000.0
Charles Schwab Corp,SCHW,,316709,2009.0,Q2,2009-04-01,2009-06-30,2009-08-06 14:57:11+00:00,0.18,0.18,0.06,41000000.0,0.18,130000000.0,361000000.0,59000000.0,49000000.0,205000000.0,205000000.0,0.0,205000000.0,302000000.0,97000000.0,259000000.0,,186000000.0,524000000.0,,,,377000000.0,59000000.0,361000000.0,750000000.0,783000000.0,335000000.0,1085000000.0,1138900000.0,1138900000.0,1160000000.0
Charles Schwab Corp,SCHW,,316709,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.37,0.37,0.06,83000000.0,0.37,267000000.0,707000000.0,99000000.0,107000000.0,423000000.0,423000000.0,,423000000.0,608000000.0,178000000.0,504000000.0,,336000000.0,1084000000.0,,,,802000000.0,99000000.0,707000000.0,1506000000.0,1588000000.0,690000000.0,2196000000.0,1138900000.0,1138900000.0,1160000000.0
Charles Schwab Corp,SCHW,,316709,2009.0,Q1,2009-01-01,2009-03-31,2010-05-07 12:46:02+00:00,0.19,0.19,,42000000.0,0.19,137000000.0,346000000.0,40000000.0,58000000.0,218000000.0,218000000.0,,218000000.0,306000000.0,81000000.0,245000000.0,,150000000.0,560000000.0,,,,425000000.0,40000000.0,346000000.0,756000000.0,805000000.0,355000000.0,1111000000.0,1147400000.0,1147400000.0,1156000000.0
