company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Leggett & Platt Inc,LEG,DKOVQUCDW4ZLYCUD4T55,58492,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 16:28:56+00:00,24500000.0,0.62,0.62,1.0,0.62,,65100000.0,109000000.0,127500000.0,-18500000.0,104400000.0,4600000.0,3384900000.0,4076100000.0,,11200000.0,,423200000.0,3384900000.0,691200000.0,48400000.0,8700000.0,458900000.0,232300000.0,-39700000.0,192600000.0,4076100000.0,168400000.0,168400000.0,168400000.0
Leggett & Platt Inc,LEG,DKOVQUCDW4ZLYCUD4T55,58492,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 17:14:12+00:00,20700000.0,0.7,0.7,1.02,0.7,,77300000.0,115000000.0,121100000.0,-6100000.0,111800000.0,3200000.0,2425400000.0,3055100000.0,,15700000.0,,363000000.0,2425400000.0,629700000.0,37400000.0,5500000.0,399400000.0,230300000.0,-31900000.0,198400000.0,3055100000.0,159331228.0,159331228.0,159331228.0
Leggett & Platt Inc,LEG,DKOVQUCDW4ZLYCUD4T55,58492,2009.0,Q3,2009-07-01,2009-09-30,2010-11-03 12:30:54+00:00,5500000.0,0.34,0.34,0.26,0.34,,30800000.0,55700000.0,56200000.0,-500000.0,54300000.0,1400000.0,622600000.0,809900000.0,,2000000.0,,84800000.0,622600000.0,187300000.0,9300000.0,1300000.0,92300000.0,95000000.0,-8000000.0,87000000.0,809900000.0,159700000.0,159700000.0,160500000.0
Leggett & Platt Inc,LEG,DKOVQUCDW4ZLYCUD4T55,58492,2009.0,Q2,2009-04-01,2009-06-30,2010-08-05 11:07:51+00:00,5500000.0,0.12,0.12,0.25,0.12,,13600000.0,19200000.0,19100000.0,100000.0,19000000.0,200000.0,610200000.0,757400000.0,,11900000.0,,89000000.0,610200000.0,147200000.0,9100000.0,1000000.0,106400000.0,40800000.0,-8100000.0,32700000.0,757400000.0,158300000.0,161500000.0,161800000.0
Leggett & Platt Inc,LEG,DKOVQUCDW4ZLYCUD4T55,58492,2010.0,Q4,2010-10-01,2010-12-31,,5000000.0,0.21,0.21,0.27,0.21,,8800000.0,32500000.0,32600000.0,-100000.0,31400000.0,1100000.0,660400000.0,801900000.0,,800000.0,,85600000.0,660400000.0,141500000.0,9900000.0,1200000.0,91400000.0,50100000.0,-8700000.0,41400000.0,801900000.0,151225065.0,151225065.0,151225065.0
Leggett & Platt Inc,LEG,DKOVQUCDW4ZLYCUD4T55,58492,2010.0,FY,2010-01-01,2010-12-31,2013-02-28 16:06:35+00:00,19800000.0,1.17,1.17,1.06,1.15,,71900000.0,182800000.0,183600000.0,-800000.0,176600000.0,6200000.0,2703700000.0,3359100000.0,,-6700000.0,,354300000.0,2703700000.0,655400000.0,37700000.0,5200000.0,367400000.0,288000000.0,-32500000.0,255500000.0,3359100000.0,151225065.0,151225065.0,151225065.0
Leggett & Platt Inc,LEG,DKOVQUCDW4ZLYCUD4T55,58492,2010.0,Q3YTD,2010-01-01,2010-09-30,,14800000.0,0.96,0.96,0.79,0.94,,63100000.0,150300000.0,151000000.0,-700000.0,145200000.0,5100000.0,2043300000.0,2557200000.0,,-7500000.0,,268700000.0,2043300000.0,513900000.0,27800000.0,4000000.0,276000000.0,237900000.0,-23800000.0,214100000.0,2557200000.0,152900000.0,150700000.0,152900000.0
Leggett & Platt Inc,LEG,DKOVQUCDW4ZLYCUD4T55,58492,2010.0,Q3,2010-07-01,2010-09-30,2011-11-03 16:15:51+00:00,4900000.0,0.31,0.31,0.27,0.31,,18100000.0,49300000.0,49900000.0,-600000.0,47400000.0,1900000.0,697800000.0,866500000.0,,600000.0,,87600000.0,697800000.0,168700000.0,9300000.0,1700000.0,93100000.0,75600000.0,-7600000.0,68000000.0,866500000.0,152900000.0,150700000.0,152900000.0
Leggett & Platt Inc,LEG,DKOVQUCDW4ZLYCUD4T55,58492,2010.0,Q2YTD,2010-01-01,2010-06-30,,9900000.0,0.65,0.65,0.52,0.63,,45000000.0,101000000.0,101100000.0,-100000.0,97800000.0,3200000.0,1345500000.0,1690700000.0,,-8100000.0,,181100000.0,1345500000.0,345200000.0,18500000.0,2300000.0,182900000.0,162300000.0,-16200000.0,146100000.0,1690700000.0,150600000.0,151500000.0,153800000.0
Leggett & Platt Inc,LEG,DKOVQUCDW4ZLYCUD4T55,58492,2010.0,Q2,2010-04-01,2010-06-30,2011-08-04 15:52:12+00:00,4900000.0,0.35,0.35,0.26,0.34,,23500000.0,54100000.0,53600000.0,500000.0,52700000.0,1400000.0,694600000.0,874300000.0,,900000.0,,88800000.0,694600000.0,179700000.0,9200000.0,1200000.0,94600000.0,85100000.0,-8000000.0,77100000.0,874300000.0,150600000.0,151500000.0,153800000.0
