company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2013.0,FY,2012-11-01,2013-10-31,2015-12-17 17:26:45+00:00,1228000000.0,1.14,1.14,,1.12,,820000000.0,2051000000.0,2051000000.0,,2051000000.0,41630000000.0,57371000000.0,-81000000.0,,,1956000000.0,1004000000.0,8601000000.0,41630000000.0,15741000000.0,,,12789000000.0,2952000000.0,-81000000.0,2871000000.0,57371000000.0,1799100000.0,1804000000.0,1834000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2014.0,FY,2013-11-01,2014-10-31,2016-12-15 17:26:55+00:00,906000000.0,0.91,0.91,0.0,0.9,0.0,596000000.0,1648000000.0,1648000000.0,,1648000000.0,39486000000.0,55123000000.0,-91000000.0,0.0,,2197000000.0,1482000000.0,8717000000.0,39486000000.0,15637000000.0,0.0,0.0,13302000000.0,2335000000.0,-91000000.0,2244000000.0,55123000000.0,1811000000.0,1804000000.0,1834000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2015.0,FY,2014-11-01,2015-10-31,2017-12-15 16:40:03+00:00,229000000.0,1.36,1.36,0.0,1.34,,-705000000.0,2461000000.0,2640000000.0,-179000000.0,2461000000.0,21013000000.0,31077000000.0,-9000000.0,790000000.0,0.0,1676000000.0,281000000.0,5142000000.0,21013000000.0,10064000000.0,0.0,-2000000.0,8118000000.0,1946000000.0,-11000000.0,1935000000.0,31077000000.0,1809600000.0,1804000000.0,1834000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2015.0,Q4,2015-08-01,2015-10-31,,-403000000.0,0.76,0.76,,0.75,-136000000.0,-989000000.0,1385000000.0,1564000000.0,-179000000.0,1385000000.0,-6692000000.0,-7582000000.0,35000000.0,154000000.0,,-10000000.0,-192000000.0,-845000000.0,-6692000000.0,-890000000.0,,-2000000.0,-1432000000.0,542000000.0,33000000.0,575000000.0,-7582000000.0,1809600000.0,1804000000.0,1834000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2015.0,Q3YTD,2014-11-01,2015-07-31,,632000000.0,0.6,0.6,,0.59,136000000.0,284000000.0,1076000000.0,1076000000.0,,1076000000.0,27705000000.0,38659000000.0,-44000000.0,636000000.0,,1686000000.0,473000000.0,5987000000.0,27705000000.0,10954000000.0,,,9550000000.0,1404000000.0,-44000000.0,1360000000.0,38659000000.0,1723100000.0,1804000000.0,1834000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2015.0,Q3,2015-05-01,2015-07-31,2016-09-08 17:28:21+00:00,225000000.0,0.13,0.13,0.0,0.13,136000000.0,24000000.0,224000000.0,224000000.0,,224000000.0,9307000000.0,13057000000.0,4000000.0,433000000.0,,602000000.0,70000000.0,2040000000.0,9307000000.0,3750000000.0,,0.0,3506000000.0,244000000.0,4000000.0,248000000.0,13057000000.0,1723100000.0,1804000000.0,1834000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2015.0,Q2YTD,2014-11-01,2015-04-30,,407000000.0,0.47,0.47,,0.46,,260000000.0,852000000.0,852000000.0,,852000000.0,18398000000.0,25602000000.0,-48000000.0,203000000.0,,1084000000.0,403000000.0,3947000000.0,18398000000.0,7204000000.0,,,6044000000.0,1160000000.0,-48000000.0,1112000000.0,25602000000.0,1794100000.0,1804000000.0,1834000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2015.0,Q2,2015-02-01,2015-04-30,2016-06-08 17:26:24+00:00,204000000.0,0.17,0.17,,0.16,,93000000.0,305000000.0,305000000.0,,305000000.0,8965000000.0,12549000000.0,-30000000.0,159000000.0,,552000000.0,267000000.0,1974000000.0,8965000000.0,3584000000.0,,,3156000000.0,428000000.0,-30000000.0,398000000.0,12549000000.0,1794100000.0,1804000000.0,1834000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2015.0,Q1,2014-11-01,2015-01-31,2016-03-10 17:20:44+00:00,203000000.0,0.3,0.3,,0.3,,167000000.0,547000000.0,547000000.0,,547000000.0,9433000000.0,13053000000.0,-18000000.0,44000000.0,,532000000.0,136000000.0,1973000000.0,9433000000.0,3620000000.0,,,2888000000.0,732000000.0,-18000000.0,714000000.0,13053000000.0,1823300000.0,1804000000.0,1834000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2016.0,FY,2015-11-01,2016-10-31,2018-12-12 17:19:51+00:00,272000000.0,1.84,1.84,0.22,1.82,0.0,623000000.0,3161000000.0,3237000000.0,-76000000.0,3161000000.0,20507000000.0,30280000000.0,-284000000.0,-2058000000.0,0.0,1714000000.0,562000000.0,5380000000.0,20507000000.0,9773000000.0,-317000000.0,-76000000.0,5870000000.0,3903000000.0,-43000000.0,3860000000.0,30280000000.0,1717900000.0,1715000000.0,1739000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2016.0,Q4,2016-08-01,2016-10-31,,-158000000.0,0.15,0.15,,0.17,,456000000.0,302000000.0,191000000.0,111000000.0,302000000.0,839000000.0,1042000000.0,-83000000.0,-135000000.0,,-43000000.0,-43000000.0,159000000.0,839000000.0,203000000.0,-311000000.0,-4000000.0,-220000000.0,423000000.0,224000000.0,647000000.0,1042000000.0,1717900000.0,1715000000.0,1739000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2016.0,Q3,2016-05-01,2016-07-31,2017-09-07 17:26:05+00:00,111000000.0,1.35,1.35,0.055,1.32,,107000000.0,2272000000.0,2457000000.0,-185000000.0,2272000000.0,5089000000.0,8005000000.0,-69000000.0,-2093000000.0,,551000000.0,127000000.0,1575000000.0,5089000000.0,2916000000.0,-60000000.0,-72000000.0,271000000.0,2645000000.0,-81000000.0,2564000000.0,8005000000.0,1683000000.0,1681000000.0,1715000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2016.0,Q3YTD,2015-11-01,2016-07-31,,430000000.0,1.69,1.69,0.22,1.65,,167000000.0,2859000000.0,3046000000.0,-187000000.0,2859000000.0,19668000000.0,29238000000.0,-201000000.0,-1923000000.0,,1757000000.0,605000000.0,5221000000.0,19668000000.0,9570000000.0,-6000000.0,-72000000.0,6090000000.0,3480000000.0,-267000000.0,3213000000.0,29238000000.0,1683000000.0,1681000000.0,1715000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2016.0,Q3TTM,2015-08-01,2016-07-31,,27000000.0,2.45,2.45,0.22,2.4,-136000000.0,-822000000.0,4244000000.0,4610000000.0,-366000000.0,4244000000.0,12976000000.0,21656000000.0,-166000000.0,-1769000000.0,,1747000000.0,413000000.0,4376000000.0,12976000000.0,8680000000.0,-6000000.0,-74000000.0,4658000000.0,4022000000.0,-234000000.0,3788000000.0,21656000000.0,1683000000.0,1681000000.0,1715000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2016.0,Q2,2016-02-01,2016-04-30,2017-06-08 17:22:01+00:00,101000000.0,0.19,0.19,0.055,0.18,,8000000.0,320000000.0,322000000.0,-2000000.0,320000000.0,5467000000.0,8509000000.0,-52000000.0,91000000.0,,621000000.0,130000000.0,1648000000.0,5467000000.0,3042000000.0,69000000.0,0.0,2591000000.0,451000000.0,-121000000.0,330000000.0,8509000000.0,1684200000.0,1725000000.0,1751000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2016.0,Q2YTD,2015-11-01,2016-04-30,,319000000.0,0.34,0.34,0.17,0.33,,60000000.0,587000000.0,589000000.0,-2000000.0,587000000.0,14579000000.0,21233000000.0,-132000000.0,170000000.0,,1206000000.0,478000000.0,3646000000.0,14579000000.0,6654000000.0,54000000.0,,5819000000.0,835000000.0,-186000000.0,649000000.0,21233000000.0,1684200000.0,1725000000.0,1751000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2016.0,Q2TTM,2015-05-01,2016-04-30,,141000000.0,1.23,1.23,0.17,1.21,,-905000000.0,2196000000.0,2377000000.0,-181000000.0,2196000000.0,17194000000.0,26708000000.0,-93000000.0,757000000.0,,1798000000.0,356000000.0,4841000000.0,17194000000.0,9514000000.0,54000000.0,-2000000.0,7893000000.0,1621000000.0,-149000000.0,1472000000.0,26708000000.0,1684200000.0,1725000000.0,1751000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2016.0,Q1,2015-11-01,2016-01-31,2017-03-09 17:21:42+00:00,218000000.0,0.15,0.15,0.11,0.15,,52000000.0,267000000.0,267000000.0,,267000000.0,9112000000.0,12724000000.0,-80000000.0,79000000.0,,585000000.0,348000000.0,1998000000.0,9112000000.0,3612000000.0,-15000000.0,0.0,3228000000.0,384000000.0,-65000000.0,319000000.0,12724000000.0,1780000000.0,1761000000.0,1778000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2016.0,Q1TTM,2015-02-01,2016-01-31,,244000000.0,1.21,1.21,0.11,1.19,,-820000000.0,2181000000.0,2360000000.0,-179000000.0,2181000000.0,20692000000.0,30748000000.0,-71000000.0,825000000.0,,1729000000.0,493000000.0,5167000000.0,20692000000.0,10056000000.0,-15000000.0,-2000000.0,8458000000.0,1598000000.0,-58000000.0,1540000000.0,30748000000.0,1780000000.0,1761000000.0,1778000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2017.0,FY,2016-11-01,2017-10-31,2019-12-12 17:49:10+00:00,321000000.0,0.21,0.21,0.26,0.21,0.0,-164000000.0,344000000.0,436000000.0,-92000000.0,344000000.0,19937000000.0,28871000000.0,-266000000.0,956000000.0,,1490000000.0,591000000.0,5012000000.0,19937000000.0,8934000000.0,3000000.0,-23000000.0,8370000000.0,564000000.0,-292000000.0,272000000.0,28871000000.0,1638100000.0,1646000000.0,1674000000.0
