company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2013.0,FY,2012-11-01,2013-10-31,2015-12-17 17:26:45+00:00,-167000000.0,354000000.0,374000000.0,4396000000.0,,369000000.0,,1083000000.0,-6464000000.0,-2227000000.0,8739000000.0,-6464000000.0,-2227000000.0,8739000000.0,48000000.0,2051000000.0,2051000000.0,1923000000.0,-5195000000.0,,-31000000.0,-938000000.0,-2497000000.0,-2321000000.0,,1005000000.0,370000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2014.0,FY,2013-11-01,2014-10-31,2016-12-15 17:26:55+00:00,-49000000.0,302000000.0,357000000.0,4144000000.0,6000000.0,-951000000.0,0.0,870000000.0,-3800000000.0,-2974000000.0,6911000000.0,-3800000000.0,-2974000000.0,6911000000.0,137000000.0,1648000000.0,1648000000.0,2070000000.0,-3498000000.0,,-37000000.0,-940000000.0,-3620000000.0,-1135000000.0,0.0,1023000000.0,606000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2015.0,FY,2014-11-01,2015-10-31,2017-12-15 16:40:03+00:00,-2644000000.0,192000000.0,291000000.0,3947000000.0,140000000.0,-4749000000.0,0.0,15412000000.0,9275000000.0,-5413000000.0,3661000000.0,9275000000.0,-5413000000.0,3661000000.0,7523000000.0,2461000000.0,2461000000.0,2002000000.0,-4989000000.0,0.0,-32000000.0,-243000000.0,-3344000000.0,-1116000000.0,0.0,298000000.0,380000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2015.0,Q4,2015-08-01,2015-10-31,,-27000000.0,192000000.0,291000000.0,988000000.0,87000000.0,-3466000000.0,,14776000000.0,7805000000.0,-579000000.0,-158000000.0,7805000000.0,-579000000.0,-158000000.0,7068000000.0,1385000000.0,1385000000.0,935000000.0,-6600000000.0,,-22000000.0,-70000000.0,-738000000.0,-349000000.0,,56000000.0,113000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2015.0,Q3,2015-05-01,2015-07-31,,-2478000000.0,,,989000000.0,53000000.0,390000000.0,,29000000.0,1443000000.0,-3451000000.0,2063000000.0,1443000000.0,-3451000000.0,2063000000.0,55000000.0,224000000.0,224000000.0,460000000.0,1714000000.0,,,-67000000.0,-1174000000.0,-300000000.0,,123000000.0,92000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2015.0,Q3YTD,2014-11-01,2015-07-31,2016-09-08 17:28:21+00:00,-2617000000.0,,,2959000000.0,53000000.0,-1283000000.0,0.0,636000000.0,1470000000.0,-4834000000.0,3819000000.0,1470000000.0,-4834000000.0,3819000000.0,455000000.0,1076000000.0,1076000000.0,1067000000.0,1611000000.0,,-10000000.0,-173000000.0,-2606000000.0,-767000000.0,0.0,242000000.0,267000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2015.0,Q2,2015-02-01,2015-04-30,,-138000000.0,,,973000000.0,,-552000000.0,,251000000.0,-308000000.0,-673000000.0,1188000000.0,-308000000.0,-673000000.0,1188000000.0,207000000.0,305000000.0,305000000.0,462000000.0,-329000000.0,,,-58000000.0,-646000000.0,-230000000.0,,92000000.0,77000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2015.0,Q2YTD,2014-11-01,2015-04-30,2016-06-08 17:26:24+00:00,-139000000.0,,,1970000000.0,,-1673000000.0,,607000000.0,27000000.0,-1383000000.0,1756000000.0,27000000.0,-1383000000.0,1756000000.0,400000000.0,852000000.0,852000000.0,607000000.0,-103000000.0,,-10000000.0,-106000000.0,-1432000000.0,-467000000.0,,119000000.0,175000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2015.0,Q1,2014-11-01,2015-01-31,2016-03-10 17:20:44+00:00,-1000000.0,,,997000000.0,,-1121000000.0,,356000000.0,335000000.0,-710000000.0,568000000.0,335000000.0,-710000000.0,568000000.0,193000000.0,547000000.0,547000000.0,145000000.0,226000000.0,,-10000000.0,-48000000.0,-786000000.0,-237000000.0,,27000000.0,98000000.0
Hewlett Packard Enterprise Co,HPE,549300BX44RGX6ANDV88,1645590,2016.0,FY,2015-11-01,2016-10-31,2018-12-12 17:19:51+00:00,-22000000.0,656000000.0,585000000.0,3775000000.0,3342000000.0,-1757000000.0,41000000.0,1074000000.0,-2330000000.0,419000000.0,5056000000.0,-2330000000.0,419000000.0,5056000000.0,3145000000.0,3161000000.0,3161000000.0,-123000000.0,494000000.0,0.0,-373000000.0,-656000000.0,-3280000000.0,-904000000.0,-2662000000.0,585000000.0,450000000.0
