company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2007.0,FY,2007-01-01,2007-12-31,2010-02-22 16:51:17+00:00,175000000.0,264000000.0,6000000.0,-2119000000.0,0.0,8387000000.0,0.0,-4495000000.0,1323000000.0,3287000000.0,-4495000000.0,1323000000.0,3287000000.0,115000000.0,-6423000000.0,1251000000.0,1251000000.0,3151000000.0,163000000.0,0.0,-1036000000.0,565000000.0,-4228000000.0,,-4223000000.0,-1363000000.0,,5545000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2008.0,FY,2008-01-01,2008-12-31,2011-03-18 12:55:52+00:00,92000000.0,286000000.0,,-1326000000.0,3500000000.0,16308000000.0,,10454000000.0,-6233000000.0,2007000000.0,10454000000.0,-6233000000.0,2007000000.0,6228000000.0,-4757000000.0,-5596000000.0,-5596000000.0,6406000000.0,27000000.0,894000000.0,-669000000.0,2145000000.0,-13750000000.0,,-3955000000.0,,,6623000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2008.0,Q4,2008-10-01,2008-12-31,,12000000.0,73000000.0,,-301000000.0,3500000000.0,4081000000.0,,8282000000.0,-1923000000.0,1056000000.0,8282000000.0,-1923000000.0,1056000000.0,7415000000.0,1685000000.0,-6218000000.0,-6218000000.0,6314000000.0,3000000.0,,-70000000.0,1176000000.0,-3633000000.0,,-917000000.0,,,1710000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2008.0,Q3,2008-07-01,2008-09-30,,14000000.0,77000000.0,,144000000.0,,1552000000.0,,-920000000.0,-554000000.0,876000000.0,-920000000.0,-554000000.0,876000000.0,-598000000.0,-1575000000.0,79000000.0,79000000.0,105000000.0,4000000.0,894000000.0,-71000000.0,457000000.0,-2293000000.0,,-830000000.0,,,845000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-04 10:00:36+00:00,80000000.0,213000000.0,,-1025000000.0,0.0,12227000000.0,0.0,2172000000.0,-4310000000.0,951000000.0,2172000000.0,-4310000000.0,951000000.0,-1187000000.0,-6442000000.0,622000000.0,622000000.0,92000000.0,24000000.0,894000000.0,-599000000.0,969000000.0,-10117000000.0,,-3038000000.0,,,4913000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-05 16:44:09+00:00,66000000.0,136000000.0,,-1169000000.0,0.0,10675000000.0,0.0,3092000000.0,-3756000000.0,75000000.0,3092000000.0,-3756000000.0,75000000.0,-589000000.0,-4867000000.0,543000000.0,543000000.0,-13000000.0,20000000.0,0.0,-528000000.0,512000000.0,-7824000000.0,,-2208000000.0,,,4068000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2009.0,Q4,2009-10-01,2009-12-31,,73000000.0,72000000.0,,-2329000000.0,,1190000000.0,,2549000000.0,-2264000000.0,-643000000.0,2549000000.0,-2264000000.0,-643000000.0,-358000000.0,3801000000.0,-543000000.0,-543000000.0,853000000.0,5000000.0,,-65000000.0,1231000000.0,-6448000000.0,,-2382000000.0,,,4184000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2009.0,FY,2009-01-01,2009-12-31,2010-02-22 16:51:17+00:00,243000000.0,284000000.0,0.0,-1516000000.0,1769000000.0,2792000000.0,278000000.0,-3341000000.0,-1615000000.0,1994000000.0,-3341000000.0,-1615000000.0,1994000000.0,-2962000000.0,7501000000.0,-1031000000.0,-1031000000.0,331000000.0,18000000.0,279000000.0,-299000000.0,3683000000.0,-15880000000.0,,-15400000000.0,0.0,,13986000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-03 16:41:15+00:00,170000000.0,212000000.0,,813000000.0,1769000000.0,1602000000.0,278000000.0,-5890000000.0,649000000.0,2637000000.0,-5890000000.0,649000000.0,2637000000.0,-2604000000.0,3700000000.0,-488000000.0,-488000000.0,-522000000.0,13000000.0,279000000.0,-234000000.0,2452000000.0,-9432000000.0,,-13018000000.0,,,9802000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2009.0,Q3TTM,2008-10-01,2009-09-30,,182000000.0,285000000.0,,512000000.0,5269000000.0,5683000000.0,278000000.0,2392000000.0,-1274000000.0,3693000000.0,2392000000.0,-1274000000.0,3693000000.0,4811000000.0,5385000000.0,-6706000000.0,-6706000000.0,5792000000.0,16000000.0,279000000.0,-304000000.0,3628000000.0,-13065000000.0,,-13935000000.0,,,11512000000.0
