company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinvestmentincome,allowanceforloanandleaselosses,aoci,cashandequivalents,commonequity,fedfundspurchased,fedfundssold,goodwill,intangibleassets,interestbearingdeposits,interestbearingdepositsatotherbanks,loansandleases,loansheldforsale,longtermdebt,netloansandleases,netpremisesandequipment,noncontrollinginterests,noninterestbearingdeposits,otherassets,otherequity,otherlongtermliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2008.0,FY,,2008-12-31,2010-02-22 16:51:17+00:00,458000000.0,1826000000.0,-22000000.0,2643000000.0,16822000000.0,3143000000.0,790000000.0,5548000000.0,638000000.0,72447000000.0,7540000000.0,97419000000.0,1282000000.0,19231000000.0,95593000000.0,2786000000.0,,18457000000.0,9023000000.0,,3478000000.0,-1869000000.0,12679000000.0,146248000000.0,13506000000.0,16813000000.0,16813000000.0,129435000000.0,146248000000.0,3307000000.0,19947000000.0,-1425000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2008.0,Q3,,2008-09-30,2009-11-04 10:00:36+00:00,512000000.0,1472000000.0,70000000.0,2986000000.0,16614000000.0,10427000000.0,542000000.0,11529000000.0,675000000.0,71176000000.0,30000000.0,98712000000.0,1054000000.0,14168000000.0,97240000000.0,2730000000.0,,18045000000.0,8043000000.0,,3656000000.0,4445000000.0,7115000000.0,144292000000.0,19705000000.0,19705000000.0,19705000000.0,124587000000.0,144292000000.0,0.0,18951000000.0,-1424000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2008.0,Q2,,2008-06-30,2009-08-05 16:44:09+00:00,510000000.0,1472000000.0,47000000.0,3161000000.0,16595000000.0,8664000000.0,949000000.0,11515000000.0,709000000.0,71570000000.0,46000000.0,98267000000.0,677000000.0,13319000000.0,96795000000.0,2726000000.0,,18334000000.0,8092000000.0,,3915000000.0,4437000000.0,8926000000.0,144436000000.0,19708000000.0,19708000000.0,19708000000.0,124728000000.0,144436000000.0,0.0,19256000000.0,-1371000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2009.0,FY,,2009-12-31,2011-03-18 12:55:52+00:00,468000000.0,3114000000.0,130000000.0,2052000000.0,18793000000.0,1893000000.0,379000000.0,5557000000.0,503000000.0,75476000000.0,5580000000.0,90674000000.0,1511000000.0,18464000000.0,87560000000.0,2668000000.0,,23204000000.0,8901000000.0,,3625000000.0,-3235000000.0,1775000000.0,142318000000.0,14279000000.0,17881000000.0,17881000000.0,124437000000.0,142318000000.0,3602000000.0,27139000000.0,-1409000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2009.0,Q3,,2009-09-30,2009-11-04 10:00:36+00:00,499000000.0,2627000000.0,143000000.0,2101000000.0,18766000000.0,2633000000.0,366000000.0,5557000000.0,535000000.0,73654000000.0,5902000000.0,92754000000.0,1470000000.0,18093000000.0,90127000000.0,2694000000.0,,21226000000.0,8278000000.0,,3235000000.0,-2618000000.0,2653000000.0,139986000000.0,14880000000.0,18492000000.0,18492000000.0,121494000000.0,139986000000.0,3612000000.0,22457000000.0,-1411000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2009.0,Q2,,2009-06-30,2009-08-05 16:44:09+00:00,501000000.0,2282000000.0,-36000000.0,2363000000.0,18752000000.0,2265000000.0,3221000000.0,5556000000.0,568000000.0,73731000000.0,2846000000.0,96149000000.0,1932000000.0,18238000000.0,93867000000.0,2789000000.0,,20995000000.0,8335000000.0,,3918000000.0,-2169000000.0,4927000000.0,142811000000.0,15134000000.0,18737000000.0,18737000000.0,124074000000.0,142811000000.0,3603000000.0,20833000000.0,-1413000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2009.0,Q1,,2009-03-31,2010-05-05 17:16:41+00:00,426000000.0,1861000000.0,-6000000.0,2429000000.0,16835000000.0,2828000000.0,418000000.0,5551000000.0,603000000.0,73548000000.0,2288000000.0,95686000000.0,1956000000.0,18762000000.0,93825000000.0,2808000000.0,,19988000000.0,9313000000.0,,3512000000.0,-1913000000.0,6525000000.0,141980000000.0,13501000000.0,16817000000.0,16817000000.0,125163000000.0,141980000000.0,3316000000.0,22363000000.0,-1415000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2010.0,FY,,2010-12-31,2012-02-24 16:26:17+00:00,421000000.0,3185000000.0,-260000000.0,1643000000.0,19063000000.0,2716000000.0,396000000.0,5561000000.0,385000000.0,68881000000.0,4880000000.0,82864000000.0,1485000000.0,13190000000.0,79679000000.0,2569000000.0,,25733000000.0,10903000000.0,,3876000000.0,-4047000000.0,1221000000.0,132351000000.0,13354000000.0,16734000000.0,16734000000.0,115617000000.0,132351000000.0,3380000000.0,24429000000.0,-1402000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2010.0,Q3,,2010-09-30,2010-11-03 16:41:15+00:00,512000000.0,3185000000.0,208000000.0,1898000000.0,19060000000.0,2451000000.0,1137000000.0,5561000000.0,414000000.0,69678000000.0,3852000000.0,84420000000.0,1587000000.0,14335000000.0,81235000000.0,2564000000.0,,25300000000.0,9577000000.0,,3361000000.0,-4070000000.0,1210000000.0,133498000000.0,13793000000.0,17163000000.0,17163000000.0,116335000000.0,133498000000.0,3370000000.0,25161000000.0,-1405000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2010.0,Q2,,2010-06-30,2010-08-04 16:34:54+00:00,466000000.0,3185000000.0,306000000.0,2097000000.0,19051000000.0,1929000000.0,752000000.0,5561000000.0,443000000.0,73257000000.0,4562000000.0,85945000000.0,1162000000.0,15415000000.0,82760000000.0,2588000000.0,,22993000000.0,9494000000.0,,3248000000.0,-3849000000.0,1035000000.0,135340000000.0,14103000000.0,17463000000.0,17463000000.0,117877000000.0,135340000000.0,3360000000.0,25455000000.0,-1405000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2010.0,Q1,,2010-03-31,2010-05-05 17:16:41+00:00,503000000.0,3184000000.0,144000000.0,2252000000.0,18793000000.0,1687000000.0,324000000.0,5559000000.0,472000000.0,74941000000.0,4295000000.0,88174000000.0,1048000000.0,15683000000.0,84990000000.0,2637000000.0,,23391000000.0,9663000000.0,259000000.0,2893000000.0,-3502000000.0,997000000.0,137230000000.0,14287000000.0,17638000000.0,17638000000.0,119592000000.0,137230000000.0,3351000000.0,25487000000.0,-1407000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2011.0,FY,,2011-12-31,2013-02-21 15:39:37+00:00,361000000.0,2745000000.0,-69000000.0,2132000000.0,18868000000.0,2333000000.0,200000000.0,4816000000.0,449000000.0,67418000000.0,4913000000.0,77594000000.0,1193000000.0,8110000000.0,74849000000.0,2375000000.0,,28209000000.0,10009000000.0,,3747000000.0,-4322000000.0,734000000.0,127050000000.0,13080000000.0,16499000000.0,16499000000.0,110551000000.0,127050000000.0,3419000000.0,25753000000.0,-1397000000.0
Regions Financial Corp,RF,CW05CS5KW59QTC0DG824,1281761,2011.0,Q3,,2011-09-30,2011-11-02 19:04:56+00:00,422000000.0,2964000000.0,92000000.0,2000000000.0,19072000000.0,1969000000.0,254000000.0,5561000000.0,478000000.0,67642000000.0,6009000000.0,79447000000.0,1012000000.0,10140000000.0,76483000000.0,2399000000.0,,28296000000.0,9029000000.0,,3478000000.0,-3913000000.0,974000000.0,129762000000.0,13854000000.0,17263000000.0,17263000000.0,112499000000.0,129762000000.0,3409000000.0,26115000000.0,-1397000000.0
