company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,goodwill,intangibleassets,longtermdebt,netppe,noncontrollinginterests,noncurrentdeferredrevenue,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2009.0,FY,,2009-12-31,2011-02-28 16:15:54+00:00,47608000.0,179770000.0,92226000.0,-12292000.0,15767000.0,,48369000.0,14954000.0,14087000.0,1394091000.0,269454000.0,910825000.0,246154000.0,11478000.0,,171744000.0,23364000.0,,,,26564000.0,10247000.0,12421000.0,809618000.0,78026000.0,1131000.0,2182803000.0,845695000.0,246540000.0,232814000.0,845695000.0,857173000.0,1325630000.0,2182803000.0,1690109000.0,1092816000.0,
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2010.0,FY,,2010-12-31,2012-02-28 16:15:18+00:00,54777000.0,214899000.0,134355000.0,-16869000.0,79276000.0,,47797000.0,14455000.0,16824000.0,1595764000.0,375174000.0,1014222000.0,267971000.0,31925000.0,,222647000.0,25403000.0,13496000.0,,,31426000.0,13315000.0,16038000.0,1017497000.0,91406000.0,16248000.0,2639023000.0,1048425000.0,368688000.0,308489000.0,1048425000.0,1080350000.0,1558673000.0,2639023000.0,2002364000.0,1250184000.0,
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2010.0,Q3,,2010-09-30,2010-11-05 15:56:36+00:00,49354000.0,216508000.0,106778000.0,-14448000.0,20627000.0,,71514000.0,16925000.0,14935000.0,1476156000.0,349375000.0,880452000.0,262650000.0,32401000.0,,214050000.0,28949000.0,,,,32964000.0,12811000.0,13490000.0,967517000.0,96932000.0,18632000.0,2434286000.0,1024583000.0,313141000.0,269989000.0,1024583000.0,1056984000.0,1377302000.0,2434286000.0,1858495000.0,1107313000.0,
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2010.0,Q2,,2010-06-30,2010-08-09 11:40:47+00:00,44051000.0,194306000.0,99209000.0,-31892000.0,8251000.0,,70264000.0,16568000.0,16458000.0,1452051000.0,309562000.0,859429000.0,252391000.0,30200000.0,,196061000.0,25975000.0,,,,25924000.0,13777000.0,13836000.0,910831000.0,92490000.0,2234000.0,2300988000.0,949203000.0,261060000.0,252318000.0,949203000.0,979403000.0,1321585000.0,2300988000.0,1787537000.0,1069267000.0,
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2011.0,FY,,2011-12-31,2013-02-28 15:26:17+00:00,66635000.0,290854000.0,140521000.0,-45984000.0,22511000.0,,847000.0,12855000.0,19314000.0,1913703000.0,546618000.0,1284113000.0,293912000.0,29085000.0,,313733000.0,35035000.0,6377000.0,,,32261000.0,25079000.0,22466000.0,1243303000.0,100526000.0,416000.0,3177090000.0,1198166000.0,390596000.0,326914000.0,1198166000.0,1227251000.0,1949839000.0,3177090000.0,2492582000.0,1622925000.0,
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2011.0,Q3,,2011-09-30,2011-11-09 12:04:48+00:00,70285000.0,283710000.0,140975000.0,-32870000.0,23395000.0,,27573000.0,13662000.0,15696000.0,1924989000.0,524227000.0,1304628000.0,290721000.0,29062000.0,,301115000.0,39465000.0,9842000.0,,,30729000.0,8127000.0,22160000.0,1187960000.0,95149000.0,416000.0,3155508000.0,1182663000.0,384842000.0,329913000.0,1182663000.0,1211725000.0,1943783000.0,3155508000.0,2479945000.0,1613870000.0,
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2011.0,Q2,,2011-06-30,2011-08-09 10:38:52+00:00,58346000.0,252462000.0,114221000.0,-287000.0,38199000.0,,95225000.0,14171000.0,15352000.0,1839599000.0,446377000.0,1165395000.0,276770000.0,27381000.0,,269218000.0,26718000.0,13718000.0,,,31203000.0,11616000.0,19853000.0,1128713000.0,67879000.0,19063000.0,2965596000.0,1223651000.0,371647000.0,268335000.0,1223651000.0,1251032000.0,1714564000.0,2965596000.0,2317179000.0,1446229000.0,
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2011.0,Q1,,2011-03-31,2011-05-10 14:28:44+00:00,56120000.0,231171000.0,127623000.0,-3931000.0,24656000.0,,76003000.0,14679000.0,15408000.0,1616504000.0,388812000.0,921554000.0,272593000.0,32764000.0,,241096000.0,25212000.0,10307000.0,,,28065000.0,10735000.0,21448000.0,1073171000.0,83516000.0,19768000.0,2643637000.0,1145243000.0,337663000.0,292245000.0,1145243000.0,1178007000.0,1465630000.0,2643637000.0,2033381000.0,1173385000.0,
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2012.0,FY,,2012-12-31,2014-02-28 16:41:38+00:00,80886000.0,322246000.0,115992000.0,-39064000.0,31324000.0,,117580000.0,18095000.0,22995000.0,2065103000.0,667471000.0,1268303000.0,335870000.0,15530000.0,,359780000.0,37176000.0,28306000.0,,,37008000.0,30272000.0,27042000.0,1463277000.0,87781000.0,503000.0,3546738000.0,1541793000.0,441286000.0,331060000.0,1541793000.0,1557323000.0,1989415000.0,3546738000.0,2769582000.0,1658355000.0,
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2012.0,Q3,,2012-09-30,2012-11-08 13:18:47+00:00,80213000.0,314577000.0,122010000.0,-41602000.0,16205000.0,,84905000.0,15248000.0,19712000.0,2005698000.0,623418000.0,1010514000.0,328222000.0,15182000.0,,356196000.0,40333000.0,17216000.0,,,36873000.0,30705000.0,26092000.0,1434373000.0,286636000.0,466000.0,3411596000.0,1477676000.0,417385000.0,521323000.0,1477676000.0,1492858000.0,1918738000.0,3411596000.0,2665989000.0,1397415000.0,
