company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,preferreddividends,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 16:15:54+00:00,,1.73,1.73,34148000.0,1.68,,90296000.0,148771000.0,148771000.0,148708000.0,63000.0,573554000.0,1083679000.0,-2998000.0,,5595000.0,,1985000.0,194158000.0,573554000.0,510125000.0,33104000.0,930000.0,235886000.0,274239000.0,-35172000.0,239067000.0,1083679000.0,86000000.0,85950192.0,88335832.0
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 16:15:18+00:00,5390000.0,2.07,2.07,34600000.0,2.03,,101299000.0,176389000.0,176389000.0,175691000.0,698000.0,596312000.0,1177736000.0,-3369000.0,,,,,226245000.0,596312000.0,581424000.0,34333000.0,201000.0,266235000.0,315189000.0,-37501000.0,277688000.0,1177736000.0,84900000.0,84769912.0,86744003.0
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 15:56:36+00:00,,0.55,0.55,9959000.0,0.54,,23110000.0,46563000.0,46563000.0,46526000.0,37000.0,150272000.0,297836000.0,-646000.0,,,,3760000.0,54312000.0,150272000.0,147564000.0,9262000.0,48000.0,68031000.0,79533000.0,-9860000.0,69673000.0,297836000.0,84600000.0,84899815.0,86794118.0
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2009.0,Q2,2009-04-01,2009-06-30,2010-08-09 11:40:47+00:00,,0.52,0.52,9660000.0,0.51,,26567000.0,43994000.0,43994000.0,43902000.0,92000.0,145618000.0,289268000.0,-828000.0,,0.0,,1403000.0,53047000.0,145618000.0,143650000.0,8200000.0,49000.0,64110000.0,79540000.0,-8979000.0,70561000.0,289268000.0,84400000.0,84919498.0,86843260.0
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2010.0,FY,2010-01-01,2010-12-31,2013-02-28 15:26:17+00:00,9919000.0,2.44,2.44,43966000.0,2.39,,121396000.0,210457000.0,210457000.0,207879000.0,2578000.0,734936000.0,1439388000.0,-2015000.0,,,,,279884000.0,734936000.0,704452000.0,37081000.0,266000.0,333769000.0,370683000.0,-38830000.0,331853000.0,1439388000.0,85200000.0,85057775.0,86962651.0
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2010.0,Q4,2010-10-01,2010-12-31,,9919000.0,0.58,0.58,5456000.0,0.57,,32037000.0,50757000.0,50757000.0,49980000.0,777000.0,202311000.0,393489000.0,-453000.0,,2018000.0,,-8946000.0,88817000.0,202311000.0,191178000.0,10739000.0,72000.0,97264000.0,93914000.0,-11120000.0,82794000.0,393489000.0,85200000.0,85057775.0,86962651.0
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2010.0,Q3YTD,2010-01-01,2010-09-30,,,1.86,1.86,38510000.0,1.82,,89359000.0,159700000.0,159700000.0,157899000.0,1801000.0,532625000.0,1045899000.0,-1562000.0,,-2018000.0,,8946000.0,191067000.0,532625000.0,513274000.0,26342000.0,194000.0,236505000.0,276769000.0,-27710000.0,249059000.0,1045899000.0,85900000.0,85295740.0,87179057.0
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2010.0,Q3,2010-07-01,2010-09-30,2011-11-09 12:04:48+00:00,,0.66,0.66,13504000.0,0.65,,30645000.0,57300000.0,57300000.0,56686000.0,614000.0,185515000.0,362988000.0,333000.0,,0.0,,2897000.0,65033000.0,185515000.0,177473000.0,8509000.0,82000.0,81434000.0,96039000.0,-8094000.0,87945000.0,362988000.0,85900000.0,85295740.0,87179057.0
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2010.0,Q2YTD,2010-01-01,2010-06-30,,,1.2,1.2,25006000.0,1.17,,58714000.0,102400000.0,102400000.0,101213000.0,1187000.0,347110000.0,682911000.0,-1895000.0,,-2018000.0,,6049000.0,126034000.0,347110000.0,335801000.0,17833000.0,112000.0,155071000.0,180730000.0,-19616000.0,161114000.0,682911000.0,84300000.0,84890285.0,86694239.0
Stericycle Inc,SRCL,B8PTJH2P0AXSWSMP2136,861878,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 10:38:52+00:00,,0.63,0.63,12617000.0,0.61,,30102000.0,53766000.0,53766000.0,53094000.0,672000.0,176540000.0,347734000.0,-892000.0,,-2018000.0,,3433000.0,63564000.0,176540000.0,171194000.0,8870000.0,32000.0,77596000.0,93598000.0,-9730000.0,83868000.0,347734000.0,84300000.0,84890285.0,86694239.0
