company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,explorationexpense,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,othercostofrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
NextEra Energy Inc,NEE,,753308,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 14:59:17+00:00,,3.3,3.3,1.64,1335000000.0,3.27,,,368000000.0,1312000000.0,1312000000.0,,1312000000.0,,10510000000.0,15263000000.0,,1135000000.0,-21000000.0,,,,,11645000000.0,3618000000.0,762000000.0,180000000.0,1335000000.0,2283000000.0,-603000000.0,1680000000.0,15263000000.0,397600000.0,397700000.0,400600000.0
NextEra Energy Inc,NEE,,753308,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 10:42:56+00:00,,4.1,4.1,1.78,1442000000.0,4.07,,,450000000.0,1639000000.0,1639000000.0,,1639000000.0,,10939000000.0,16410000000.0,,1204000000.0,-123000000.0,,,,,12143000000.0,4267000000.0,813000000.0,200000000.0,1442000000.0,2825000000.0,-736000000.0,2089000000.0,16410000000.0,399800000.0,400100000.0,402700000.0
NextEra Energy Inc,NEE,,753308,2008.0,Q3,2008-07-01,2008-09-30,2009-10-30 16:11:20+00:00,20000000.0,1.93,1.93,0.445,348000000.0,1.92,,,361000000.0,774000000.0,774000000.0,,774000000.0,,3361000000.0,5387000000.0,,342000000.0,-46000000.0,,,,,3703000000.0,1684000000.0,203000000.0,68000000.0,368000000.0,1316000000.0,-181000000.0,1135000000.0,5387000000.0,401000000.0,400400000.0,403000000.0
NextEra Energy Inc,NEE,,753308,2008.0,Q2,2008-04-01,2008-06-30,2009-07-31 14:35:43+00:00,,0.52,0.52,0.445,,0.52,2323000000.0,,-49000000.0,432000000.0,432000000.0,,432000000.0,,,3585000000.0,,,15000000.0,359000000.0,298000000.0,,651000000.0,,3585000000.0,0.0,55000000.0,3272000000.0,313000000.0,70000000.0,383000000.0,3585000000.0,830800000.0,399.8,402.6
NextEra Energy Inc,NEE,,753308,2009.0,Q4,2009-10-01,2009-12-31,,,0.85,0.85,0.47,488000000.0,0.84,-1797000000.0,,55000000.0,125000000.0,125000000.0,,125000000.0,,4779000000.0,3654000000.0,,601000000.0,27000000.0,-435000000.0,-302000000.0,,-672000000.0,5380000000.0,-1726000000.0,434000000.0,30000000.0,-2283000000.0,557000000.0,-377000000.0,180000000.0,3654000000.0,404800000.0,404400000.0,407200000.0
NextEra Energy Inc,NEE,,753308,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 15:26:15+00:00,,3.99,3.99,1.89,1765000000.0,3.97,,0.0,327000000.0,1615000000.0,1615000000.0,,1615000000.0,,10054000000.0,15643000000.0,,1230000000.0,14000000.0,,,,,11284000000.0,4359000000.0,849000000.0,183000000.0,1765000000.0,2594000000.0,-652000000.0,1942000000.0,15643000000.0,404800000.0,404400000.0,407200000.0
NextEra Energy Inc,NEE,,753308,2009.0,Q3YTD,2009-01-01,2009-09-30,,,3.14,3.14,1.42,1277000000.0,3.13,1797000000.0,,272000000.0,1490000000.0,1490000000.0,,1490000000.0,,5275000000.0,11989000000.0,,629000000.0,-13000000.0,435000000.0,302000000.0,,672000000.0,5904000000.0,6085000000.0,415000000.0,153000000.0,4048000000.0,2037000000.0,-275000000.0,1762000000.0,11989000000.0,403800000.0,405100000.0,408000000.0
NextEra Energy Inc,NEE,,753308,2009.0,Q3,2009-07-01,2009-09-30,2010-11-03 15:21:12+00:00,,1.32,1.32,0.4725,433000000.0,1.31,,,182000000.0,533000000.0,533000000.0,,533000000.0,,2846000000.0,4473000000.0,,345000000.0,11000000.0,,,,,3191000000.0,1282000000.0,204000000.0,59000000.0,433000000.0,849000000.0,-134000000.0,715000000.0,4473000000.0,403800000.0,405100000.0,408000000.0
NextEra Energy Inc,NEE,,753308,2009.0,Q2,2009-04-01,2009-06-30,2009-07-31 14:35:43+00:00,,0.92,0.92,0.4725,435000000.0,0.92,1797000000.0,,71000000.0,593000000.0,593000000.0,,593000000.0,,,3811000000.0,,,14000000.0,435000000.0,302000000.0,,672000000.0,,3811000000.0,0.0,45000000.0,3206000000.0,605000000.0,59000000.0,664000000.0,3811000000.0,644600000.0,403.7,406.4
NextEra Energy Inc,NEE,,753308,2009.0,Q2YTD,2009-01-01,2009-06-30,,,1.82,1.82,0.95,844000000.0,1.82,1797000000.0,,90000000.0,957000000.0,957000000.0,,957000000.0,,2429000000.0,7516000000.0,,284000000.0,-24000000.0,435000000.0,302000000.0,,672000000.0,2713000000.0,4803000000.0,211000000.0,94000000.0,3615000000.0,1188000000.0,-141000000.0,1047000000.0,7516000000.0,644600000.0,403.7,406.4
