company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accumulateddepreciation,aoci,assetretirementandlitigationobligation,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,customerdeposits,grossppe,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredrevenue,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,noncurrentnotereceivables,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,prepaidexpenses,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
Edison International,EIX,,827052,2008.0,FY,,2008-12-31,2010-03-01 09:05:45+00:00,1031000000.0,1334000000.0,5570000000.0,167000000.0,5523000000.0,,3916000000.0,,2272000000.0,104000000.0,590000000.0,228000000.0,24539000000.0,10950000000.0,2785000000.0,553000000.0,24343000000.0,285000000.0,137000000.0,5826000000.0,2860000000.0,878000000.0,1436000000.0,2344000000.0,,187000000.0,,9213000000.0,1913000000.0,43000000.0,,,,3000000.0,7078000000.0,2317000000.0,7000000.0,44615000000.0,9517000000.0,7353000000.0,6697000000.0,10424000000.0,10709000000.0,33906000000.0,44615000000.0,12919000000.0,27209000000.0,907000000.0
Edison International,EIX,,827052,2009.0,FY,,2009-12-31,2011-02-28 08:56:24+00:00,1347000000.0,1364000000.0,,37000000.0,6569000000.0,,1673000000.0,,2304000000.0,33000000.0,186000000.0,238000000.0,,10437000000.0,467000000.0,533000000.0,27113000000.0,258000000.0,119000000.0,4436000000.0,2061000000.0,1038000000.0,758000000.0,1358000000.0,,196000000.0,,8353000000.0,3029000000.0,43000000.0,,,,69000000.0,7500000000.0,462000000.0,,41444000000.0,9841000000.0,4430000000.0,3787000000.0,10748000000.0,11006000000.0,30438000000.0,41444000000.0,9901000000.0,26651000000.0,907000000.0
Edison International,EIX,,827052,2009.0,Q3,,2009-09-30,2009-11-06 09:09:18+00:00,966000000.0,1741000000.0,5757000000.0,128000000.0,6027000000.0,,2411000000.0,,2294000000.0,28000000.0,271000000.0,241000000.0,26633000000.0,10448000000.0,495000000.0,549000000.0,25594000000.0,275000000.0,123000000.0,4612000000.0,3000000000.0,1039000000.0,886000000.0,2347000000.0,,207000000.0,,9833000000.0,2598000000.0,43000000.0,,,,148000000.0,7401000000.0,927000000.0,5000000.0,42772000000.0,9823000000.0,5768000000.0,4959000000.0,10730000000.0,11005000000.0,31767000000.0,42772000000.0,11410000000.0,26808000000.0,907000000.0
Edison International,EIX,,827052,2009.0,Q2,,2009-06-30,2009-08-07 09:02:56+00:00,833000000.0,1451000000.0,5573000000.0,204000000.0,5766000000.0,,2701000000.0,,2285000000.0,,344000000.0,239000000.0,25344000000.0,11276000000.0,472000000.0,545000000.0,25123000000.0,275000000.0,126000000.0,4467000000.0,2952000000.0,990000000.0,1033000000.0,1986000000.0,,219000000.0,,9325000000.0,2442000000.0,48000000.0,,,,188000000.0,7101000000.0,459000000.0,5000000.0,41881000000.0,9590000000.0,5923000000.0,4080000000.0,10497000000.0,10772000000.0,31109000000.0,41881000000.0,10835000000.0,27029000000.0,907000000.0
Edison International,EIX,,827052,2010.0,FY,,2010-12-31,2012-02-29 16:06:02+00:00,1362000000.0,1373000000.0,,-76000000.0,7085000000.0,,1389000000.0,0.0,2331000000.0,390000000.0,52000000.0,217000000.0,,12371000000.0,782000000.0,568000000.0,30184000000.0,4000000.0,112000000.0,5747000000.0,2260000000.0,1187000000.0,700000000.0,1953000000.0,,205000000.0,,8908000000.0,2509000000.0,47000000.0,,,,2000000.0,8328000000.0,163000000.0,,45530000000.0,10583000000.0,4422000000.0,3952000000.0,11490000000.0,11494000000.0,34036000000.0,45530000000.0,10924000000.0,30084000000.0,907000000.0
Edison International,EIX,,827052,2010.0,Q3,,2010-09-30,2010-10-29 09:02:45+00:00,1228000000.0,1687000000.0,6097000000.0,26000000.0,7035000000.0,,2009000000.0,,2325000000.0,,163000000.0,224000000.0,29838000000.0,12117000000.0,832000000.0,547000000.0,29006000000.0,5000000.0,114000000.0,4999000000.0,2143000000.0,1186000000.0,779000000.0,1931000000.0,,200000000.0,,9457000000.0,3725000000.0,44000000.0,,,,15000000.0,8283000000.0,141000000.0,4000000.0,45566000000.0,10634000000.0,5041000000.0,3887000000.0,11541000000.0,11546000000.0,34020000000.0,45566000000.0,11519000000.0,30133000000.0,907000000.0
Edison International,EIX,,827052,2010.0,Q2,,2010-06-30,2010-08-05 08:52:09+00:00,1027000000.0,1422000000.0,6047000000.0,-12000000.0,6714000000.0,,868000000.0,,2315000000.0,,245000000.0,229000000.0,29091000000.0,11113000000.0,766000000.0,556000000.0,28156000000.0,6000000.0,124000000.0,4737000000.0,2119000000.0,1149000000.0,979000000.0,1365000000.0,,210000000.0,,9083000000.0,3540000000.0,44000000.0,,,,25000000.0,7879000000.0,537000000.0,7000000.0,43055000000.0,10182000000.0,3857000000.0,3613000000.0,11089000000.0,11095000000.0,31960000000.0,43055000000.0,11042000000.0,28347000000.0,907000000.0
Edison International,EIX,,827052,2010.0,Q1,,2010-03-31,2010-05-07 09:08:36+00:00,977000000.0,1203000000.0,6064000000.0,116000000.0,6795000000.0,,1418000000.0,,2311000000.0,,345000000.0,234000000.0,28458000000.0,11025000000.0,787000000.0,522000000.0,27311000000.0,7000000.0,112000000.0,4622000000.0,2090000000.0,1083000000.0,1048000000.0,1163000000.0,,215000000.0,,8865000000.0,3473000000.0,44000000.0,,,,66000000.0,7642000000.0,323000000.0,10000000.0,42357000000.0,10069000000.0,4267000000.0,3257000000.0,10976000000.0,10983000000.0,31374000000.0,42357000000.0,10779000000.0,28117000000.0,907000000.0
Edison International,EIX,,827052,2011.0,FY,,2011-12-31,2013-02-26 16:04:21+00:00,1321000000.0,1287000000.0,,-139000000.0,7280000000.0,,169000000.0,0.0,2360000000.0,88000000.0,138000000.0,199000000.0,,8834000000.0,213000000.0,350000000.0,27644000000.0,2000000.0,138000000.0,5149000000.0,2715000000.0,,649000000.0,1730000000.0,1941000000.0,531000000.0,,9614000000.0,2295000000.0,6084000000.0,6194000000.0,,,,7834000000.0,429000000.0,,48039000000.0,10055000000.0,4484000000.0,4348000000.0,11084000000.0,11086000000.0,36953000000.0,48039000000.0,15911000000.0,32605000000.0,1029000000.0
Edison International,EIX,,827052,2011.0,Q3,,2011-09-30,2011-11-02 09:33:28+00:00,1224000000.0,1927000000.0,,-124000000.0,7139000000.0,,1384000000.0,0.0,2346000000.0,72000000.0,128000000.0,203000000.0,,13010000000.0,800000000.0,592000000.0,32069000000.0,2000000.0,133000000.0,6092000000.0,2293000000.0,1320000000.0,761000000.0,1788000000.0,,207000000.0,,8689000000.0,2798000000.0,43000000.0,,,,15000000.0,8793000000.0,611000000.0,,47672000000.0,11015000000.0,4751000000.0,4161000000.0,12044000000.0,12046000000.0,35626000000.0,47672000000.0,10852000000.0,31465000000.0,1029000000.0
