company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,investmentsecuritiesinterestincome,longtermdebtinterestexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,othergains,otherinterestincome,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,otherspecialcharges,preferreddividends,restructuringcharge,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Essex Property Trust Inc,ESS,,920522,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 15:45:47+00:00,,2.1,2.1,,109701000.0,2.09,,,,81066000.0,84395000.0,80651000.0,3744000.0,52899000.0,22255000.0,-69729000.0,99310000.0,,,,,11337000.0,415666000.0,61441000.0,5166000.0,,9241000.0,,81066000.0,11337000.0,270452000.0,420832000.0,80651000.0,351103000.0,25200000.0,25205367.0,25346520.0
Essex Property Trust Inc,ESS,,920522,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 21:18:07+00:00,4820000.0,3.01,3.01,,117296000.0,2.91,13084000.0,,,76446000.0,53739000.0,44282000.0,,82200000.0,16631000.0,-63406000.0,102126000.0,,9457000.0,-49952000.0,,13040000.0,405329000.0,64640000.0,4325000.0,,4860000.0,,76446000.0,13040000.0,301966000.0,409654000.0,44282000.0,346248000.0,27300000.0,27269547.0,29746614.0
Essex Property Trust Inc,ESS,,920522,2009.0,Q3,2009-07-01,2009-09-30,2010-11-09 17:26:24+00:00,,0.79,0.79,-1.03,29843000.0,0.74,,,,21966000.0,2349000.0,25000.0,2324000.0,21739000.0,3588000.0,-18495000.0,26893000.0,,,,,3471000.0,100638000.0,26406000.0,1024000.0,,-22978000.0,,21966000.0,3471000.0,83142000.0,101662000.0,25000.0,83167000.0,27500000.0,27591341.0,30070076.0
Essex Property Trust Inc,ESS,,920522,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 06:14:15+00:00,,0.43,0.43,-1.03,28903000.0,0.43,0.0,,,21509000.0,17452000.0,16560000.0,892000.0,11415000.0,4453000.0,-18642000.0,24844000.0,,,,,2867000.0,102634000.0,14841000.0,1156000.0,,1584000.0,,21509000.0,2867000.0,68588000.0,103790000.0,16560000.0,85148000.0,26500000.0,26831307.0,26853693.0
Essex Property Trust Inc,ESS,,920522,2010.0,Q4,2010-10-01,2010-12-31,,2808000.0,0.16,0.16,-1.03,35047000.0,0.16,687000.0,,,20734000.0,8629000.0,7340000.0,,4778000.0,3309000.0,-13621000.0,26677000.0,,1289000.0,,,7113000.0,102803000.0,17715000.0,1092000.0,,542000.0,,20734000.0,7113000.0,82934000.0,103895000.0,7340000.0,90274000.0,29600000.0,29667064.0,29734383.0
Essex Property Trust Inc,ESS,,920522,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 19:07:36+00:00,4828000.0,1.14,1.14,,128221000.0,1.14,2302000.0,,,82766000.0,50782000.0,49162000.0,,33764000.0,14848000.0,-54925000.0,104049000.0,,1620000.0,0.0,,27841000.0,404013000.0,65077000.0,4551000.0,,2170000.0,,82766000.0,27841000.0,304477000.0,408564000.0,49162000.0,353639000.0,29600000.0,29667064.0,29734383.0
Essex Property Trust Inc,ESS,,920522,2010.0,Q3YTD,2010-01-01,2010-09-30,,2020000.0,0.98,0.98,1.03,93174000.0,0.98,1615000.0,,,62032000.0,42153000.0,41822000.0,,28986000.0,11539000.0,-41304000.0,77372000.0,,331000.0,,,20728000.0,301210000.0,47362000.0,3459000.0,,1628000.0,,62032000.0,20728000.0,221543000.0,304669000.0,41822000.0,263365000.0,30400000.0,29690910.0,29762420.0
Essex Property Trust Inc,ESS,,920522,2010.0,Q3,2010-07-01,2010-09-30,2011-11-07 06:06:39+00:00,1177000.0,0.21,0.21,1.033,31531000.0,0.21,1615000.0,,,21025000.0,10426000.0,10260000.0,,6377000.0,3506000.0,-15237000.0,27600000.0,,166000.0,0.0,,5788000.0,102742000.0,16281000.0,959000.0,,543000.0,,21025000.0,5788000.0,78204000.0,103701000.0,10260000.0,88464000.0,30400000.0,29690910.0,29762420.0
Essex Property Trust Inc,ESS,,920522,2010.0,Q2YTD,2010-01-01,2010-06-30,,843000.0,0.77,0.77,,61643000.0,0.77,,,,41007000.0,31727000.0,31562000.0,,22609000.0,8033000.0,-26067000.0,49772000.0,,165000.0,,,14940000.0,198468000.0,31081000.0,2500000.0,,1085000.0,,41007000.0,14940000.0,143339000.0,200968000.0,31562000.0,174901000.0,29600000.0,29329273.0,29402635.0
Essex Property Trust Inc,ESS,,920522,2010.0,Q2,2010-04-01,2010-06-30,2011-08-08 06:17:06+00:00,843000.0,0.32,0.32,1.033,31156000.0,0.32,,,,20171000.0,13869000.0,13704000.0,,9482000.0,3844000.0,-13086000.0,25101000.0,,165000.0,0.0,,7085000.0,98803000.0,15935000.0,1022000.0,,543000.0,,20171000.0,7085000.0,73035000.0,99825000.0,13704000.0,86739000.0,29600000.0,29329273.0,29402635.0
