company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
Allstate Corp,ALL,OBT0W1ED8G0NWVOLOJ77,899051,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:32:16+00:00,-257000000.0,800000000.0,-402000000.0,,987000000.0,,-5339000000.0,-115000000.0,5433000000.0,-5339000000.0,-115000000.0,5433000000.0,-21000000.0,4636000000.0,4636000000.0,1456000000.0,-1800000000.0,,,-901000000.0,-40707000000.0,-274000000.0,-21000000.0,-3604000000.0,,40066000000.0
Allstate Corp,ALL,OBT0W1ED8G0NWVOLOJ77,899051,2008.0,Q4,2008-10-01,2008-12-31,,-109000000.0,101000000.0,-978000000.0,,1000000.0,,-1964000000.0,1670000000.0,354000000.0,-1964000000.0,1670000000.0,354000000.0,60000000.0,-1129000000.0,-1129000000.0,2570000000.0,-1738000000.0,,,-221000000.0,-4891000000.0,-138000000.0,-1000000.0,-5000000.0,,6598000000.0
Allstate Corp,ALL,OBT0W1ED8G0NWVOLOJ77,899051,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 16:50:58+00:00,-376000000.0,371000000.0,-1542000000.0,,20000000.0,,-7705000000.0,3788000000.0,3910000000.0,-7705000000.0,3788000000.0,3910000000.0,-7000000.0,-1679000000.0,-1679000000.0,7507000000.0,-5512000000.0,,,-889000000.0,-34424000000.0,-291000000.0,-1000000.0,-1323000000.0,,38132000000.0
Allstate Corp,ALL,OBT0W1ED8G0NWVOLOJ77,899051,2008.0,Q3,2008-07-01,2008-09-30,,-126000000.0,56000000.0,435000000.0,,1000000.0,,-4149000000.0,2499000000.0,1257000000.0,-4149000000.0,2499000000.0,1257000000.0,-393000000.0,-923000000.0,-923000000.0,1871000000.0,-3473000000.0,,,-224000000.0,-6838000000.0,-55000000.0,,-453000000.0,,9336000000.0
Allstate Corp,ALL,OBT0W1ED8G0NWVOLOJ77,899051,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-04 16:16:50+00:00,-267000000.0,270000000.0,-564000000.0,,19000000.0,,-5741000000.0,2118000000.0,3556000000.0,-5741000000.0,2118000000.0,3556000000.0,-67000000.0,-550000000.0,-550000000.0,4937000000.0,-3774000000.0,,,-668000000.0,-29533000000.0,-153000000.0,,-1318000000.0,,31534000000.0
Allstate Corp,ALL,OBT0W1ED8G0NWVOLOJ77,899051,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-27 11:52:33+00:00,-141000000.0,214000000.0,-999000000.0,,18000000.0,,-1592000000.0,-381000000.0,2299000000.0,-1592000000.0,-381000000.0,2299000000.0,326000000.0,373000000.0,373000000.0,3066000000.0,-301000000.0,,,-444000000.0,-22695000000.0,-98000000.0,,-865000000.0,,22198000000.0
Allstate Corp,ALL,OBT0W1ED8G0NWVOLOJ77,899051,2009.0,Q4,2009-10-01,2009-12-31,,-4000000.0,76000000.0,-250000000.0,,,,-1880000000.0,979000000.0,786000000.0,-1880000000.0,979000000.0,786000000.0,-115000000.0,518000000.0,518000000.0,522000000.0,-1020000000.0,,,-108000000.0,-9703000000.0,-46000000.0,-751000000.0,-1000000.0,,10652000000.0
Allstate Corp,ALL,OBT0W1ED8G0NWVOLOJ77,899051,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 09:12:00+00:00,-91000000.0,369000000.0,836000000.0,,1003000000.0,,-7544000000.0,3440000000.0,4301000000.0,-7544000000.0,3440000000.0,4301000000.0,197000000.0,854000000.0,854000000.0,2702000000.0,-7249000000.0,,,-542000000.0,-39283000000.0,-189000000.0,-752000000.0,-4000000.0,,42543000000.0
Allstate Corp,ALL,OBT0W1ED8G0NWVOLOJ77,899051,2009.0,Q3TTM,2008-10-01,2009-09-30,,-196000000.0,394000000.0,108000000.0,,1004000000.0,,-7628000000.0,4131000000.0,3869000000.0,-7628000000.0,4131000000.0,3869000000.0,372000000.0,-793000000.0,-793000000.0,4750000000.0,-7967000000.0,,,-655000000.0,-34471000000.0,-281000000.0,-2000000.0,-8000000.0,,38489000000.0
Allstate Corp,ALL,OBT0W1ED8G0NWVOLOJ77,899051,2009.0,Q3,2009-07-01,2009-09-30,,-1000000.0,79000000.0,-200000000.0,,3000000.0,,-1052000000.0,79000000.0,1033000000.0,-1052000000.0,79000000.0,1033000000.0,60000000.0,221000000.0,221000000.0,1013000000.0,-948000000.0,,,-107000000.0,-12546000000.0,-39000000.0,,,,12585000000.0
