company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Mattel Inc,MAT,549300VELLG24KHTJ564,63276,2007.0,FY,2007-01-01,2007-12-31,2010-02-24 13:55:13+00:00,-104484000.0,11290000.0,173617000.0,70195000.0,160790000.0,8119000.0,-230788000.0,406325000.0,-587765000.0,-285290000.0,560532000.0,-587765000.0,-285290000.0,560532000.0,-304404000.0,599993000.0,599993000.0,19247000.0,228267000.0,,,-272343000.0,-35000000.0,-146633000.0,-143665000.0,-806349000.0,0.0,827000.0
Mattel Inc,MAT,549300VELLG24KHTJ564,63276,2008.0,Q4,2008-10-01,2008-12-31,,-34945000.0,3337000.0,63692000.0,32251000.0,40604000.0,-6610000.0,874248000.0,,-837744000.0,-87671000.0,1102915000.0,-837744000.0,-87671000.0,1102915000.0,170890000.0,176401000.0,176401000.0,8325000.0,-2279000.0,,,-268854000.0,,-60311000.0,-541510000.0,-25101000.0,5335000.0,2250000.0
Mattel Inc,MAT,549300VELLG24KHTJ564,63276,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 14:17:20+00:00,-58396000.0,12047000.0,118347000.0,77466000.0,160048000.0,-12425000.0,-157453000.0,980593000.0,-395695000.0,-311672000.0,436338000.0,-395695000.0,-311672000.0,436338000.0,-283454000.0,379636000.0,379636000.0,42060000.0,16000000.0,,,-268854000.0,-85300000.0,-198808000.0,-1032864000.0,-90570000.0,23633000.0,7199000.0
Mattel Inc,MAT,549300VELLG24KHTJ564,63276,2008.0,Q3,2008-07-01,2008-09-30,,-23451000.0,2871000.0,17756000.0,14858000.0,39431000.0,-13542000.0,-435768000.0,525525000.0,401108000.0,-188273000.0,-136896000.0,401108000.0,-188273000.0,-136896000.0,62397000.0,238098000.0,238098000.0,18472000.0,2914000.0,,,,-85300000.0,-58405000.0,-102351000.0,-24980000.0,-22889000.0,1772000.0
Mattel Inc,MAT,549300VELLG24KHTJ564,63276,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-28 14:13:31+00:00,-23451000.0,8710000.0,54655000.0,45215000.0,119444000.0,-5815000.0,-1031701000.0,980593000.0,442049000.0,-224001000.0,-666577000.0,442049000.0,-224001000.0,-666577000.0,-454344000.0,203235000.0,203235000.0,33735000.0,18279000.0,,,,-85300000.0,-138497000.0,-491354000.0,-65469000.0,18298000.0,4949000.0
Mattel Inc,MAT,549300VELLG24KHTJ564,63276,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-29 13:50:33+00:00,,5839000.0,36899000.0,30357000.0,80013000.0,7727000.0,-595933000.0,455068000.0,40941000.0,-35728000.0,-529681000.0,40941000.0,-35728000.0,-529681000.0,-516741000.0,-34863000.0,-34863000.0,15263000.0,15365000.0,,,,,-80092000.0,-389003000.0,-40489000.0,41187000.0,3177000.0
Mattel Inc,MAT,549300VELLG24KHTJ564,63276,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 14:21:10+00:00,-3299000.0,17765000.0,131333000.0,69503000.0,152065000.0,-36119000.0,222125000.0,453090000.0,-376090000.0,-33529000.0,945041000.0,-376090000.0,-33529000.0,945041000.0,499303000.0,528704000.0,528704000.0,24382000.0,67622000.0,,,-271353000.0,,-120487000.0,-625449000.0,,88906000.0,1351000.0
Mattel Inc,MAT,549300VELLG24KHTJ564,63276,2009.0,Q4,2009-10-01,2009-12-31,,-3299000.0,4046000.0,131333000.0,69503000.0,39253000.0,-42602000.0,913150000.0,,-397088000.0,-30879000.0,1263848000.0,-397088000.0,-30879000.0,1263848000.0,793279000.0,328379000.0,328379000.0,-20980000.0,47021000.0,,,-271353000.0,,-30035000.0,-172756000.0,,1558000.0,897000.0
Mattel Inc,MAT,549300VELLG24KHTJ564,63276,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-27 14:00:20+00:00,,13719000.0,,,112812000.0,6483000.0,-691025000.0,453090000.0,20998000.0,-2650000.0,-318807000.0,20998000.0,-2650000.0,-318807000.0,-293976000.0,200325000.0,200325000.0,45362000.0,20601000.0,,,,,-90452000.0,-452693000.0,,87348000.0,454000.0
Mattel Inc,MAT,549300VELLG24KHTJ564,63276,2009.0,Q3TTM,2008-10-01,2009-09-30,,-34945000.0,17056000.0,63692000.0,32251000.0,153416000.0,-127000.0,183223000.0,453090000.0,-816746000.0,-90321000.0,784108000.0,-816746000.0,-90321000.0,784108000.0,-123086000.0,376726000.0,376726000.0,53687000.0,18322000.0,,,-268854000.0,,-150763000.0,-994203000.0,-25101000.0,92683000.0,2704000.0
Mattel Inc,MAT,549300VELLG24KHTJ564,63276,2009.0,Q3,2009-07-01,2009-09-30,,,3845000.0,,,36908000.0,3660000.0,-264809000.0,159128000.0,-122308000.0,-11322000.0,31003000.0,-122308000.0,-11322000.0,31003000.0,-98967000.0,229842000.0,229842000.0,25217000.0,19560000.0,,,,,-28647000.0,-300996000.0,,17109000.0,216000.0
Mattel Inc,MAT,549300VELLG24KHTJ564,63276,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-28 15:02:09+00:00,,9874000.0,,,75904000.0,2823000.0,-426216000.0,293962000.0,143306000.0,8672000.0,-349810000.0,143306000.0,8672000.0,-349810000.0,-195009000.0,-29517000.0,-29517000.0,20145000.0,1041000.0,,,,,-61805000.0,-151697000.0,,70239000.0,238000.0
Mattel Inc,MAT,549300VELLG24KHTJ564,63276,2009.0,Q2TTM,2008-07-01,2009-06-30,,-58396000.0,16082000.0,81448000.0,47109000.0,155939000.0,-17329000.0,12264000.0,819487000.0,-293330000.0,-267272000.0,616209000.0,-293330000.0,-267272000.0,616209000.0,38278000.0,384982000.0,384982000.0,46942000.0,1676000.0,,,-268854000.0,-85300000.0,-180521000.0,-795558000.0,-50081000.0,52685000.0,4260000.0
