company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,extraordinaryincome,incometaxexpense,investmentsecuritiesinterestincome,longtermdebtinterestexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,nonoperatingincome,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,otherinterestexpense,otherinterestincome,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,policyacquisitioncosts,preferreddividends,provisionforcreditlosses,restructuringcharge,salariesandemployeebenefitsexpense,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,trustfeeincome,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 16:21:31+00:00,314000000.0,2.19,2.19,,2.17,-180000000.0,987000000.0,5670000000.0,3425000000.0,189000000.0,2058000000.0,2228000000.0,10000000.0,2039000000.0,19000000.0,2245000000.0,993000000.0,792000000.0,,,,,,,1800000000.0,8261000000.0,268000000.0,0.0,-11000000.0,404000000.0,4126000000.0,3425000000.0,5670000000.0,8094000000.0,9053000000.0,3215000000.0,11298000000.0,,931100000.0,923199000.0,930676000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2008.0,Q3,2008-07-01,2008-09-30,2009-11-06 16:21:23+00:00,118000000.0,0.52,0.26,,0.26,,-42000000.0,1312000000.0,631000000.0,62000000.0,307000000.0,307000000.0,0.0,303000000.0,4000000.0,681000000.0,321000000.0,223000000.0,,,,,,842000000.0,1326000000.0,1861000000.0,133000000.0,0.0,23000000.0,111000000.0,1248000000.0,631000000.0,1312000000.0,3319000000.0,2926000000.0,265000000.0,3607000000.0,,582700000.0,1143445000.0,1147586000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 16:48:41+00:00,123000000.0,0.27,0.27,,0.27,,312000000.0,1065000000.0,677000000.0,75000000.0,315000000.0,309000000.0,0.0,315000000.0,0.0,388000000.0,304000000.0,156000000.0,,6000000.0,,,,74000000.0,558000000.0,2759000000.0,131000000.0,0.0,13000000.0,149000000.0,1403000000.0,677000000.0,1065000000.0,2743000000.0,2989000000.0,621000000.0,3377000000.0,,1166700000.0,1135153000.0,1142936000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 16:30:16+00:00,426000000.0,-1.16,-1.16,,-1.16,,-1395000000.0,3508000000.0,593000000.0,214000000.0,-1083000000.0,-813000000.0,-270000000.0,-1368000000.0,2000000.0,2915000000.0,1240000000.0,-4333000000.0,,,,,,2677000000.0,1948000000.0,6169000000.0,393000000.0,283000000.0,332000000.0,383000000.0,4700000000.0,593000000.0,3508000000.0,9304000000.0,4513000000.0,-2208000000.0,7428000000.0,,1179300000.0,1178907000.0,1178907000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2009.0,Q2,2009-04-01,2009-06-30,2009-11-06 16:21:23+00:00,108000000.0,0.15,0.15,,0.15,,12000000.0,845000000.0,145000000.0,49000000.0,410000000.0,501000000.0,-182000000.0,176000000.0,-2000000.0,700000000.0,311000000.0,-212000000.0,,91000000.0,,,,,650000000.0,2469000000.0,106000000.0,236000000.0,61000000.0,6000000.0,1153000000.0,145000000.0,845000000.0,2383000000.0,2257000000.0,513000000.0,2957000000.0,,1173300000.0,1171081000.0,1174466000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2009.0,Q2YTD,2009-01-01,2009-06-30,,215000000.0,0.43,0.43,,0.43,,173000000.0,1824000000.0,349000000.0,93000000.0,780000000.0,912000000.0,-223000000.0,498000000.0,-1000000.0,1475000000.0,608000000.0,-1785000000.0,,91000000.0,,,,,1897000000.0,4793000000.0,213000000.0,283000000.0,120000000.0,84000000.0,2322000000.0,349000000.0,1824000000.0,4663000000.0,3624000000.0,1085000000.0,5099000000.0,616000000.0,1173300000.0,1171081000.0,1174466000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2010.0,FY,2010-01-01,2010-12-31,2012-02-28 16:30:16+00:00,421000000.0,2.06,2.06,,2.05,,1047000000.0,3470000000.0,545000000.0,271000000.0,2581000000.0,2647000000.0,-66000000.0,2518000000.0,63000000.0,2925000000.0,1313000000.0,1221000000.0,,,,,,,2347000000.0,9670000000.0,377000000.0,0.0,11000000.0,167000000.0,5215000000.0,545000000.0,3470000000.0,10111000000.0,10891000000.0,3694000000.0,13816000000.0,,1222300000.0,1212630000.0,1216214000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2010.0,Q4,2010-10-01,2010-12-31,,115000000.0,0.55,0.55,,0.54,,265000000.0,866000000.0,146000000.0,88000000.0,694000000.0,705000000.0,-21000000.0,678000000.0,21000000.0,720000000.0,365000000.0,323000000.0,,10000000.0,-5000000.0,,,,636000000.0,2694000000.0,104000000.0,,-22000000.0,64000000.0,1417000000.0,146000000.0,866000000.0,2789000000.0,3017000000.0,970000000.0,3737000000.0,,1222300000.0,1212630000.0,1216214000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2010.0,Q3,2010-07-01,2010-09-30,2011-11-08 16:33:04+00:00,111000000.0,0.51,0.51,,0.51,,220000000.0,859000000.0,141000000.0,63000000.0,611000000.0,614000000.0,-3000000.0,628000000.0,-17000000.0,718000000.0,337000000.0,216000000.0,,,,0.0,,,603000000.0,2501000000.0,94000000.0,,-22000000.0,71000000.0,1344000000.0,141000000.0,859000000.0,2623000000.0,2717000000.0,834000000.0,3435000000.0,,1231400000.0,1210534000.0,1212684000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2010.0,Q3YTD,2010-01-01,2010-09-30,,306000000.0,1.51,1.51,,1.51,,782000000.0,2604000000.0,399000000.0,183000000.0,1887000000.0,1942000000.0,-45000000.0,1840000000.0,42000000.0,2205000000.0,948000000.0,898000000.0,,-10000000.0,5000000.0,,,,1711000000.0,6976000000.0,273000000.0,,33000000.0,103000000.0,3798000000.0,399000000.0,2604000000.0,7322000000.0,7874000000.0,2724000000.0,10079000000.0,,1231400000.0,1210534000.0,1212684000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2010.0,Q2,2010-04-01,2010-06-30,2011-08-08 16:34:53+00:00,98000000.0,0.54,0.54,,0.54,,304000000.0,862000000.0,140000000.0,68000000.0,692000000.0,702000000.0,0.0,658000000.0,34000000.0,722000000.0,305000000.0,305000000.0,,-10000000.0,,0.0,,,489000000.0,2282000000.0,90000000.0,,20000000.0,-1000000.0,1234000000.0,140000000.0,862000000.0,2283000000.0,2587000000.0,1006000000.0,3309000000.0,,1218500000.0,1204557000.0,1208830000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2010.0,Q2YTD,2010-01-01,2010-06-30,,195000000.0,1.0,1.0,,1.0,,562000000.0,1745000000.0,258000000.0,120000000.0,1276000000.0,1328000000.0,-42000000.0,1212000000.0,59000000.0,1487000000.0,611000000.0,682000000.0,,-10000000.0,5000000.0,,,,1108000000.0,4475000000.0,179000000.0,,55000000.0,32000000.0,2454000000.0,258000000.0,1745000000.0,4699000000.0,5157000000.0,1890000000.0,6644000000.0,,1218500000.0,1204557000.0,1208830000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2010.0,Q1,2010-01-01,2010-03-31,2011-05-09 16:32:37+00:00,97000000.0,0.46,0.46,,0.46,,258000000.0,883000000.0,118000000.0,52000000.0,584000000.0,626000000.0,-42000000.0,554000000.0,25000000.0,765000000.0,306000000.0,377000000.0,,,5000000.0,,,,619000000.0,2193000000.0,89000000.0,,35000000.0,33000000.0,1220000000.0,118000000.0,883000000.0,2416000000.0,2570000000.0,884000000.0,3335000000.0,,1204300000.0,1202533000.0,1206286000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2011.0,FY,2011-01-01,2011-12-31,2012-02-28 16:30:16+00:00,428000000.0,2.03,2.03,,2.03,,1048000000.0,3588000000.0,604000000.0,261000000.0,2569000000.0,2569000000.0,0.0,2516000000.0,53000000.0,2984000000.0,1439000000.0,1154000000.0,,,,,,,2612000000.0,10542000000.0,416000000.0,,1000000.0,180000000.0,5726000000.0,604000000.0,3588000000.0,11062000000.0,11696000000.0,3617000000.0,14680000000.0,,1239400000.0,1220804000.0,1223026000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2011.0,Q4,2011-10-01,2011-12-31,,106000000.0,0.41,0.41,,0.41,,211000000.0,925000000.0,145000000.0,75000000.0,478000000.0,478000000.0,,505000000.0,-27000000.0,780000000.0,372000000.0,194000000.0,,,,,,,716000000.0,2499000000.0,96000000.0,,23000000.0,14000000.0,1382000000.0,145000000.0,925000000.0,2761000000.0,2693000000.0,689000000.0,3473000000.0,,1239400000.0,1220804000.0,1223026000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2011.0,Q3,2011-07-01,2011-09-30,2012-11-08 16:33:08+00:00,106000000.0,0.53,0.53,,0.53,,281000000.0,928000000.0,153000000.0,57000000.0,664000000.0,664000000.0,,651000000.0,13000000.0,775000000.0,344000000.0,198000000.0,,,,0.0,,,583000000.0,2689000000.0,100000000.0,0.0,-22000000.0,92000000.0,1457000000.0,153000000.0,928000000.0,2739000000.0,2887000000.0,945000000.0,3662000000.0,,1228300000.0,1214126000.0,1215527000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2011.0,Q3YTD,2011-01-01,2011-09-30,,322000000.0,1.62,1.62,,1.62,,837000000.0,2663000000.0,459000000.0,186000000.0,2091000000.0,2091000000.0,,2011000000.0,80000000.0,2204000000.0,1067000000.0,960000000.0,,,,,,,1896000000.0,8043000000.0,320000000.0,,-22000000.0,166000000.0,4344000000.0,459000000.0,2663000000.0,8301000000.0,9003000000.0,2928000000.0,11207000000.0,,1228300000.0,1214126000.0,1215527000.0
