company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,netincomediscontinued,netincreaseinfedfundssold,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2009.0,Q3,2009-07-01,2009-09-30,,119000000.0,71000000.0,193000000.0,,20000000.0,938000000.0,6000000.0,-109000000.0,,3506000000.0,-6148000000.0,2190000000.0,-120000000.0,104000000.0,23000000.0,3386000000.0,-6044000000.0,2213000000.0,-425000000.0,2378000000.0,-2457000000.0,-2476000000.0,-19000000.0,-221000000.0,3388000000.0,2579000000.0,1517000000.0,-112000000.0,147000000.0,-9203000000.0,-95000000.0,-1097000000.0,-139000000.0,,1853000000.0,1000000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2009.0,Q2,2009-04-01,2009-06-30,,1245000000.0,176000000.0,176000000.0,,45000000.0,224000000.0,1351000000.0,1490000000.0,,-2884000000.0,2157000000.0,825000000.0,-80000000.0,135000000.0,-87000000.0,-2964000000.0,2292000000.0,738000000.0,111000000.0,-5062000000.0,410000000.0,319000000.0,-91000000.0,-1149000000.0,45000000.0,834000000.0,13150000000.0,-137000000.0,61000000.0,-14776000000.0,-61000000.0,1650000000.0,-10000000.0,-3000000000.0,4991000000.0,2000000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2011.0,FY,2011-01-01,2011-12-31,2013-02-28 16:48:10+00:00,776000000.0,586000000.0,776000000.0,,-298000000.0,-958000000.0,25000000.0,5042000000.0,,78765000000.0,-80178000000.0,2211000000.0,,,,78765000000.0,-80178000000.0,2211000000.0,500000000.0,74252000000.0,,,,659000000.0,2392000000.0,3372000000.0,-70787000000.0,-593000000.0,1000000.0,-51754000000.0,-642000000.0,-2460000000.0,-873000000.0,,42333000000.0,13000000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2011.0,Q4,2011-10-01,2011-12-31,,199000000.0,195000000.0,219000000.0,,-4000000.0,2379000000.0,7000000.0,-614000000.0,,5640000000.0,-11046000000.0,2894000000.0,,,,5640000000.0,-11046000000.0,2894000000.0,-2516000000.0,8635000000.0,-2011000000.0,-2011000000.0,,132000000.0,2284000000.0,-936000000.0,-21574000000.0,-158000000.0,23000000.0,-12548000000.0,-62000000.0,-1223000000.0,-71000000.0,,23006000000.0,
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-08 16:33:08+00:00,577000000.0,391000000.0,557000000.0,,-294000000.0,-3337000000.0,18000000.0,5656000000.0,0.0,73125000000.0,-69132000000.0,-683000000.0,,,,73125000000.0,-69132000000.0,-683000000.0,3016000000.0,65617000000.0,2011000000.0,2011000000.0,,527000000.0,108000000.0,4308000000.0,-49213000000.0,-435000000.0,-22000000.0,-39206000000.0,-580000000.0,-1237000000.0,-802000000.0,,19327000000.0,13000000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2011.0,Q3TTM,2010-10-01,2011-09-30,,865000000.0,665000000.0,773000000.0,,-285000000.0,-3405000000.0,23000000.0,6997000000.0,,70623000000.0,-67877000000.0,478000000.0,,59000000.0,,70623000000.0,-67818000000.0,478000000.0,2998000000.0,61094000000.0,2705000000.0,2694000000.0,-11000000.0,93000000.0,460000000.0,5683000000.0,-51997000000.0,-547000000.0,-44000000.0,-47670000000.0,-690000000.0,-1823000000.0,-804000000.0,,32366000000.0,21000000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2011.0,Q3,2011-07-01,2011-09-30,,160000000.0,44000000.0,191000000.0,,-306000000.0,-2431000000.0,6000000.0,4431000000.0,,20225000000.0,-17108000000.0,-1680000000.0,,,,20225000000.0,-17108000000.0,-1680000000.0,1131000000.0,15041000000.0,651000000.0,651000000.0,,407000000.0,-69000000.0,782000000.0,-11484000000.0,-161000000.0,-22000000.0,-11419000000.0,-213000000.0,595000000.0,-469000000.0,,5593000000.0,8000000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2011.0,Q2YTD,2011-01-01,2011-06-30,2012-08-08 16:32:27+00:00,417000000.0,347000000.0,366000000.0,,12000000.0,-906000000.0,12000000.0,1225000000.0,0.0,52900000000.0,-52024000000.0,997000000.0,,,,52900000000.0,-52024000000.0,997000000.0,1885000000.0,50576000000.0,1360000000.0,1360000000.0,,120000000.0,177000000.0,3526000000.0,-37729000000.0,-274000000.0,0.0,-27787000000.0,-367000000.0,-1832000000.0,-333000000.0,,13734000000.0,5000000.0
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2011.0,Q2,2011-04-01,2011-06-30,,279000000.0,245000000.0,183000000.0,,5000000.0,-506000000.0,7000000.0,23000000.0,,36470000000.0,-35544000000.0,571000000.0,,,,36470000000.0,-35544000000.0,571000000.0,1502000000.0,34870000000.0,735000000.0,735000000.0,,1243000000.0,159000000.0,1572000000.0,-31677000000.0,-162000000.0,,-11646000000.0,-203000000.0,433000000.0,-273000000.0,,6739000000.0,
Bank of New York Mellon Corp,BK,HPFHU0OQ28E4N0NFVK49,1390777,2011.0,Q1,2011-01-01,2011-03-31,2012-05-09 16:32:08+00:00,138000000.0,102000000.0,183000000.0,,7000000.0,-400000000.0,5000000.0,1202000000.0,,16430000000.0,-16480000000.0,426000000.0,,,,16430000000.0,-16480000000.0,426000000.0,383000000.0,15706000000.0,625000000.0,625000000.0,,-1123000000.0,18000000.0,1954000000.0,-6052000000.0,-112000000.0,0.0,-16141000000.0,-164000000.0,-2265000000.0,-60000000.0,,6995000000.0,5000000.0
