company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,otheroperatingexpenses,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2008.0,FY,2007-12-30,2009-01-03,2011-02-17 11:07:55+00:00,4.12,4.12,1.2,4.07,117800000.0,243600000.0,243600000.0,236700000.0,6900000.0,1612800000.0,2934700000.0,3600000.0,2800000.0,,,933100000.0,1612800000.0,1321900000.0,33800000.0,933100000.0,388800000.0,-31000000.0,357800000.0,2934700000.0,57500000.0,57500000.0,58100000.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2009.0,FY,2009-01-04,2010-01-02,2012-02-16 09:34:58+00:00,2.33,2.33,1.2,2.32,62700000.0,143700000.0,143700000.0,134200000.0,9500000.0,1345700000.0,2420800000.0,1100000.0,2300000.0,,,824400000.0,1345700000.0,1075100000.0,47700000.0,824400000.0,250700000.0,-45400000.0,205300000.0,2420800000.0,57600000.0,57700000.0,57900000.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2009.0,Q3,2009-07-05,2009-10-03,2010-10-22 11:16:27+00:00,0.44,0.44,0.3,0.44,10300000.0,26400000.0,26400000.0,25400000.0,1000000.0,332600000.0,587800000.0,600000.0,200000.0,,,206500000.0,332600000.0,255200000.0,12800000.0,206500000.0,48700000.0,-12600000.0,36100000.0,587800000.0,57700000.0,57700000.0,57800000.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2009.0,Q2,2009-04-05,2009-07-04,2010-07-28 15:25:01+00:00,0.65,0.65,0.3,0.65,17600000.0,42000000.0,42000000.0,37400000.0,4600000.0,345000000.0,615600000.0,-200000.0,1100000.0,,,200300000.0,345000000.0,270600000.0,11600000.0,200300000.0,70300000.0,-10500000.0,59800000.0,615600000.0,57500000.0,57700000.0,57900000.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2010.0,Q4,2010-10-03,2011-01-01,,1.0,1.0,0.32,0.98,24500000.0,59800000.0,59800000.0,57900000.0,1900000.0,390500000.0,718400000.0,900000.0,600000.0,,,231000000.0,390500000.0,327900000.0,14100000.0,231000000.0,96900000.0,-13500000.0,83400000.0,718400000.0,57900000.0,58000000.0,58400000.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2010.0,FY,2010-01-03,2011-01-01,2013-02-14 10:49:32+00:00,3.22,3.22,1.22,3.19,87600000.0,193000000.0,193000000.0,186500000.0,6500000.0,1456000000.0,2681500000.0,3200000.0,800000.0,,,894100000.0,1456000000.0,1225500000.0,54800000.0,894100000.0,331400000.0,-54000000.0,277400000.0,2681500000.0,57900000.0,58000000.0,58400000.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2010.0,Q3YTD,2010-01-03,2010-10-02,,2.22,2.22,0.9,2.21,63100000.0,133200000.0,133200000.0,128600000.0,4600000.0,1065500000.0,1963100000.0,2300000.0,200000.0,,,663100000.0,1065500000.0,897600000.0,40700000.0,663100000.0,234500000.0,-40500000.0,194000000.0,1963100000.0,58100000.0,58132616.0,58402518.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2010.0,Q3,2010-07-04,2010-10-02,2011-10-20 14:28:23+00:00,0.8,0.8,0.3,0.8,23800000.0,48300000.0,48300000.0,46500000.0,1800000.0,364100000.0,670300000.0,1100000.0,700000.0,,,222400000.0,364100000.0,306200000.0,13500000.0,222400000.0,83800000.0,-12800000.0,71000000.0,670300000.0,58100000.0,58132616.0,58402518.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2010.0,Q2YTD,2010-01-03,2010-07-03,,1.42,1.42,0.6,1.41,39300000.0,84900000.0,84900000.0,82100000.0,2800000.0,701400000.0,1292800000.0,1200000.0,-500000.0,,,440700000.0,701400000.0,591400000.0,27200000.0,440700000.0,150700000.0,-27700000.0,123000000.0,1292800000.0,58100000.0,58017075.0,58298596.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2010.0,Q2,2010-04-04,2010-07-03,2011-07-21 12:29:55+00:00,0.78,0.78,0.3,0.78,20300000.0,46900000.0,46900000.0,45300000.0,1600000.0,356000000.0,661500000.0,500000.0,-800000.0,,,224800000.0,356000000.0,305500000.0,13200000.0,224800000.0,80700000.0,-14000000.0,66700000.0,661500000.0,58100000.0,58017075.0,58298596.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2010.0,Q1,2010-01-03,2010-04-03,2011-04-21 11:02:33+00:00,0.64,0.64,0.3,0.63,19000000.0,38000000.0,38000000.0,36800000.0,1200000.0,345400000.0,631300000.0,700000.0,300000.0,,,215900000.0,345400000.0,285900000.0,14000000.0,215900000.0,70000000.0,-13700000.0,56300000.0,631300000.0,57500000.0,57800000.0,58300000.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2011.0,Q4,2011-10-02,2011-12-31,,1.28,1.28,0.34,1.26,36200000.0,76100000.0,76100000.0,74300000.0,1800000.0,414200000.0,772100000.0,900000.0,-1000000.0,,,232000000.0,414200000.0,357900000.0,13500000.0,232000000.0,125900000.0,-14500000.0,111400000.0,772100000.0,58200000.0,58200000.0,58700000.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2011.0,FY,2011-01-02,2011-12-31,2014-02-14 14:16:25+00:00,4.75,4.75,1.3,4.71,133700000.0,283800000.0,283800000.0,276300000.0,7500000.0,1567700000.0,2978500000.0,4600000.0,-1000000.0,,-18000000.0,953700000.0,1567700000.0,1410800000.0,61200000.0,935700000.0,475100000.0,-62200000.0,412900000.0,2978500000.0,58200000.0,58200000.0,58700000.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2011.0,Q3YTD,2011-01-02,2011-10-01,,3.47,3.47,0.96,3.45,97500000.0,207700000.0,207700000.0,202000000.0,5700000.0,1153500000.0,2206400000.0,3700000.0,,,-18000000.0,721700000.0,1153500000.0,1052900000.0,47700000.0,703700000.0,349200000.0,-47700000.0,301500000.0,2206400000.0,58400000.0,52165001.0,58679875.0
Snap-On Inc,SNA,HHWAT5TDOYZMM26KKQ73,91440,2011.0,Q3TTM,2010-10-03,2011-10-01,,4.47,4.47,1.28,4.43,122000000.0,267500000.0,267500000.0,259900000.0,7600000.0,1544000000.0,2924800000.0,4600000.0,600000.0,,-18000000.0,952700000.0,1544000000.0,1380800000.0,61800000.0,934700000.0,446100000.0,-61200000.0,384900000.0,2924800000.0,58400000.0,52165001.0,58679875.0
