company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,investmentsecuritiesinterestincome,longtermdebtinterestexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,nonoperatingincome,otheradjustmentstonetincometocommon,othergains,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,preferreddividends,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Public Storage,PSA,,1393311,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 21:07:05+00:00,1.03,1.03,,85670000.0,1.03,,,7289000.0,243951000.0,242832000.0,,173493000.0,,-7289000.0,120975000.0,30253000.0,,12350000.0,30573000.0,412087000.0,16147000.0,,58108000.0,7289000.0,,222792000.0,442340000.0,212259000.0,435051000.0,168400000.0,168373000.0,169043000.0
Public Storage,PSA,,1393311,2010.0,FY,2010-01-01,2010-12-31,2013-02-25 21:39:21+00:00,2.36,2.36,3.05,353245000.0,2.35,994000.0,,30225000.0,696114000.0,688354000.0,7760000.0,399178000.0,24076000.0,-30225000.0,494715000.0,-3912000.0,,32226000.0,29844000.0,1613777000.0,72176000.0,,240634000.0,30225000.0,,921130000.0,1609865000.0,658510000.0,1579640000.0,169100000.0,168877000.0,169772000.0
Public Storage,PSA,,1393311,2011.0,Q4,2011-10-01,2011-12-31,,0.97,0.97,-0.95,89539000.0,0.96,,7115000.0,5443000.0,220437000.0,218623000.0,1814000.0,164223000.0,286000.0,1672000.0,129367000.0,6840000.0,,-263841000.0,-4983000.0,510364000.0,20558000.0,-55806000.0,319769000.0,5443000.0,7115000.0,239464000.0,461398000.0,223606000.0,463070000.0,169700000.0,169657000.0,170750000.0
Public Storage,PSA,,1393311,2011.0,FY,2011-01-01,2011-12-31,2014-02-25 21:07:01+00:00,3.31,3.31,,357969000.0,3.29,2186000.0,32333000.0,24222000.0,836459000.0,833143000.0,3316000.0,561747000.0,12617000.0,8111000.0,523113000.0,62218000.0,,1633000.0,,1735888000.0,89806000.0,,260462000.0,24222000.0,32333000.0,973074000.0,1798106000.0,833143000.0,1806217000.0,169700000.0,169657000.0,170750000.0
Public Storage,PSA,,1393311,2011.0,Q3YTD,2011-01-01,2011-09-30,,2.34,2.34,0.95,268430000.0,2.33,2186000.0,25218000.0,18779000.0,616022000.0,614520000.0,1502000.0,397524000.0,12331000.0,6439000.0,393746000.0,55378000.0,,265474000.0,4983000.0,1225524000.0,69248000.0,55806000.0,-59307000.0,18779000.0,25218000.0,733610000.0,1336708000.0,609537000.0,1343147000.0,170900000.0,169728000.0,170830000.0
Public Storage,PSA,,1393311,2011.0,Q3,2011-07-01,2011-09-30,2012-11-08 20:39:46+00:00,0.69,0.69,0.95,90821000.0,0.69,2186000.0,6875000.0,5862000.0,194513000.0,192872000.0,1641000.0,117950000.0,3374000.0,1013000.0,128787000.0,-12984000.0,,341000.0,4983000.0,445563000.0,23909000.0,,72848000.0,5862000.0,6875000.0,245703000.0,432579000.0,187889000.0,433592000.0,170900000.0,169728000.0,170830000.0
Public Storage,PSA,,1393311,2011.0,Q2YTD,2011-01-01,2011-06-30,,1.65,1.65,,177609000.0,1.64,,18343000.0,12917000.0,421509000.0,421648000.0,-139000.0,279574000.0,8957000.0,5426000.0,264959000.0,68362000.0,,265133000.0,,779961000.0,45339000.0,55806000.0,-132155000.0,12917000.0,18343000.0,487907000.0,904129000.0,421648000.0,909555000.0,168600000.0,169492000.0,170401000.0
Public Storage,PSA,,1393311,2012.0,Q4,2012-10-01,2012-12-31,,1.22,1.22,-3.3,92586000.0,1.22,,5435000.0,4486000.0,272563000.0,272092000.0,471000.0,209543000.0,1192000.0,949000.0,110728000.0,26590000.0,,840000.0,,469694000.0,21827000.0,,60988000.0,4486000.0,5435000.0,225141000.0,496284000.0,272092000.0,497233000.0,170400000.0,170562000.0,171664000.0
Public Storage,PSA,,1393311,2012.0,FY,2012-01-01,2012-12-31,2014-02-25 21:07:01+00:00,3.93,3.93,,357781000.0,3.9,,22074000.0,19813000.0,943035000.0,930161000.0,12874000.0,669694000.0,3777000.0,2261000.0,517641000.0,55918000.0,,2627000.0,,1842504000.0,95100000.0,,266937000.0,19813000.0,22074000.0,970522000.0,1898422000.0,930161000.0,1900683000.0,170400000.0,170562000.0,171664000.0
Public Storage,PSA,,1393311,2012.0,Q3YTD,2012-01-01,2012-09-30,,2.71,2.71,3.3,265195000.0,2.68,,16639000.0,15327000.0,670472000.0,658069000.0,12403000.0,460151000.0,2585000.0,1312000.0,406913000.0,29328000.0,,1787000.0,,1372810000.0,73273000.0,,205949000.0,15327000.0,16639000.0,745381000.0,1402138000.0,658069000.0,1403450000.0,170100000.0,170576000.0,171700000.0
