company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Progressive Corp,PGR,,80661,2007.0,FY,2007-01-01,2007-12-31,2010-03-01 12:58:58+00:00,284100000.0,106900000.0,,0.0,296900000.0,1021700000.0,,-1886900000.0,96100000.0,1791000000.0,-1886900000.0,96100000.0,1791000000.0,200000.0,1182500000.0,1182500000.0,-79400000.0,46300000.0,35100000.0,-1406500000.0,-16831500000.0,-136300000.0,,-1548400000.0,17026800000.0,2000000.0
Progressive Corp,PGR,,80661,2008.0,Q4,2008-10-01,2008-12-31,,61300000.0,27000000.0,,,-205000000.0,,,8100000.0,-122500000.0,110700000.0,8100000.0,-122500000.0,110700000.0,-3700000.0,159300000.0,159300000.0,68100000.0,10000000.0,671900000.0,,-4706000000.0,-23000000.0,,-1900000.0,3934300000.0,300000.0
Progressive Corp,PGR,,80661,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 11:13:25+00:00,249600000.0,99100000.0,,0.0,-210700000.0,,,-239600000.0,-1312500000.0,1549200000.0,-239600000.0,-1312500000.0,1549200000.0,-2900000.0,-70000000.0,-70000000.0,1481200000.0,38100000.0,177200000.0,-98300000.0,-9594700000.0,-98500000.0,0.0,-179400000.0,8202400000.0,1100000.0
Progressive Corp,PGR,,80661,2008.0,Q3,2008-07-01,2008-09-30,,62100000.0,24100000.0,,,-286900000.0,,,1300000.0,-503400000.0,498800000.0,1300000.0,-503400000.0,498800000.0,-3300000.0,-684200000.0,-684200000.0,1383700000.0,1300000.0,-469900000.0,,-1068600000.0,-24200000.0,,,1058500000.0,800000.0
Progressive Corp,PGR,,80661,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-09 10:55:52+00:00,188300000.0,72100000.0,,,-5700000.0,,,-247700000.0,-1190000000.0,1438500000.0,-247700000.0,-1190000000.0,1438500000.0,800000.0,-229300000.0,-229300000.0,1413100000.0,28100000.0,-494700000.0,-98300000.0,-4888700000.0,-75500000.0,,-177500000.0,4268100000.0,800000.0
Progressive Corp,PGR,,80661,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-10 10:13:11+00:00,126200000.0,48000000.0,,,281200000.0,,,-249000000.0,-686600000.0,939700000.0,-249000000.0,-686600000.0,939700000.0,4100000.0,454900000.0,454900000.0,29400000.0,26800000.0,-24800000.0,-98300000.0,-3820100000.0,-51300000.0,,-177500000.0,3209600000.0,0.0
Progressive Corp,PGR,,80661,2009.0,Q4,2009-10-01,2009-12-31,,51000000.0,22100000.0,,1700000.0,-279100000.0,,,-73000000.0,-12200000.0,71700000.0,-73000000.0,-12200000.0,71700000.0,-11800000.0,305000000.0,305000000.0,-27300000.0,14200000.0,-127400000.0,,-2438400000.0,-16300000.0,,-87200000.0,2569100000.0,800000.0
Progressive Corp,PGR,,80661,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 11:01:45+00:00,230800000.0,87300000.0,,1700000.0,84700000.0,0.0,,-152100000.0,-1178600000.0,1486800000.0,-152100000.0,-1178600000.0,1486800000.0,157800000.0,1057500000.0,1057500000.0,26500000.0,28500000.0,-246500000.0,0.0,-10670500000.0,-66600000.0,0.0,-180600000.0,9803200000.0,1800000.0
Progressive Corp,PGR,,80661,2009.0,Q3TTM,2008-10-01,2009-09-30,,241100000.0,92200000.0,,,158800000.0,,,-71000000.0,-1288900000.0,1525800000.0,-71000000.0,-1288900000.0,1525800000.0,165900000.0,911800000.0,911800000.0,121900000.0,24300000.0,552800000.0,,-12938100000.0,-73300000.0,,-95300000.0,11168400000.0,1300000.0
Progressive Corp,PGR,,80661,2009.0,Q3,2009-07-01,2009-09-30,,61500000.0,22000000.0,,,158100000.0,,,-66700000.0,-408500000.0,487000000.0,-66700000.0,-408500000.0,487000000.0,11800000.0,269900000.0,269900000.0,-24500000.0,6700000.0,139900000.0,,-2086500000.0,-12000000.0,,-73400000.0,1549900000.0,200000.0
