company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinvestmentincome,aoci,cashandequivalents,claimsandclaimexpenses,commonequity,deferredacquisitioncost,goodwill,intangibleassets,longtermdebt,netpremisesandequipment,otherassets,otherlongtermliabilities,othershorttermpayables,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,unearnedpremiumscredit,unearnedpremiumsdebit
Progressive Corp,PGR,,80661,2008.0,FY,,2008-12-31,2010-03-01 12:58:58+00:00,125700000.0,-51900000.0,2900000.0,,1569400000.0,414000000.0,,,2175500000.0,997100000.0,2415300000.0,6177400000.0,1506400000.0,,,2697800000.0,18250500000.0,4215300000.0,4215300000.0,4215300000.0,14035200000.0,18250500000.0,,11824500000.0,4175900000.0,2471000000.0
Progressive Corp,PGR,,80661,2008.0,Q3,,2008-09-30,2009-11-09 10:55:52+00:00,130300000.0,169500000.0,6600000.0,,1550500000.0,448800000.0,,,2175100000.0,1001500000.0,2403200000.0,6146300000.0,1558400000.0,,,2540600000.0,18639600000.0,4260600000.0,4260600000.0,4260600000.0,14379000000.0,18639600000.0,,12000900000.0,4499200000.0,2648300000.0
Progressive Corp,PGR,,80661,2008.0,Q2,,2008-06-30,2009-08-10 10:13:11+00:00,123100000.0,41700000.0,9900000.0,,1539000000.0,446200000.0,,,2174700000.0,1002700000.0,1291100000.0,7530600000.0,,,,3224800000.0,18914400000.0,4805500000.0,4805500000.0,4805500000.0,14108900000.0,18914400000.0,,13462800000.0,4403600000.0,2578600000.0
Progressive Corp,PGR,,80661,2009.0,FY,,2009-12-31,2011-03-01 11:13:25+00:00,110400000.0,453200000.0,160700000.0,,1612300000.0,402200000.0,,,2177200000.0,961300000.0,2255200000.0,6653000000.0,1297600000.0,,,3683100000.0,20049300000.0,5748600000.0,5748600000.0,5748600000.0,14300700000.0,20049300000.0,,13635400000.0,4172900000.0,2524100000.0
Progressive Corp,PGR,,80661,2009.0,Q3,,2009-09-30,2010-11-08 11:10:07+00:00,103600000.0,336100000.0,172500000.0,,1598400000.0,433600000.0,,,2176800000.0,974100000.0,2217800000.0,6352000000.0,1528700000.0,,,3561900000.0,20047400000.0,5496400000.0,5496400000.0,5496400000.0,14551000000.0,20047400000.0,,13441300000.0,4493500000.0,2704500000.0
Progressive Corp,PGR,,80661,2009.0,Q2,,2009-06-30,2010-08-05 10:40:11+00:00,113700000.0,-22500000.0,160700000.0,,1594200000.0,436300000.0,,,2176400000.0,989900000.0,2305300000.0,6198900000.0,1407700000.0,,,3353300000.0,19087600000.0,4925000000.0,4925000000.0,4925000000.0,14162600000.0,19087600000.0,,12474100000.0,4379600000.0,2607600000.0
Progressive Corp,PGR,,80661,2009.0,Q1,,2009-03-31,2010-05-10 09:48:42+00:00,112900000.0,-203700000.0,134500000.0,,1582000000.0,427400000.0,,,2175900000.0,997500000.0,2490600000.0,6077300000.0,1368000000.0,,,2925000000.0,18215100000.0,4303300000.0,4303300000.0,4303300000.0,13911800000.0,18215100000.0,,11474600000.0,4290600000.0,2577600000.0
Progressive Corp,PGR,,80661,2010.0,FY,,2010-12-31,2012-02-28 11:01:45+00:00,109300000.0,783700000.0,158900000.0,,1669500000.0,417200000.0,,,1958200000.0,932600000.0,2273200000.0,7071000000.0,1718400000.0,,,3595700000.0,21150300000.0,6048900000.0,6048900000.0,6048900000.0,15101400000.0,21150300000.0,,14432600000.0,4353800000.0,2826500000.0
Progressive Corp,PGR,,80661,2010.0,Q3,,2010-09-30,2011-11-07 09:55:19+00:00,107300000.0,799200000.0,155000000.0,,1640400000.0,450500000.0,,,1957800000.0,932000000.0,2862900000.0,6953400000.0,1689200000.0,,,4273600000.0,22024600000.0,6713200000.0,6713200000.0,6713200000.0,15311400000.0,22024600000.0,,14560500000.0,4711000000.0,2956400000.0
Progressive Corp,PGR,,80661,2010.0,Q2,,2010-06-30,2011-08-09 11:31:19+00:00,108900000.0,574600000.0,153800000.0,,1632100000.0,443100000.0,,,2178100000.0,947700000.0,2821400000.0,6885600000.0,1556200000.0,,,4097900000.0,21496600000.0,6304600000.0,6304600000.0,6304600000.0,15192000000.0,21496600000.0,,14181100000.0,4572100000.0,2840600000.0
Progressive Corp,PGR,,80661,2010.0,Q1,,2010-03-31,2011-05-09 11:19:00+00:00,113600000.0,648600000.0,155100000.0,,1620400000.0,428900000.0,,,2177700000.0,956300000.0,2424400000.0,6724500000.0,1482600000.0,,,3942500000.0,21048900000.0,6211500000.0,6211500000.0,6211500000.0,14837400000.0,21048900000.0,,14175100000.0,4452600000.0,2795500000.0
Progressive Corp,PGR,,80661,2011.0,FY,,2011-12-31,2013-02-26 11:06:58+00:00,105700000.0,692500000.0,155700000.0,,1619200000.0,433600000.0,,,2442100000.0,911300000.0,2827700000.0,7245800000.0,1770800000.0,,,3495000000.0,21844800000.0,5806700000.0,5806700000.0,5806700000.0,16038100000.0,21844800000.0,,14411200000.0,4579400000.0,2999600000.0
Progressive Corp,PGR,,80661,2011.0,Q3,,2011-09-30,2012-11-01 09:18:11+00:00,98300000.0,576600000.0,170300000.0,,1607300000.0,458100000.0,,,2443900000.0,910900000.0,3050800000.0,7256800000.0,1797200000.0,,,3632400000.0,22144300000.0,5816300000.0,5816300000.0,5816300000.0,16328000000.0,22144300000.0,,14288100000.0,4830100000.0,3167800000.0
Progressive Corp,PGR,,80661,2011.0,Q2,,2011-06-30,2012-08-02 09:14:10+00:00,104300000.0,863500000.0,149700000.0,,1650400000.0,451600000.0,,,1959100000.0,917100000.0,2429500000.0,7142600000.0,1652100000.0,,,3835600000.0,21807600000.0,6349500000.0,6349500000.0,6349500000.0,15458100000.0,21807600000.0,,14686100000.0,4704300000.0,3069300000.0
