company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Monsanto Co,MON,NONUZEX43GHIPSVDD938,1110783,2008.0,FY,2007-09-01,2008-08-31,2011-12-01 16:32:32+00:00,-1022000000.0,573000000.0,,77000000.0,246000000.0,,638000000.0,-125000000.0,-2042000000.0,2837000000.0,-125000000.0,-2042000000.0,2837000000.0,747000000.0,2044000000.0,2044000000.0,-26000000.0,312000000.0,90000000.0,,-442000000.0,-251000000.0,-918000000.0,-272000000.0,-361000000.0,59000000.0
Monsanto Co,MON,NONUZEX43GHIPSVDD938,1110783,2009.0,Q4,2009-06-01,2009-08-31,,-49000000.0,144000000.0,,9000000.0,1557000000.0,,20000000.0,-300000000.0,-135000000.0,1803000000.0,-300000000.0,-135000000.0,1803000000.0,1377000000.0,-240000000.0,-240000000.0,342000000.0,20000000.0,166000000.0,,-147000000.0,-12000000.0,-255000000.0,-105000000.0,-88000000.0,15000000.0
Monsanto Co,MON,NONUZEX43GHIPSVDD938,1110783,2009.0,FY,2008-09-01,2009-08-31,2011-12-01 16:46:27+00:00,-329000000.0,548000000.0,300000000.0,-105000000.0,-1001000000.0,,75000000.0,-1075000000.0,-723000000.0,2246000000.0,-1075000000.0,-723000000.0,2246000000.0,343000000.0,2116000000.0,2116000000.0,583000000.0,74000000.0,169000000.0,,-562000000.0,-79000000.0,-916000000.0,-264000000.0,-398000000.0,132000000.0
Monsanto Co,MON,NONUZEX43GHIPSVDD938,1110783,2009.0,Q3,2009-03-01,2009-05-31,,-7000000.0,134000000.0,,35000000.0,-1873000000.0,,,-174000000.0,-229000000.0,-1057000000.0,-174000000.0,-229000000.0,-1057000000.0,-1425000000.0,705000000.0,705000000.0,-23000000.0,25000000.0,-3000000.0,,-146000000.0,-34000000.0,-200000000.0,-17000000.0,-36000000.0,15000000.0
Monsanto Co,MON,NONUZEX43GHIPSVDD938,1110783,2009.0,Q3YTD,2008-09-01,2009-05-31,2010-07-02 10:42:39+00:00,-280000000.0,404000000.0,300000000.0,-114000000.0,-2558000000.0,,55000000.0,-775000000.0,-588000000.0,443000000.0,-775000000.0,-588000000.0,443000000.0,-1034000000.0,2356000000.0,2356000000.0,241000000.0,54000000.0,3000000.0,,-415000000.0,-67000000.0,-661000000.0,-159000000.0,-310000000.0,117000000.0
Monsanto Co,MON,NONUZEX43GHIPSVDD938,1110783,2009.0,Q2,2008-12-01,2009-02-28,,-271000000.0,135000000.0,,-12000000.0,-38000000.0,,24000000.0,-343000000.0,-369000000.0,1386000000.0,-343000000.0,-369000000.0,1386000000.0,662000000.0,1093000000.0,1093000000.0,196000000.0,17000000.0,5000000.0,,-137000000.0,-8000000.0,-197000000.0,-48000000.0,-199000000.0,102000000.0
Monsanto Co,MON,NONUZEX43GHIPSVDD938,1110783,2009.0,Q2YTD,2008-09-01,2009-02-28,2010-04-08 15:46:38+00:00,-273000000.0,270000000.0,300000000.0,-149000000.0,-685000000.0,,55000000.0,-601000000.0,-359000000.0,1500000000.0,-601000000.0,-359000000.0,1500000000.0,391000000.0,1651000000.0,1651000000.0,264000000.0,29000000.0,6000000.0,,-269000000.0,-33000000.0,-461000000.0,-142000000.0,-274000000.0,102000000.0
Monsanto Co,MON,NONUZEX43GHIPSVDD938,1110783,2009.0,Q1,2008-09-01,2008-11-30,2010-01-08 16:16:25+00:00,-2000000.0,135000000.0,300000000.0,-137000000.0,-647000000.0,,31000000.0,-258000000.0,10000000.0,114000000.0,-258000000.0,10000000.0,114000000.0,-271000000.0,558000000.0,558000000.0,68000000.0,12000000.0,1000000.0,,-132000000.0,-25000000.0,-264000000.0,-94000000.0,-75000000.0,
Monsanto Co,MON,NONUZEX43GHIPSVDD938,1110783,2010.0,Q4,2010-06-01,2010-08-31,,,156000000.0,,9000000.0,1752000000.0,,-499000000.0,-715000000.0,-211000000.0,1927000000.0,-715000000.0,-211000000.0,1927000000.0,1010000000.0,-167000000.0,-167000000.0,186000000.0,9000000.0,7000000.0,,-145000000.0,-32000000.0,-186000000.0,-46000000.0,-34000000.0,
Monsanto Co,MON,NONUZEX43GHIPSVDD938,1110783,2010.0,FY,2009-09-01,2010-08-31,2012-10-19 15:18:12+00:00,-57000000.0,602000000.0,,3000000.0,-659000000.0,,123000000.0,-1038000000.0,-834000000.0,1398000000.0,-1038000000.0,-834000000.0,1398000000.0,-471000000.0,1115000000.0,1115000000.0,340000000.0,99000000.0,50000000.0,,-622000000.0,-72000000.0,-755000000.0,-106000000.0,-532000000.0,
