company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,otherincome,otheroperatingexpenses,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Lennar Corp,LEN,,920760,2008.0,FY,2007-12-01,2008-11-30,2011-01-31 16:43:34+00:00,-7.01,-7.01,,-7.01,547557000.0,-1113182000.0,-1113182000.0,-1109085000.0,-4097000.0,4885250000.0,4575417000.0,,,-172387000.0,,-133097000.0,,129752000.0,4885250000.0,-309833000.0,27594000.0,-59156000.0,-3345000.0,-306488000.0,-259137000.0,-565625000.0,4575417000.0,158200000.0,158200000.0,158200000.0
Lennar Corp,LEN,,920760,2009.0,FY,2008-12-01,2009-11-30,2012-01-30 17:12:21+00:00,-2.45,-2.45,,-2.45,-314345000.0,-446059000.0,-446059000.0,-417147000.0,-28912000.0,3462034000.0,3119387000.0,,,-98425000.0,,,,117565000.0,3462034000.0,-342647000.0,70850000.0,-130917000.0,117565000.0,-460212000.0,-300192000.0,-760404000.0,3119387000.0,170300000.0,170300000.0,170300000.0
Lennar Corp,LEN,,920760,2009.0,Q3,2009-06-01,2009-08-31,2010-10-08 17:04:09+00:00,-0.97,-0.97,0.04,-0.97,2740000.0,-174384000.0,-174384000.0,-171605000.0,-2779000.0,770817000.0,720730000.0,,,-29269000.0,,,,27557000.0,770817000.0,-50087000.0,22428000.0,-42303000.0,27557000.0,-77644000.0,-94000000.0,-171644000.0,720730000.0,176900000.0,176900000.0,176900000.0
Lennar Corp,LEN,,920760,2010.0,FY,2009-12-01,2010-11-30,2013-07-31 17:59:43+00:00,0.51,0.51,,0.51,-25734000.0,120459000.0,120459000.0,95261000.0,25198000.0,2855729000.0,3074022000.0,,,36386000.0,,,,93926000.0,2855729000.0,218293000.0,70425000.0,4397000.0,93926000.0,124367000.0,-29642000.0,94725000.0,3074022000.0,186800000.0,186800000.0,186800000.0
Lennar Corp,LEN,,920760,2010.0,Q3,2010-06-01,2010-08-31,2011-10-11 16:40:23+00:00,0.16,0.16,0.04,0.16,605000.0,38830000.0,702492000.0,30035000.0,8795000.0,88169000.0,824975000.0,-663662000.0,,324000.0,,,,23994000.0,88169000.0,736806000.0,17668000.0,7629000.0,23994000.0,712812000.0,-9715000.0,703097000.0,824975000.0,187700000.0,187700000.0,187700000.0
Lennar Corp,LEN,,920760,2010.0,Q2,2010-03-01,2010-05-31,2011-07-11 16:48:58+00:00,0.21,0.21,0.04,0.21,-11030000.0,46584000.0,703273000.0,39719000.0,6865000.0,80397000.0,814481000.0,-656689000.0,,-253000.0,,,,22234000.0,80397000.0,734084000.0,17516000.0,-1838000.0,22234000.0,711850000.0,-19607000.0,692243000.0,814481000.0,189100000.0,189100000.0,189100000.0
Lennar Corp,LEN,,920760,2011.0,FY,2010-12-01,2011-11-30,2014-01-27 18:55:30+00:00,0.49,0.49,,0.48,-14570000.0,112544000.0,112544000.0,92199000.0,20345000.0,2896656000.0,3095385000.0,,,155781000.0,,,,95256000.0,2896656000.0,198729000.0,90650000.0,-70630000.0,95256000.0,103473000.0,-5499000.0,97974000.0,3095385000.0,188200000.0,188200000.0,192100000.0
Lennar Corp,LEN,,920760,2011.0,Q4,2011-09-01,2011-11-30,,0.16,0.16,-0.12,0.16,-13697000.0,25471000.0,-1715912000.0,30278000.0,-4807000.0,2630629000.0,952654000.0,1741383000.0,,71095000.0,,,,28530000.0,2630629000.0,-1677975000.0,21996000.0,-72203000.0,28530000.0,-1706505000.0,-23104000.0,-1729609000.0,952654000.0,188200000.0,188200000.0,192100000.0
Lennar Corp,LEN,,920760,2011.0,Q3,2011-06-01,2011-08-31,2012-10-10 16:20:45+00:00,0.11,0.11,0.04,0.11,579000.0,23500000.0,686409000.0,20730000.0,2770000.0,91948000.0,820193000.0,-662909000.0,,16683000.0,,,,22776000.0,91948000.0,728245000.0,24107000.0,-11057000.0,22776000.0,705469000.0,-18481000.0,686988000.0,820193000.0,188500000.0,188500000.0,188500000.0
Lennar Corp,LEN,,920760,2011.0,Q3YTD,2010-12-01,2011-08-31,,0.33,0.33,0.12,0.32,-873000.0,87073000.0,1828456000.0,61921000.0,25152000.0,266027000.0,2142731000.0,-1741383000.0,,84686000.0,,,,66726000.0,266027000.0,1876704000.0,68654000.0,1573000.0,66726000.0,1809978000.0,17605000.0,1827583000.0,2142731000.0,188500000.0,188500000.0,188500000.0
