company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Altria Group Inc,MO,XSGZFLO9YTNO9VCQV219,764180,2007.0,FY,2007-01-01,2007-12-31,2010-02-24 17:24:05+00:00,-2898000000.0,2241000000.0,410000000.0,232000000.0,,347000000.0,-130000000.0,423000000.0,280000000.0,-148000000.0,-2695000000.0,4580000000.0,-3531000000.0,-2560000000.0,5736000000.0,-3679000000.0,-5255000000.0,10316000000.0,1737000000.0,10137000000.0,3131000000.0,7006000000.0,1347000000.0,-370000000.0,108000000.0,636000000.0,-5000000.0,-386000000.0,-1117000000.0,0.0,486000000.0,0.0
Altria Group Inc,MO,XSGZFLO9YTNO9VCQV219,764180,2009.0,FY,2009-01-01,2009-12-31,2011-02-24 19:01:35+00:00,-10244000000.0,1606000000.0,942000000.0,291000000.0,,,297000000.0,89000000.0,4221000000.0,276000000.0,-9764000000.0,3443000000.0,,,,276000000.0,-9764000000.0,3443000000.0,-6045000000.0,3208000000.0,3208000000.0,,-353000000.0,,-31000000.0,-2693000000.0,-9000000.0,-273000000.0,-1341000000.0,,793000000.0,
Altria Group Inc,MO,XSGZFLO9YTNO9VCQV219,764180,2009.0,Q4,2009-10-01,2009-12-31,,,1606000000.0,942000000.0,73000000.0,,,730000000.0,32000000.0,,-536000000.0,-59000000.0,1436000000.0,,,,-536000000.0,-59000000.0,1436000000.0,841000000.0,726000000.0,726000000.0,,-93000000.0,,16000000.0,-706000000.0,,-101000000.0,138000000.0,,26000000.0,
Altria Group Inc,MO,XSGZFLO9YTNO9VCQV219,764180,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-28 09:32:02+00:00,-10244000000.0,,,218000000.0,,,-433000000.0,57000000.0,4221000000.0,812000000.0,-9705000000.0,2007000000.0,,,,812000000.0,-9705000000.0,2007000000.0,-6886000000.0,2482000000.0,2482000000.0,,-260000000.0,,-47000000.0,-1987000000.0,-9000000.0,-172000000.0,-1479000000.0,,767000000.0,
Altria Group Inc,MO,XSGZFLO9YTNO9VCQV219,764180,2009.0,Q3,2009-07-01,2009-09-30,,,,,71000000.0,,,844000000.0,6000000.0,-188000000.0,-1541000000.0,155000000.0,1872000000.0,,,,-1541000000.0,155000000.0,1872000000.0,486000000.0,882000000.0,882000000.0,,75000000.0,,1000000.0,-663000000.0,,-60000000.0,-696000000.0,,214000000.0,
Altria Group Inc,MO,XSGZFLO9YTNO9VCQV219,764180,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-26 09:56:09+00:00,-10244000000.0,,,147000000.0,,,-1277000000.0,51000000.0,4409000000.0,2353000000.0,-9860000000.0,135000000.0,,,,2353000000.0,-9860000000.0,135000000.0,-7372000000.0,1600000000.0,1600000000.0,,-335000000.0,,-48000000.0,-1324000000.0,-9000000.0,-112000000.0,-783000000.0,,553000000.0,
Altria Group Inc,MO,XSGZFLO9YTNO9VCQV219,764180,2009.0,Q2,2009-04-01,2009-06-30,,,,,69000000.0,,,-2704000000.0,40000000.0,-442000000.0,-1427000000.0,21000000.0,-1908000000.0,,,,-1427000000.0,21000000.0,-1908000000.0,-3314000000.0,1011000000.0,1011000000.0,,-284000000.0,,10000000.0,-663000000.0,-9000000.0,-69000000.0,-362000000.0,,89000000.0,
Altria Group Inc,MO,XSGZFLO9YTNO9VCQV219,764180,2009.0,Q1,2009-01-01,2009-03-31,2010-04-28 16:44:19+00:00,-10244000000.0,,,78000000.0,,,1427000000.0,11000000.0,4851000000.0,3780000000.0,-9881000000.0,2043000000.0,,,,3780000000.0,-9881000000.0,2043000000.0,-4058000000.0,589000000.0,589000000.0,,-51000000.0,,-58000000.0,-661000000.0,,-43000000.0,-421000000.0,,464000000.0,
Altria Group Inc,MO,XSGZFLO9YTNO9VCQV219,764180,2010.0,Q4,2010-10-01,2010-12-31,,,1884000000.0,1084000000.0,68000000.0,,,186000000.0,15000000.0,45000000.0,-607000000.0,176000000.0,1045000000.0,,,,-607000000.0,176000000.0,1045000000.0,614000000.0,920000000.0,920000000.0,,-129000000.0,,35000000.0,-793000000.0,,-52000000.0,126000000.0,,193000000.0,
Altria Group Inc,MO,XSGZFLO9YTNO9VCQV219,764180,2010.0,FY,2010-01-01,2010-12-31,2013-02-27 15:37:34+00:00,,1884000000.0,1084000000.0,276000000.0,,,42000000.0,104000000.0,1052000000.0,-2583000000.0,259000000.0,2767000000.0,,,,-2583000000.0,259000000.0,2767000000.0,443000000.0,3907000000.0,3907000000.0,,-1458000000.0,,115000000.0,-2958000000.0,,-168000000.0,-781000000.0,0.0,312000000.0,
