company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,grossppe,longtermdebt,longterminvestments,netinventory,netppe,noncurrentdeferredtaxliabilities,noncurrentnotereceivables,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Rowan Companies PLC,RDC,549300NEY1GYM14FVV75,85408,2008.0,FY,,2008-12-31,2010-03-01 17:28:17+00:00,235048000.0,484962000.0,213467000.0,1157884000.0,-217016000.0,222428000.0,,1077343000.0,231205000.0,50902000.0,,,4305412000.0,355560000.0,,551429000.0,3147528000.0,426848000.0,,,,,32177000.0,362026000.0,59466000.0,,1802022000.0,64922000.0,4548892000.0,2664882000.0,1369187000.0,744642000.0,2659816000.0,2659816000.0,1889076000.0,4548892000.0,32177000.0,1144434000.0,,2533000.0
Rowan Companies PLC,RDC,549300NEY1GYM14FVV75,85408,2009.0,FY,,2009-12-31,2011-03-01 10:22:50+00:00,124562000.0,343642000.0,214164000.0,1320409000.0,-150321000.0,639681000.0,,1092574000.0,164624000.0,38071000.0,,,4899894000.0,787490000.0,,451659000.0,3579485000.0,465700000.0,,,,,81412000.0,278862000.0,76744000.0,0.0,2169526000.0,64922000.0,5210694000.0,3113188000.0,1549797000.0,568272000.0,3110370000.0,3110370000.0,2100324000.0,5210694000.0,81412000.0,1532052000.0,0.0,1409000.0
Rowan Companies PLC,RDC,549300NEY1GYM14FVV75,85408,2009.0,Q3,,2009-09-30,2009-11-06 15:59:44+00:00,118275000.0,361167000.0,,1277839000.0,-217016000.0,681107000.0,,1083339000.0,197437000.0,43647000.0,1479000.0,60613000.0,4717846000.0,801162000.0,,480785000.0,3440007000.0,490135000.0,,49377000.0,,,91674000.0,427115000.0,84195000.0,,2108697000.0,64922000.0,5182582000.0,2977973000.0,1650901000.0,492103000.0,2972067000.0,2972067000.0,2210515000.0,5182582000.0,91674000.0,1718412000.0,,2953000.0
Rowan Companies PLC,RDC,549300NEY1GYM14FVV75,85408,2009.0,Q2,,2009-06-30,2009-08-10 16:51:26+00:00,119155000.0,368101000.0,,1238137000.0,-217016000.0,213861000.0,0.0,1087093000.0,237355000.0,45145000.0,4907000.0,69039000.0,4566015000.0,323099000.0,,521966000.0,3327878000.0,463316000.0,,45179000.0,,,25418000.0,374673000.0,96648000.0,,2030305000.0,64922000.0,4599017000.0,2903392000.0,1245721000.0,540557000.0,2897372000.0,2897372000.0,1701645000.0,4599017000.0,25418000.0,1161088000.0,0.0,3010000.0
Rowan Companies PLC,RDC,549300NEY1GYM14FVV75,85408,2010.0,FY,,2010-12-31,2012-02-27 21:36:09+00:00,81715000.0,269896000.0,124539000.0,1185880000.0,-145495000.0,437479000.0,0.0,1449793000.0,7748000.0,13043000.0,,,5530402000.0,1133745000.0,,,4344522000.0,435292000.0,,,1007924000.0,378797000.0,97682000.0,251145000.0,31646000.0,15265000.0,2449521000.0,52166000.0,6217457000.0,3755328000.0,1775253000.0,644965000.0,3752310000.0,3752310000.0,2465147000.0,6217457000.0,97682000.0,1820182000.0,0.0,1509000.0
Rowan Companies PLC,RDC,549300NEY1GYM14FVV75,85408,2010.0,Q3,,2010-09-30,2010-11-05 17:25:36+00:00,130930000.0,406984000.0,,1447040000.0,-150321000.0,892762000.0,,1445642000.0,108151000.0,41514000.0,7674000.0,54322000.0,5887745000.0,1147345000.0,,382746000.0,4440705000.0,406744000.0,,47840000.0,,22594000.0,92342000.0,416034000.0,86092000.0,218992000.0,2392236000.0,536932000.0,6562137000.0,3691543000.0,2029090000.0,908443000.0,3683571000.0,3683571000.0,2878566000.0,6562137000.0,92342000.0,1970123000.0,0.0,3986000.0
Rowan Companies PLC,RDC,549300NEY1GYM14FVV75,85408,2010.0,Q2,,2010-06-30,2010-08-04 17:06:21+00:00,109500000.0,352988000.0,,1403954000.0,-150321000.0,610939000.0,,1102071000.0,137643000.0,42253000.0,11441000.0,59887000.0,5102396000.0,761552000.0,,381509000.0,3698442000.0,476028000.0,,42128000.0,,19198000.0,76641000.0,289794000.0,75791000.0,,2325065000.0,58563000.0,5238563000.0,3280801000.0,1463480000.0,438360000.0,3272829000.0,3272829000.0,1965734000.0,5238563000.0,76641000.0,1527374000.0,0.0,3986000.0
Rowan Companies PLC,RDC,549300NEY1GYM14FVV75,85408,2010.0,Q1,,2010-03-31,2010-05-07 14:49:28+00:00,105434000.0,420153000.0,,1361753000.0,-150321000.0,522146000.0,,1095895000.0,149850000.0,39153000.0,38182000.0,67238000.0,4998097000.0,775223000.0,,427818000.0,3636344000.0,471006000.0,,38364000.0,,9981000.0,78086000.0,282464000.0,50915000.0,,2234149000.0,58563000.0,5174615000.0,3181136000.0,1460185000.0,467612000.0,3178310000.0,3178310000.0,1996305000.0,5174615000.0,78086000.0,1528693000.0,,1413000.0
Rowan Companies PLC,RDC,549300NEY1GYM14FVV75,85408,2011.0,FY,,2011-12-31,2013-03-01 17:24:49+00:00,111082000.0,283592000.0,131041000.0,1350609000.0,-225671000.0,438853000.0,0.0,1494180000.0,36220000.0,27023000.0,,,7029322000.0,1089335000.0,,,5678713000.0,476443000.0,,,27661000.0,25005000.0,97417000.0,357709000.0,44586000.0,,3186362000.0,45023000.0,6597845000.0,4325987000.0,821715000.0,348371000.0,4325987000.0,4325987000.0,2271858000.0,6597845000.0,97417000.0,1923487000.0,,-128884000.0
Rowan Companies PLC,RDC,549300NEY1GYM14FVV75,85408,2011.0,Q3,,2011-09-30,2011-11-03 16:02:56+00:00,95574000.0,325164000.0,,1310464000.0,-145495000.0,892560000.0,0.0,1486794000.0,39721000.0,0.0,223199000.0,26765000.0,6658322000.0,1102935000.0,,,5347858000.0,483202000.0,,6692000.0,39940000.0,45046000.0,104580000.0,291849000.0,48427000.0,0.0,3141261000.0,45023000.0,6758529000.0,4398523000.0,1306091000.0,482020000.0,4398523000.0,4398523000.0,2360006000.0,6758529000.0,104580000.0,1877986000.0,0.0,-84037000.0
