company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,othercostofrevenue,othergains,otherincome,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Helmerich and Payne Inc,HP,,46765,2007.0,FY,2006-10-01,2007-09-30,2009-11-25 12:27:49+00:00,4.35,4.35,0.18,146042000.0,4.27,,250984000.0,449261000.0,449261000.0,,449261000.0,862254000.0,1629658000.0,,9892000.0,-1532000.0,-58358000.0,,,47401000.0,862254000.0,767404000.0,10126000.0,69692000.0,135085000.0,632319000.0,58034000.0,690353000.0,1629658000.0,103300000.0,103338000.0,105128000.0
Helmerich and Payne Inc,HP,,46765,2008.0,FY,2007-10-01,2008-09-30,2010-11-24 13:06:26+00:00,4.42,4.42,0.185,195343000.0,4.32,,242593000.0,461738000.0,420258000.0,41480000.0,461738000.0,987838000.0,1869371000.0,,17366000.0,-1396000.0,-23285000.0,12962000.0,,56429000.0,987838000.0,881533000.0,18721000.0,25518000.0,241449000.0,640084000.0,5401000.0,645485000.0,1869371000.0,104500000.0,104284000.0,106583000.0
Helmerich and Payne Inc,HP,,46765,2008.0,Q3,2008-04-01,2008-06-30,2009-08-05 11:37:05+00:00,1.2,1.2,0.05,51210000.0,1.18,,70187000.0,125369000.0,125369000.0,,125369000.0,274168000.0,522517000.0,,4912000.0,66000.0,-7042000.0,11651000.0,,14723000.0,274168000.0,248349000.0,4651000.0,17422000.0,70542000.0,177807000.0,12837000.0,190644000.0,522517000.0,104500000.0,104530000.0,106689000.0
Helmerich and Payne Inc,HP,,46765,2009.0,Q4,2009-07-01,2009-09-30,,0.49,0.49,0.05,56913000.0,0.47,,27821000.0,51488000.0,63512000.0,-12024000.0,51488000.0,146035000.0,315327000.0,,,194000.0,-692000.0,3041000.0,,13068000.0,146035000.0,169292000.0,4443000.0,-1380000.0,72330000.0,96962000.0,-5629000.0,91333000.0,315327000.0,105500000.0,105364000.0,106608000.0
Helmerich and Payne Inc,HP,,46765,2009.0,FY,2008-10-01,2009-09-30,2011-11-23 09:48:51+00:00,3.35,3.35,0.2,227535000.0,3.31,,227850000.0,353545000.0,380546000.0,-27001000.0,353545000.0,944780000.0,1843740000.0,,10111000.0,245000.0,-5943000.0,9671000.0,,58822000.0,944780000.0,898960000.0,13590000.0,2755000.0,290085000.0,608875000.0,-10590000.0,598285000.0,1843740000.0,105500000.0,105364000.0,106608000.0
Helmerich and Payne Inc,HP,,46765,2009.0,Q3YTD,2008-10-01,2009-06-30,,2.86,2.86,0.15,170622000.0,2.84,,200029000.0,302057000.0,317034000.0,-14977000.0,302057000.0,798745000.0,1528413000.0,,10111000.0,51000.0,-5251000.0,6630000.0,,45754000.0,798745000.0,729668000.0,9147000.0,4135000.0,217755000.0,511913000.0,-4961000.0,506952000.0,1528413000.0,106100000.0,105425000.0,106695000.0
Helmerich and Payne Inc,HP,,46765,2009.0,Q3,2009-04-01,2009-06-30,2010-08-05 10:46:37+00:00,0.5,0.5,0.05,58737000.0,0.5,,35391000.0,53044000.0,68021000.0,-14977000.0,53044000.0,204523000.0,384359000.0,,,-49000.0,-2005000.0,2777000.0,,14172000.0,204523000.0,179836000.0,2893000.0,199000.0,73681000.0,106155000.0,-2743000.0,103412000.0,384359000.0,106100000.0,105425000.0,106695000.0
Helmerich and Payne Inc,HP,,46765,2009.0,Q2YTD,2008-10-01,2009-03-31,,2.36,2.36,0.1,111885000.0,2.34,,164638000.0,249013000.0,249013000.0,,249013000.0,594222000.0,1144054000.0,,10111000.0,100000.0,-3246000.0,3853000.0,,31582000.0,594222000.0,549832000.0,6254000.0,3936000.0,144074000.0,405758000.0,-2218000.0,403540000.0,1144054000.0,105900000.0,105317000.0,106197000.0
Helmerich and Payne Inc,HP,,46765,2009.0,Q2,2009-01-01,2009-03-31,2010-05-05 11:21:52+00:00,0.98,0.98,0.05,57113000.0,0.98,,83390000.0,103738000.0,103738000.0,,103738000.0,263294000.0,520300000.0,,4222000.0,-28000.0,-2055000.0,2176000.0,,16434000.0,263294000.0,257006000.0,2554000.0,2150000.0,73668000.0,183338000.0,-432000.0,182906000.0,520300000.0,105900000.0,105317000.0,106197000.0
Helmerich and Payne Inc,HP,,46765,2009.0,Q1,2008-10-01,2008-12-31,2010-02-03 14:26:57+00:00,1.38,1.38,0.05,54772000.0,1.36,,81248000.0,145275000.0,145275000.0,,145275000.0,330928000.0,623754000.0,,5889000.0,128000.0,-1191000.0,1677000.0,,15148000.0,330928000.0,292826000.0,3700000.0,1786000.0,70406000.0,222420000.0,-1786000.0,220634000.0,623754000.0,105300000.0,105249000.0,106310000.0
