company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,dividendspayable,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Helmerich and Payne Inc,HP,,46765,2008.0,FY,,2008-09-30,2009-11-25 12:27:49+00:00,153851000.0,462833000.0,128373000.0,1072000000.0,38407000.0,121513000.0,,180203000.0,21939000.0,,,3754251000.0,,475000000.0,199266000.0,33098000.0,2682251000.0,479963000.0,,,,15881000.0,58651000.0,,,51264000.0,2082518000.0,26733000.0,,3588045000.0,2265474000.0,690647000.0,308957000.0,2265474000.0,2265474000.0,1322571000.0,3588045000.0,215147000.0,1013614000.0,0.0,-35654000.0
Helmerich and Payne Inc,HP,,46765,2009.0,FY,,2009-09-30,2010-11-24 13:06:26+00:00,68173000.0,233949000.0,111750000.0,1169962000.0,112451000.0,96142000.0,,186745000.0,6373000.0,,,4364235000.0,,420000000.0,356404000.0,39544000.0,3194273000.0,672358000.0,,81929000.0,16983000.0,15781000.0,73546000.0,71634000.0,10205000.0,52495000.0,2414942000.0,105000000.0,12500000.0,4161024000.0,2683009000.0,522932000.0,301906000.0,2683009000.0,2683009000.0,1478015000.0,4161024000.0,443819000.0,1176109000.0,0.0,-31129000.0
Helmerich and Payne Inc,HP,,46765,2009.0,Q3,,2009-06-30,2009-08-05 11:37:05+00:00,110640000.0,319827000.0,118152000.0,,72247000.0,141705000.0,,184714000.0,8250000.0,,,,,430000000.0,267554000.0,45685000.0,3209344000.0,647975000.0,,,,10882000.0,49145000.0,,,64107000.0,2368737000.0,130000000.0,12500000.0,4079854000.0,2593942000.0,592074000.0,358792000.0,2593942000.0,2593942000.0,1485912000.0,4079854000.0,278436000.0,1127120000.0,0.0,-31756000.0
Helmerich and Payne Inc,HP,,46765,2010.0,FY,,2010-09-30,2011-11-23 09:48:51+00:00,80534000.0,457659000.0,144112000.0,1408674000.0,84107000.0,63020000.0,,202606000.0,14282000.0,,,4683694000.0,,360000000.0,320712000.0,43402000.0,3275020000.0,771383000.0,,10270000.0,7992000.0,16834000.0,91606000.0,,2278000.0,64171000.0,2547917000.0,,,4265370000.0,2807465000.0,652804000.0,232638000.0,2807465000.0,2807465000.0,1457905000.0,4265370000.0,337546000.0,1225267000.0,0.0,-27165000.0
Helmerich and Payne Inc,HP,,46765,2010.0,Q3,,2010-06-30,2010-08-05 10:46:37+00:00,54137000.0,335000000.0,149153000.0,,62130000.0,77717000.0,,199492000.0,17480000.0,,,,,390000000.0,274620000.0,43505000.0,3235863000.0,692103000.0,,9507000.0,7688000.0,13921000.0,73227000.0,,1819000.0,66041000.0,2471238000.0,,,4073654000.0,2705527000.0,549250000.0,210978000.0,2705527000.0,2705527000.0,1368127000.0,4073654000.0,288541000.0,1157149000.0,0.0,-27333000.0
Helmerich and Payne Inc,HP,,46765,2010.0,Q2,,2010-03-31,2010-05-05 11:21:52+00:00,55994000.0,288647000.0,126939000.0,,112255000.0,125712000.0,,196055000.0,18652000.0,,,,,440000000.0,355654000.0,45904000.0,3285139000.0,710671000.0,,,,14476000.0,77240000.0,,,71455000.0,2514320000.0,,,4205639000.0,2794795000.0,550370000.0,182933000.0,2794795000.0,2794795000.0,1410844000.0,4205639000.0,370130000.0,1227911000.0,0.0,-27835000.0
Helmerich and Payne Inc,HP,,46765,2010.0,Q1,,2009-12-31,2010-02-03 14:26:57+00:00,58981000.0,270509000.0,156366000.0,,119005000.0,153053000.0,,192827000.0,20560000.0,,,,,380000000.0,366672000.0,46370000.0,3273643000.0,701257000.0,,,,14803000.0,78028000.0,,,77488000.0,2472875000.0,105000000.0,12516000.0,4235614000.0,2755982000.0,580496000.0,320347000.0,2755982000.0,2755982000.0,1479632000.0,4235614000.0,381475000.0,1159285000.0,0.0,-28725000.0
Helmerich and Payne Inc,HP,,46765,2011.0,FY,,2011-09-30,2012-11-21 13:40:55+00:00,103852000.0,460540000.0,192898000.0,1663991000.0,98908000.0,364246000.0,,221633000.0,19855000.0,,,5341061000.0,,235000000.0,347924000.0,54407000.0,3677070000.0,975280000.0,,7529000.0,4979000.0,22584000.0,104285000.0,,2550000.0,49736000.0,2954210000.0,115000000.0,,5003891000.0,3279455000.0,956313000.0,416729000.0,3270047000.0,3270047000.0,1733844000.0,5003891000.0,370508000.0,1317115000.0,0.0,4704000.0
Helmerich and Payne Inc,HP,,46765,2011.0,Q3,,2011-06-30,2011-08-08 09:32:21+00:00,74312000.0,444214000.0,182427000.0,,168904000.0,288065000.0,,215723000.0,19535000.0,,,,,350000000.0,453046000.0,48911000.0,3553743000.0,984767000.0,,7631000.0,5170000.0,21638000.0,91661000.0,,2461000.0,74253000.0,2840315000.0,,,4911036000.0,3229646000.0,882609000.0,261909000.0,3229646000.0,3220238000.0,1690798000.0,4911036000.0,474684000.0,1428889000.0,0.0,4704000.0
Helmerich and Payne Inc,HP,,46765,2011.0,Q2,,2011-03-31,2011-05-06 10:05:09+00:00,71108000.0,433180000.0,138758000.0,,184083000.0,240685000.0,,210801000.0,14198000.0,,,,,350000000.0,480939000.0,45843000.0,3420635000.0,928307000.0,,8275000.0,5882000.0,20551000.0,102270000.0,,2393000.0,61406000.0,2738008000.0,,,4725712000.0,3138790000.0,803587000.0,215748000.0,3138790000.0,3126994000.0,1598718000.0,4725712000.0,501490000.0,1382970000.0,0.0,5898000.0
