company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Helmerich and Payne Inc,HP,,46765,2007.0,FY,2006-10-01,2007-09-30,2009-11-25 12:27:49+00:00,,,,,146042000.0,,96356000.0,1490000000.0,192865000.0,-698570000.0,561067000.0,,,192865000.0,-698570000.0,561067000.0,55362000.0,449261000.0,449261000.0,,-130592000.0,5275000.0,16257000.0,-18638000.0,,-894214000.0,-1266151000.0,-17621000.0,127819000.0,51568000.0
Helmerich and Payne Inc,HP,,46765,2008.0,Q4,2008-07-01,2008-09-30,,-17000.0,,,,48277000.0,,15745000.0,915009000.0,35058000.0,-172512000.0,133566000.0,-7291000.0,11480000.0,35058000.0,-179803000.0,145046000.0,301000.0,126485000.0,85005000.0,41480000.0,-15461000.0,322000.0,,-5273000.0,,-188888000.0,-875000000.0,,,16393000.0
Helmerich and Payne Inc,HP,,46765,2008.0,FY,2007-10-01,2008-09-30,2010-11-24 13:06:26+00:00,-12041000.0,,,,195343000.0,,14668000.0,3551733000.0,76805000.0,-648044000.0,577154000.0,-7291000.0,11480000.0,76805000.0,-655335000.0,588634000.0,10104000.0,461738000.0,420258000.0,41480000.0,-53115000.0,39405000.0,13926000.0,-19333000.0,,-697906000.0,-3495000000.0,,25507000.0,22470000.0
Helmerich and Payne Inc,HP,,46765,2008.0,Q3YTD,2007-10-01,2008-06-30,2009-08-05 11:37:05+00:00,-12024000.0,,,,147066000.0,,-1077000.0,2636724000.0,41747000.0,-475532000.0,443588000.0,,,41747000.0,-475532000.0,443588000.0,9803000.0,335253000.0,335253000.0,,-37654000.0,39083000.0,13926000.0,-14060000.0,,-509018000.0,-2620000000.0,,25507000.0,6077000.0
Helmerich and Payne Inc,HP,,46765,2009.0,Q4,2009-07-01,2009-09-30,,-16000.0,,,,61453000.0,,22288000.0,648046000.0,-46646000.0,-140922000.0,138214000.0,573000.0,23270000.0,-46646000.0,-140349000.0,161484000.0,-25511000.0,51488000.0,54976000.0,-3488000.0,-503000.0,590000.0,16000.0,-5282000.0,,-142333000.0,-690000000.0,,,1411000.0
Helmerich and Payne Inc,HP,,46765,2009.0,FY,2008-10-01,2009-09-30,2011-11-23 09:48:51+00:00,-16000.0,,,,227535000.0,,278978000.0,3842038000.0,6683000.0,-880745000.0,872267000.0,-3284000.0,23672000.0,6683000.0,-884029000.0,895939000.0,18593000.0,353545000.0,380546000.0,-27001000.0,-14792000.0,2489000.0,541000.0,-21111000.0,-12500000.0,-876839000.0,-3816733000.0,,,8069000.0
Helmerich and Payne Inc,HP,,46765,2009.0,Q3TTM,2008-07-01,2009-06-30,,-17000.0,,,,214359000.0,,272435000.0,4109001000.0,88387000.0,-912335000.0,867619000.0,-11148000.0,11882000.0,88387000.0,-923483000.0,879501000.0,44405000.0,428542000.0,410575000.0,17967000.0,-29750000.0,2221000.0,525000.0,-21102000.0,-12500000.0,-923394000.0,-4001733000.0,,,23051000.0
Helmerich and Payne Inc,HP,,46765,2009.0,Q3,2009-04-01,2009-06-30,,,,,,54197000.0,,111799000.0,1163992000.0,5162000.0,-206033000.0,243565000.0,-3857000.0,402000.0,5162000.0,-209890000.0,243967000.0,39239000.0,53044000.0,76557000.0,-23513000.0,1012000.0,1451000.0,264000.0,-5281000.0,,-208622000.0,-1155000000.0,,,2325000.0
Helmerich and Payne Inc,HP,,46765,2009.0,Q3YTD,2008-10-01,2009-06-30,2010-08-05 10:46:37+00:00,,,,,166082000.0,,256690000.0,3193992000.0,53329000.0,-739823000.0,734053000.0,-3857000.0,402000.0,53329000.0,-743680000.0,734455000.0,44104000.0,302057000.0,325570000.0,-23513000.0,-14289000.0,1899000.0,525000.0,-15829000.0,-12500000.0,-734506000.0,-3126733000.0,,,6658000.0
Helmerich and Payne Inc,HP,,46765,2009.0,Q2,2009-01-01,2009-03-31,,,,,,57113000.0,,81877000.0,1107670000.0,37526000.0,-285081000.0,235909000.0,,,37526000.0,-285081000.0,235909000.0,-11646000.0,103738000.0,103738000.0,,-6819000.0,131000.0,,-5275000.0,-12500000.0,-275503000.0,-1065000000.0,,,2922000.0
Helmerich and Payne Inc,HP,,46765,2009.0,Q2YTD,2008-10-01,2009-03-31,2010-05-05 11:21:52+00:00,,,,,111885000.0,,144891000.0,2030000000.0,48167000.0,-533790000.0,490488000.0,,,48167000.0,-533790000.0,490488000.0,4865000.0,249013000.0,249013000.0,,-15301000.0,448000.0,261000.0,-10548000.0,-12500000.0,-525884000.0,-1971733000.0,,,4333000.0
Helmerich and Payne Inc,HP,,46765,2009.0,Q1,2008-10-01,2008-12-31,2010-02-03 14:26:57+00:00,,,,,54772000.0,,63014000.0,922330000.0,10641000.0,-248709000.0,254579000.0,,,10641000.0,-248709000.0,254579000.0,16511000.0,145275000.0,145275000.0,,-8482000.0,317000.0,261000.0,-5273000.0,,-250381000.0,-906733000.0,,,1411000.0
Helmerich and Payne Inc,HP,,46765,2010.0,Q4,2010-07-01,2010-09-30,,,,,,73240000.0,,-26861000.0,60000000.0,-36146000.0,-107802000.0,132106000.0,,-2855000.0,-36146000.0,-107802000.0,129251000.0,-14697000.0,83045000.0,83291000.0,-246000.0,2436000.0,217000.0,,-6363000.0,,-109372000.0,-90000000.0,,,1570000.0
Helmerich and Payne Inc,HP,,46765,2010.0,FY,2009-10-01,2010-09-30,2012-11-21 13:40:55+00:00,,,,,262658000.0,,-93237000.0,895000000.0,-186150000.0,-309205000.0,466650000.0,-55000.0,-4362000.0,-186150000.0,-309260000.0,462288000.0,-33122000.0,156312000.0,286081000.0,-129769000.0,11148000.0,3142000.0,,-22254000.0,-16000.0,-329572000.0,-1062038000.0,,12516000.0,7867000.0
Helmerich and Payne Inc,HP,,46765,2010.0,Q3TTM,2009-07-01,2010-06-30,,-16000.0,,,,250871000.0,,-44088000.0,1483046000.0,-196650000.0,-342325000.0,472758000.0,518000.0,21763000.0,-196650000.0,-341807000.0,494521000.0,-43936000.0,124755000.0,257766000.0,-133011000.0,8209000.0,3515000.0,16000.0,-21173000.0,-16000.0,-362533000.0,-1662038000.0,,12516000.0,7708000.0
Helmerich and Payne Inc,HP,,46765,2010.0,Q3,2010-04-01,2010-06-30,,,,,,65208000.0,,-22798000.0,125000000.0,-54585000.0,-75202000.0,107930000.0,31000.0,-402000.0,-54585000.0,-75171000.0,107528000.0,-22228000.0,-36715000.0,64883000.0,-101598000.0,637000.0,719000.0,,-5304000.0,,-77882000.0,-175000000.0,,,2680000.0
Helmerich and Payne Inc,HP,,46765,2010.0,Q3YTD,2009-10-01,2010-06-30,2011-08-08 09:32:21+00:00,,,,,189418000.0,,-66376000.0,835000000.0,-150004000.0,-201403000.0,334544000.0,-55000.0,-1507000.0,-150004000.0,-201458000.0,333037000.0,-18425000.0,73267000.0,202790000.0,-129523000.0,8712000.0,2925000.0,,-15891000.0,-16000.0,-220200000.0,-972038000.0,,12516000.0,6297000.0
